 	les	enfants	d'	otsende	savent	piéger	les	porc-épics	</S>
a66	0.270579	0.205052	0.133251	0.114839	0.0590316	0.123437	0.0583377	0.0199174	0.0155549
a87	0.395374	0.198438	0.133133	0.0744096	0.0575694	0.077322	0.0322221	0.0146825	0.0168495
a79	0.403731	0.239656	0.151157	0.0766421	0.0469082	0.0350629	0.0173702	0.0124024	0.0170707
a10	0.382298	0.248609	0.196823	0.0989528	0.0347553	0.0160027	0.00514703	0.00533829	0.0120736
a30	0.276267	0.208975	0.19729	0.134693	0.0606819	0.0362441	0.0136524	0.0203538	0.0518436
a10	0.314608	0.219947	0.173306	0.11611	0.0428579	0.0283649	0.0130863	0.0262079	0.0655119
a87	0.287918	0.212177	0.165095	0.112433	0.0386202	0.0374686	0.019226	0.0453217	0.0817409
a23	0.268577	0.200164	0.171628	0.133146	0.0715845	0.0479911	0.0212282	0.0362111	0.0494701
a40	0.244146	0.16718	0.145574	0.110583	0.0507981	0.0566344	0.0365648	0.0724195	0.1161
a37	0.409423	0.251732	0.141501	0.0871836	0.0240953	0.0318615	0.016984	0.0193995	0.0178202
a6	0.289946	0.237599	0.172421	0.134165	0.0499424	0.0425207	0.0210787	0.0236529	0.0286746
a37	0.185368	0.174883	0.164556	0.156191	0.086188	0.0736814	0.0497557	0.0578577	0.0515183
a54	0.127786	0.149448	0.178615	0.198232	0.125189	0.0821204	0.0538513	0.0505852	0.0341724
a79	0.0947404	0.109948	0.148098	0.188206	0.136321	0.101969	0.0767928	0.0694112	0.0745142
a7	0.0936585	0.109984	0.160259	0.213595	0.148354	0.104434	0.0717504	0.0473477	0.0506175
a32	0.0747565	0.0891572	0.127535	0.198237	0.182088	0.109859	0.0770545	0.0610955	0.0802158
a75	0.0722194	0.0720441	0.105315	0.185692	0.205564	0.134886	0.0898816	0.0646689	0.0697287
a5	0.0203817	0.0256905	0.0537317	0.140733	0.221608	0.202203	0.142345	0.0930726	0.100235
a61	0.019097	0.0261519	0.0559715	0.133351	0.247666	0.194584	0.149993	0.0857217	0.0874633
a21	0.0186899	0.0224864	0.049201	0.125828	0.280244	0.209346	0.147888	0.0730102	0.0733059
a5	0.0156885	0.020558	0.0414728	0.0929362	0.234242	0.235518	0.178234	0.0977591	0.0835904
a18	0.0140526	0.0182775	0.0366265	0.0836328	0.213392	0.251277	0.192069	0.100369	0.090303
a25	0.0142859	0.0158714	0.0291058	0.0719064	0.198022	0.245588	0.209846	0.100607	0.114767
a38	0.00854088	0.00865027	0.0166545	0.048835	0.118538	0.188276	0.180626	0.12751	0.302369
a47	0.0170078	0.0167801	0.0262667	0.0599819	0.104643	0.139019	0.138022	0.114091	0.384189
a36	0.00910239	0.00974396	0.0186101	0.05512	0.110745	0.17881	0.168411	0.116792	0.332665
a26	0.0117095	0.0123228	0.0200797	0.047953	0.0842165	0.128762	0.141267	0.122321	0.431368
a37	0.0470617	0.0479406	0.0562821	0.0874295	0.089797	0.0781004	0.0685819	0.0890813	0.435725
a5	0.0243674	0.0215258	0.028175	0.0479822	0.0777801	0.0818013	0.0989323	0.128493	0.490943
a61	0.0153647	0.0159989	0.0243759	0.0569374	0.109996	0.123265	0.134005	0.140415	0.379642
a85	0.00978424	0.00965977	0.0146177	0.0324225	0.079531	0.092934	0.122389	0.174176	0.464486
a6	0.00266674	0.00275745	0.00464559	0.0123392	0.0378461	0.058085	0.0808778	0.154902	0.64588
a36	0.00221276	0.00226191	0.00451565	0.0128181	0.037669	0.0646819	0.0933502	0.191053	0.591438
a2	0.00956525	0.0100611	0.0125701	0.0179412	0.0289551	0.0360435	0.0440805	0.137519	0.703265
a7	0.0170026	0.0149251	0.016225	0.0179301	0.0263198	0.0515868	0.0780951	0.175572	0.602343
a69	0.0185984	0.0149729	0.0163901	0.0173078	0.0287712	0.0493928	0.0706702	0.191808	0.592089
a43	0.00256061	0.0022522	0.00321689	0.00496923	0.00950037	0.0132129	0.0221773	0.110495	0.831616
a11	0.00272531	0.0022879	0.00327241	0.00496537	0.0108644	0.0187305	0.0292736	0.125491	0.802389
a54	0.00459361	0.00386609	0.00534995	0.00682132	0.012778	0.0230837	0.0299552	0.125714	0.787838
a79	0.00134295	0.00112533	0.001809	0.00276807	0.00936814	0.0125459	0.0155761	0.0764719	0.878993
a44	0.00105166	0.000887087	0.00137698	0.00302947	0.0107236	0.0154643	0.0208091	0.0687549	0.877903
a4	0.00102269	0.000894496	0.00131234	0.00211482	0.00448234	0.00805738	0.0128744	0.0696043	0.899637
a66	0.0030065	0.00249767	0.00338258	0.00441904	0.00815412	0.0148366	0.025233	0.12566	0.81281
a40	0.00604353	0.00472788	0.00566111	0.00653278	0.0123483	0.024284	0.0385353	0.160411	0.741457
a2	0.00200009	0.00158264	0.00238236	0.00333538	0.00967976	0.0154493	0.0210748	0.0918334	0.852662
a57	0.0075204	0.00606741	0.00697871	0.00915536	0.0165229	0.0283659	0.0444972	0.152699	0.728194
a87	0.103389	0.0566897	0.0459286	0.0411685	0.0603744	0.122944	0.139767	0.146568	0.283171
a23	0.314946	0.226529	0.158273	0.0871436	0.054306	0.0524915	0.0461597	0.029528	0.0306232
a87	0.242635	0.168926	0.132653	0.0921968	0.0667506	0.0516015	0.0502274	0.0540344	0.140976
</S>	0.0533376	0.0350161	0.0346453	0.0358281	0.0541354	0.0652292	0.0790125	0.11894	0.523856
