 	votre	maison	est	petite	</S>
a23	0.413853	0.233437	0.152893	0.103092	0.0967246
a83	0.562369	0.268031	0.107426	0.0415243	0.0206504
a62	0.520467	0.270651	0.121539	0.0498027	0.0375403
a5	0.626135	0.237052	0.0913351	0.0305939	0.0148847
a18	0.560212	0.251206	0.119737	0.0448286	0.0240159
a62	0.434133	0.256308	0.171896	0.0855476	0.0521148
a61	0.39665	0.249161	0.187259	0.105215	0.0617145
a21	0.283968	0.208425	0.210057	0.17275	0.1248
a47	0.171167	0.171264	0.233285	0.246067	0.178216
a62	0.130496	0.116879	0.165277	0.273956	0.313393
a88	0.049251	0.0583163	0.122718	0.315014	0.4547
a9	0.0127265	0.0173833	0.061215	0.327725	0.58095
a24	0.0108294	0.0157051	0.0480641	0.233195	0.692206
a0	0.00687626	0.00933424	0.0283801	0.165188	0.790221
a24	0.00814234	0.0132331	0.0432237	0.211849	0.723552
a9	0.0197008	0.0327945	0.0692885	0.189297	0.688919
a87	0.115597	0.0780869	0.0833409	0.168504	0.55447
a10	0.29377	0.180962	0.14164	0.162272	0.221356
a87	0.166881	0.144767	0.191598	0.255163	0.241591
</S>	0.15577	0.139329	0.184781	0.250395	0.269725
