 	mon	frère	aîné	est	parti	à	damara	</S>
a10	0.235599	0.138648	0.0883404	0.090933	0.122539	0.103165	0.108503	0.112272
a87	0.193414	0.0904699	0.0824026	0.0843459	0.0823264	0.0778388	0.159168	0.230035
a23	0.381377	0.125772	0.0712845	0.0642288	0.0599741	0.0500793	0.100983	0.146302
a79	0.303433	0.17453	0.105149	0.0738502	0.0721399	0.0743002	0.098281	0.0983171
a76	0.630691	0.195407	0.0741416	0.0333943	0.0192556	0.0142836	0.0146601	0.0181668
a94	0.571356	0.222965	0.0887734	0.0454509	0.0263167	0.0177106	0.0151196	0.0123085
a96	0.514972	0.256691	0.0974474	0.0470496	0.0273428	0.019594	0.0198449	0.0170581
a24	0.436638	0.289972	0.113368	0.0554983	0.0328052	0.0236788	0.0249315	0.0231081
a41	0.311492	0.282949	0.154463	0.0922031	0.0578725	0.0386626	0.0336494	0.0287087
a14	0.237531	0.259131	0.16758	0.112796	0.0816166	0.0560948	0.0459206	0.0393291
a30	0.185965	0.219054	0.166674	0.126783	0.106192	0.0829258	0.0645903	0.0478157
a35	0.149514	0.228622	0.183629	0.132807	0.105497	0.0800497	0.0614246	0.058456
a75	0.12539	0.153678	0.171254	0.133561	0.122351	0.11776	0.0945997	0.081407
a35	0.102391	0.135989	0.161412	0.140955	0.120129	0.114463	0.112922	0.111739
a24	0.0896958	0.114597	0.152535	0.158495	0.132372	0.121766	0.110104	0.120436
a71	0.0650901	0.0780657	0.121587	0.147862	0.158805	0.153636	0.132701	0.142254
a38	0.0621876	0.0730769	0.116733	0.161174	0.180608	0.165974	0.119461	0.120786
a98	0.0433516	0.0616135	0.130485	0.17475	0.182534	0.167194	0.120029	0.120043
a14	0.0367564	0.0567066	0.124722	0.168321	0.166377	0.162849	0.130037	0.154231
a73	0.0342647	0.0471425	0.084337	0.123931	0.145514	0.160242	0.162529	0.242039
a57	0.0337529	0.036871	0.0696262	0.10342	0.15117	0.198426	0.170981	0.235752
a10	0.0237972	0.0210296	0.0329592	0.0641643	0.118453	0.199431	0.205349	0.334816
a62	0.0116601	0.0115338	0.0240125	0.0550962	0.101175	0.18472	0.239845	0.371957
a41	0.0258459	0.0237492	0.053523	0.0767834	0.0923391	0.134833	0.191806	0.40112
a44	0.0162079	0.0191544	0.0443334	0.0723511	0.0963376	0.141387	0.203837	0.406391
a57	0.0243069	0.0265014	0.0491694	0.0609295	0.0825494	0.144687	0.21275	0.399106
a90	0.0131037	0.00966192	0.0190525	0.0350141	0.0674154	0.158908	0.220282	0.476562
a35	0.0499773	0.0329018	0.0561011	0.0617507	0.0829837	0.16135	0.209878	0.345058
a32	0.0157643	0.0143348	0.0265849	0.0322297	0.0452444	0.103016	0.221917	0.540909
a75	0.0133506	0.0118763	0.0212913	0.0294989	0.0441415	0.104819	0.227473	0.54755
a76	0.0213584	0.0233606	0.0383825	0.0443037	0.0585564	0.118852	0.206069	0.489118
a20	0.0251818	0.0280809	0.0509609	0.0586253	0.0677748	0.125971	0.20966	0.433746
a58	0.0310387	0.0348661	0.0601476	0.0695252	0.0798287	0.129386	0.208553	0.386655
a82	0.0151079	0.012582	0.0302603	0.0435275	0.058554	0.114903	0.209883	0.515182
a87	0.0193569	0.00811202	0.0125711	0.0219338	0.0429576	0.122101	0.221941	0.551027
a23	0.0203425	0.00523472	0.00491593	0.0119907	0.0326893	0.0802549	0.230071	0.614501
a40	0.0267542	0.00971034	0.00952781	0.0201354	0.0534298	0.107838	0.292306	0.480298
a30	0.0489819	0.0180908	0.0191439	0.0258246	0.048249	0.0892728	0.247194	0.503243
a35	0.00392827	0.00461906	0.012734	0.0264554	0.0483767	0.100257	0.229855	0.573775
a98	0.00366996	0.00325167	0.00928218	0.0204607	0.0417373	0.0996227	0.220829	0.601146
a71	0.00299694	0.00340568	0.00967651	0.0191898	0.0389315	0.0957371	0.219062	0.611
a38	0.00212193	0.00253978	0.00840202	0.0173979	0.036744	0.0970827	0.207288	0.628423
a98	0.00237755	0.00254096	0.00819095	0.0152867	0.0311601	0.0869272	0.214729	0.638787
a14	0.00179897	0.00232181	0.00778775	0.0144667	0.0283614	0.0729314	0.204544	0.667788
a44	0.00359686	0.00418327	0.0115578	0.0192026	0.0355507	0.0798217	0.220965	0.625122
a57	0.00184927	0.0018285	0.00572573	0.0111061	0.0214493	0.0658401	0.197931	0.69427
a87	0.00381819	0.00219641	0.00448672	0.00981751	0.0241116	0.0870761	0.2144	0.654094
a99	0.0103218	0.00429144	0.00591408	0.0147646	0.0403626	0.0996862	0.228214	0.596445
a75	0.0276798	0.00629696	0.00636719	0.0144662	0.0416327	0.106055	0.24993	0.547572
a14	0.0040208	0.00230212	0.00636685	0.0142622	0.0337409	0.0822363	0.249413	0.607658
a35	0.00247787	0.00207202	0.00607486	0.014916	0.033683	0.0840899	0.224651	0.632035
a30	0.00179393	0.00157543	0.00505073	0.0122468	0.0283236	0.081398	0.212666	0.656945
a73	0.00442619	0.00358051	0.00614348	0.0136035	0.0331832	0.0982521	0.226095	0.614717
a7	0.00935153	0.00401453	0.00520271	0.0108029	0.026376	0.0848427	0.230546	0.628864
a57	0.00835265	0.00375307	0.00584446	0.012315	0.0269986	0.0872488	0.237004	0.618483
a87	0.0131451	0.00603573	0.00797395	0.0141677	0.029996	0.0881795	0.22258	0.617922
</S>	0.0321849	0.00868629	0.00827113	0.0163967	0.0395709	0.0954542	0.244286	0.555149
