 	les	femmes	fouillent	les	arachides	dans	la	terre	</S>
a66	0.556145	0.301061	0.0702104	0.0172111	0.0148686	0.0133826	0.00943367	0.00850799	0.00918038
a87	0.670869	0.217014	0.0380775	0.0130687	0.0128383	0.0136898	0.0100452	0.0125431	0.0118542
a23	0.574348	0.2353	0.0849116	0.0216921	0.0163446	0.014545	0.0130696	0.0201776	0.0196111
a87	0.310042	0.180755	0.144234	0.0476781	0.0489096	0.0544515	0.0564151	0.078954	0.0785601
a23	0.370567	0.194143	0.137972	0.039285	0.0418326	0.0465701	0.0477092	0.0605862	0.0613347
a40	0.161432	0.125911	0.12145	0.065824	0.077775	0.0887506	0.0969382	0.129745	0.132175
a37	0.341223	0.350003	0.126133	0.0585289	0.0393771	0.0295036	0.0208589	0.0179543	0.0164186
a70	0.216317	0.401442	0.197629	0.0376729	0.0269664	0.025698	0.0259819	0.0296715	0.0386212
a44	0.121813	0.328906	0.304591	0.0783602	0.0460408	0.0389088	0.0290098	0.0245646	0.0278063
a15	0.0710395	0.168533	0.236338	0.145509	0.101157	0.0884039	0.0662039	0.0577935	0.065021
a79	0.053255	0.152714	0.205751	0.147141	0.100595	0.0876221	0.07509	0.0748921	0.10294
a36	0.0593614	0.137577	0.214349	0.17354	0.114168	0.0834399	0.0643079	0.0653575	0.0878987
a0	0.0677513	0.112877	0.166759	0.16477	0.119825	0.0953664	0.0785421	0.085371	0.108738
a90	0.0609423	0.073598	0.0874227	0.109687	0.0974721	0.108307	0.114003	0.1501	0.198467
a25	0.0375522	0.052021	0.0803632	0.140114	0.15439	0.158588	0.114595	0.118823	0.143554
a56	0.0161433	0.024665	0.0503975	0.115511	0.15276	0.186822	0.141542	0.138973	0.173187
a94	0.0205552	0.0251769	0.0553355	0.127549	0.157829	0.190729	0.142166	0.133222	0.147438
a93	0.0122377	0.0138762	0.0288455	0.085363	0.11981	0.174817	0.188395	0.185483	0.191172
a94	0.00809588	0.00895674	0.0200131	0.0642091	0.093997	0.148877	0.203033	0.231477	0.22134
a43	0.00510223	0.0058713	0.0114819	0.0459933	0.0768364	0.111232	0.155614	0.252097	0.335772
a75	0.00230347	0.00204746	0.0029777	0.0139478	0.0356229	0.0702203	0.127104	0.288949	0.456827
a56	0.000536722	0.000842783	0.00278734	0.0193372	0.0391065	0.0772885	0.155207	0.300767	0.404126
a0	0.000613929	0.000827907	0.00183366	0.0108028	0.0242618	0.049021	0.112845	0.295212	0.504582
a75	0.00120039	0.00113949	0.0017684	0.00915478	0.0248655	0.0574724	0.13355	0.30876	0.462089
a12	0.000241233	0.000352092	0.000961696	0.00652392	0.0143147	0.0347016	0.0984623	0.299684	0.544758
a18	0.000226338	0.000385947	0.00105084	0.00913087	0.0183702	0.0405337	0.104459	0.307638	0.518204
a25	0.00048944	0.00043546	0.000728086	0.0135241	0.0380776	0.0859269	0.167153	0.312736	0.380929
a87	0.00386556	0.00298414	0.00354354	0.0266923	0.0564662	0.109298	0.180989	0.294386	0.321775
a23	0.272656	0.0779309	0.0425042	0.0698665	0.0827018	0.0995619	0.109006	0.113238	0.132534
a87	0.0645394	0.0455162	0.0528006	0.0966224	0.0883826	0.104967	0.139447	0.18825	0.219475
</S>	0.0147824	0.0123055	0.0183688	0.0553889	0.0607164	0.0823081	0.125565	0.22294	0.407625
