 	seigneur	dieu	pardonne-moi	mes	péchés	</S>
a23	0.269571	0.232875	0.303229	0.140496	0.0407306	0.0130987
a83	0.393383	0.225385	0.218929	0.102744	0.0386062	0.0209529
a75	0.43386	0.23709	0.150201	0.0862624	0.0499777	0.0426095
a85	0.480866	0.256447	0.10678	0.0746739	0.0477027	0.0335298
a92	0.442715	0.24539	0.131491	0.0825291	0.0576412	0.0402339
a37	0.394711	0.244274	0.15022	0.0920587	0.0680118	0.0507248
a21	0.413133	0.241293	0.138609	0.0797363	0.0686154	0.0586129
a61	0.374238	0.241461	0.178091	0.104309	0.0630442	0.0388562
a75	0.358239	0.249458	0.177814	0.0931612	0.061244	0.0600839
a36	0.231062	0.204469	0.175148	0.132431	0.11826	0.13863
a27	0.253444	0.271058	0.254441	0.115831	0.0543105	0.050915
a57	0.134315	0.174688	0.222418	0.13435	0.149296	0.184933
a10	0.170752	0.213702	0.233473	0.144924	0.122623	0.114525
a87	0.219537	0.19298	0.205401	0.141597	0.128833	0.111652
a10	0.349872	0.183817	0.161729	0.118953	0.107962	0.0776678
a87	0.43878	0.190415	0.132928	0.0888385	0.0786	0.0704395
a23	0.454498	0.190028	0.133171	0.0845481	0.0742416	0.063513
a99	0.474837	0.189545	0.098884	0.0700691	0.074829	0.0918354
a30	0.106642	0.0969591	0.120767	0.120295	0.175641	0.379696
a70	0.152445	0.153635	0.183126	0.14833	0.148245	0.21422
a75	0.113904	0.13234	0.18042	0.189661	0.178656	0.205019
a5	0.12638	0.139177	0.170822	0.166797	0.166096	0.230728
a96	0.19892	0.210491	0.204371	0.138844	0.116419	0.130955
a75	0.132019	0.167105	0.200029	0.162729	0.157407	0.18071
a47	0.104472	0.138373	0.190882	0.156877	0.163906	0.245489
a88	0.0912219	0.141967	0.24939	0.189188	0.154522	0.17371
a71	0.0733987	0.116734	0.215243	0.184106	0.182493	0.228025
a9	0.0402727	0.0769348	0.194827	0.176194	0.23536	0.276412
a50	0.0292275	0.0553816	0.178136	0.219605	0.270259	0.247392
a83	0.0284163	0.0383087	0.107611	0.136588	0.224338	0.464737
a93	0.0218951	0.0277005	0.0776613	0.113003	0.237519	0.522221
a13	0.0220788	0.0265428	0.0605724	0.102747	0.230169	0.55789
a62	0.0079294	0.0110215	0.0331258	0.0592987	0.201933	0.686692
a75	0.00541949	0.00899035	0.0282104	0.0526023	0.192879	0.711898
a85	0.00565681	0.00783089	0.0166092	0.0469417	0.223142	0.69982
a35	0.0107678	0.0120833	0.0208461	0.0514795	0.228281	0.676542
a37	0.00341727	0.00444119	0.00945205	0.0234977	0.144675	0.814516
a75	0.0012811	0.00268492	0.00783524	0.0151776	0.127583	0.845438
a5	0.00327924	0.00489639	0.0118383	0.0365027	0.21124	0.732243
a37	0.00172733	0.00256941	0.00603556	0.0147849	0.118276	0.856607
a75	0.000831726	0.00168775	0.00487329	0.0113167	0.0979096	0.883381
a36	0.00174845	0.00262767	0.00691168	0.0197306	0.159275	0.809707
a27	0.00392347	0.00648641	0.0150038	0.0322733	0.220261	0.722052
a30	0.0509161	0.0417105	0.0641013	0.117275	0.294761	0.431237
a87	0.111944	0.133115	0.177988	0.190409	0.20074	0.185804
a97	0.104941	0.146349	0.234857	0.217897	0.164591	0.131366
a87	0.120055	0.201473	0.222213	0.179222	0.129946	0.147091
a23	0.089891	0.152579	0.188864	0.172847	0.160336	0.235482
a87	0.0526452	0.0909207	0.130408	0.13795	0.180812	0.407264
a23	0.0360786	0.0678714	0.100322	0.111016	0.174254	0.510459
a87	0.0357626	0.0596965	0.0914364	0.117459	0.204794	0.490851
</S>	0.0264854	0.0423848	0.0588651	0.0820017	0.188926	0.601337
