 	ce	jeune	garçon-ci	a	des	problèmes	avec	sa	femme	</S>
a66	0.297825	0.246886	0.163966	0.0770397	0.0537929	0.0660483	0.0452996	0.022094	0.0143286	0.0127201
a87	0.316213	0.254246	0.165502	0.0933561	0.0621802	0.0370724	0.0258294	0.0175965	0.0142494	0.0137551
a23	0.402083	0.294437	0.203673	0.0359646	0.0132178	0.00768688	0.00842104	0.00973322	0.0110881	0.0136955
a83	0.275173	0.272777	0.295756	0.0631995	0.0227254	0.0094204	0.00794887	0.0101987	0.0164106	0.0263895
a54	0.197218	0.174159	0.220276	0.0865467	0.050379	0.041424	0.0375914	0.0500803	0.0665385	0.0757869
a6	0.199183	0.198356	0.239302	0.138615	0.0664271	0.039075	0.0281254	0.0303178	0.0299165	0.0306819
a92	0.140317	0.181171	0.225699	0.176967	0.0916618	0.0479904	0.034336	0.0367532	0.0332158	0.0318891
a37	0.152367	0.195237	0.246063	0.161824	0.0806728	0.0445571	0.0352244	0.0327891	0.026937	0.024329
a70	0.201569	0.204986	0.259026	0.143497	0.0802402	0.0344107	0.0226799	0.0174248	0.0171763	0.0189894
a98	0.165133	0.167928	0.250382	0.190563	0.10572	0.0477013	0.0256973	0.0152712	0.014557	0.0170475
a15	0.0593491	0.0679958	0.10931	0.155919	0.189143	0.130306	0.0995501	0.0624433	0.0584393	0.0675442
a98	0.0552319	0.0511153	0.0670349	0.10787	0.165605	0.196089	0.137167	0.0720013	0.0692007	0.0786844
a15	0.0286716	0.0284	0.0466753	0.0982934	0.172795	0.193038	0.153209	0.0993086	0.0870165	0.0925919
a79	0.0204245	0.0199135	0.0376632	0.0869586	0.153484	0.199315	0.157935	0.114524	0.103989	0.105793
a37	0.0188099	0.0165448	0.0311733	0.0628952	0.114267	0.20025	0.180904	0.12723	0.117005	0.13092
a85	0.0179588	0.0129207	0.0208178	0.0470136	0.0912039	0.195383	0.210864	0.137046	0.120036	0.146757
a6	0.00759395	0.00542809	0.00826058	0.0168385	0.0342004	0.102589	0.143105	0.176621	0.225024	0.280339
a7	0.00804656	0.00571187	0.00865008	0.015061	0.0288318	0.0928622	0.141447	0.165001	0.217779	0.316609
a15	0.0140104	0.0077939	0.00716094	0.00725483	0.0141232	0.0417161	0.0815455	0.134177	0.270581	0.421637
a25	0.0105403	0.0057635	0.00532648	0.00505281	0.00903631	0.025716	0.0517345	0.113091	0.282593	0.491145
a69	0.00452505	0.00213108	0.00174223	0.00205765	0.00506355	0.0155907	0.0373698	0.105808	0.315446	0.510267
a98	0.00457915	0.00250366	0.00189158	0.00181014	0.00435848	0.012315	0.030202	0.0921855	0.309464	0.54069
a47	0.00176744	0.000784756	0.000644873	0.000761514	0.00206595	0.00635695	0.0177377	0.0728821	0.329482	0.567516
a98	0.00109178	0.00050312	0.000295016	0.000585095	0.00183729	0.00580908	0.0174916	0.0881413	0.337002	0.547243
a6	0.000450152	0.000230863	0.000170005	0.000390734	0.00128315	0.00502735	0.0158597	0.0781469	0.339685	0.558756
a0	0.00262599	0.00114252	0.00069511	0.000959333	0.00269239	0.00855431	0.0281297	0.102006	0.329607	0.523588
a11	0.00325668	0.0019699	0.00166503	0.00263719	0.00768979	0.0231536	0.0575372	0.14243	0.295881	0.46378
a10	0.00731333	0.00494212	0.0033837	0.00530269	0.0155519	0.0445732	0.0926788	0.171882	0.266997	0.387375
a87	0.0804532	0.0474496	0.0216918	0.0237701	0.0435212	0.0813713	0.11403	0.147871	0.190336	0.249505
a23	0.226184	0.122246	0.0607819	0.0553649	0.0695207	0.0761771	0.0890131	0.0858994	0.0964098	0.118403
a99	0.0724827	0.0359063	0.0186145	0.0108989	0.0172299	0.0218549	0.0484693	0.105792	0.266726	0.402026
a97	0.0107674	0.00534493	0.00318484	0.00300024	0.00591105	0.0125379	0.0363116	0.0927694	0.307515	0.522658
</S>	0.0049375	0.00274773	0.00181589	0.0017977	0.00432546	0.0115683	0.0325683	0.0893951	0.292752	0.558092
