 	il	danse	comme	un	serpent	</S>
a66	0.593717	0.207548	0.068019	0.0466927	0.0389423	0.0450817
a87	0.491321	0.22379	0.1004	0.0694835	0.0529475	0.0620584
a23	0.531811	0.231462	0.0856449	0.0502965	0.0427314	0.058054
a20	0.285918	0.205106	0.124413	0.0994552	0.118537	0.166571
a36	0.460278	0.183111	0.0866533	0.0755607	0.0856441	0.108753
a26	0.384127	0.309371	0.139856	0.0862821	0.0489007	0.0314637
a61	0.280467	0.301867	0.177329	0.107433	0.0747076	0.0581957
a96	0.271708	0.226231	0.15398	0.125972	0.111571	0.110538
a5	0.138355	0.133909	0.149403	0.165995	0.187402	0.224935
a37	0.0551673	0.0533725	0.0934191	0.174089	0.274399	0.349554
a61	0.0204395	0.0222759	0.0497104	0.119823	0.28522	0.502531
a88	0.00970932	0.0134332	0.0362149	0.0972015	0.27727	0.566171
a90	0.00370471	0.00596789	0.0170974	0.0566473	0.235796	0.680786
a69	0.00362548	0.00587989	0.0210088	0.0731826	0.26179	0.634513
a58	0.00332595	0.00498678	0.0174652	0.0630508	0.250363	0.660808
a82	0.00845244	0.010616	0.0245764	0.0589985	0.221859	0.675498
a87	0.21796	0.143	0.11863	0.113835	0.149422	0.257153
</S>	0.321058	0.193119	0.138679	0.111736	0.103643	0.131764
