 	il	est	attentif	à	son	travail	</S>
a23	0.339776	0.183589	0.142926	0.0862224	0.0690552	0.0795484	0.0988834
a87	0.421522	0.188808	0.0959005	0.0579098	0.0641792	0.0708373	0.100844
a23	0.449479	0.190979	0.0799263	0.0492698	0.0624393	0.0665543	0.101352
a20	0.340284	0.147315	0.0573284	0.0406383	0.074507	0.120646	0.21928
a73	0.465852	0.149267	0.110085	0.0916179	0.0659459	0.0637292	0.0535032
a26	0.568089	0.251369	0.10055	0.0372691	0.0204816	0.0116964	0.0105448
a24	0.436268	0.299298	0.136378	0.0464499	0.0340813	0.0245022	0.0230222
a61	0.308966	0.303116	0.216547	0.0739657	0.0425828	0.0282243	0.0265982
a35	0.293225	0.285014	0.220889	0.0891078	0.0492389	0.0320313	0.0304946
a41	0.264352	0.285688	0.250961	0.0911889	0.0453115	0.0312121	0.0312862
a27	0.200972	0.226121	0.260442	0.124806	0.0730371	0.055386	0.0592359
a11	0.135753	0.175306	0.27197	0.140964	0.0885553	0.0830335	0.104418
a41	0.0959501	0.140756	0.271263	0.165439	0.107414	0.0965412	0.122637
a24	0.111424	0.135494	0.253819	0.178498	0.112075	0.0954207	0.113269
a18	0.0726729	0.0984643	0.205982	0.202588	0.158664	0.1253	0.136329
a24	0.0606213	0.0781911	0.185721	0.190243	0.158411	0.140353	0.186459
a41	0.0343803	0.0470473	0.131942	0.19407	0.214365	0.182695	0.195501
a43	0.0445256	0.0549051	0.151006	0.190223	0.181119	0.17121	0.207013
a11	0.0320997	0.038139	0.106449	0.162384	0.203264	0.200792	0.256872
a24	0.029889	0.0350501	0.0911211	0.144546	0.207706	0.231706	0.259982
a43	0.0188163	0.0203446	0.0502858	0.0984955	0.183441	0.297376	0.331241
a75	0.0218104	0.0212013	0.0478887	0.0907334	0.171713	0.286261	0.360392
a73	0.0162977	0.0173148	0.0452147	0.0943923	0.173194	0.28936	0.364226
a35	0.0100733	0.0103022	0.0339504	0.0878843	0.175674	0.313757	0.368359
a73	0.00859439	0.00892936	0.0275566	0.0724813	0.16053	0.303866	0.418042
a76	0.00903067	0.0089384	0.0273505	0.0738348	0.157498	0.314753	0.408595
a73	0.0109214	0.00909965	0.0235033	0.0596929	0.128178	0.272401	0.496204
a76	0.0083911	0.00724449	0.0171056	0.0431656	0.104215	0.294004	0.525875
a69	0.0139011	0.0130189	0.030034	0.0676546	0.135248	0.283501	0.456642
a84	0.00766338	0.00713781	0.0169936	0.0395179	0.0910986	0.276373	0.561216
a87	0.00315089	0.00220903	0.00548065	0.0213259	0.0660259	0.271146	0.630662
</S>	0.00410633	0.0020823	0.00294396	0.0192866	0.0766326	0.252299	0.642649
