 	le	féticheur	lui	a	attaché	une	amulette	pour	le	protéger	contre	les	sorciers	</S>
a66	0.134345	0.0889967	0.0641594	0.0674066	0.0738405	0.0954833	0.0979573	0.134362	0.135461	0.0595977	0.0253801	0.00851597	0.00775002	0.00674465
a87	0.248531	0.125197	0.0722267	0.0525437	0.0453017	0.0441288	0.0385403	0.0678586	0.0778439	0.0508347	0.0474782	0.0431401	0.0462086	0.0401671
a23	0.332389	0.150773	0.0877131	0.0529986	0.0402326	0.0398703	0.0368798	0.0428671	0.0424605	0.0293827	0.0321412	0.0341398	0.0375843	0.040568
a99	0.166328	0.0935825	0.0682818	0.0618512	0.070274	0.0782041	0.0656643	0.0782243	0.0700831	0.0517402	0.0518203	0.0442803	0.0485928	0.0510729
a54	0.128205	0.0802289	0.0634098	0.0541423	0.0481051	0.0508739	0.0677698	0.0815469	0.0722376	0.071412	0.0763123	0.0612919	0.0716525	0.072812
a92	0.135083	0.110591	0.0985745	0.0838142	0.0654406	0.053276	0.0472329	0.0615472	0.0542435	0.0456715	0.0504821	0.0567012	0.0697173	0.067625
a85	0.154275	0.154	0.12912	0.0988277	0.0501022	0.0337869	0.0241536	0.0382621	0.0393378	0.0435051	0.0470899	0.0547498	0.0684696	0.0643205
a47	0.151829	0.129433	0.110967	0.0896364	0.060322	0.0448346	0.0370869	0.0522456	0.0584057	0.0763083	0.0663108	0.0443538	0.038137	0.040129
a36	0.119848	0.112006	0.124547	0.122981	0.0963956	0.0753306	0.0523057	0.0520293	0.0426871	0.046514	0.0398105	0.0349079	0.0382718	0.0423659
a47	0.121916	0.113437	0.126261	0.122507	0.0944766	0.0768134	0.0564171	0.0483243	0.0388577	0.0374485	0.0363877	0.0348573	0.0448486	0.0474481
a37	0.090808	0.099684	0.120701	0.127263	0.114144	0.0999308	0.0782716	0.0570868	0.0412262	0.0264347	0.0219956	0.0256765	0.0391396	0.0576381
a93	0.0728407	0.0864705	0.110406	0.124892	0.123886	0.118229	0.102022	0.0772673	0.0574515	0.0290786	0.02135	0.0188954	0.026271	0.0309397
a44	0.0985038	0.114299	0.133389	0.1359	0.11055	0.107234	0.0794261	0.0659653	0.0519039	0.0245969	0.0164909	0.0149199	0.0204529	0.0263674
a53	0.0285175	0.0317136	0.0480432	0.0798198	0.120667	0.144911	0.132318	0.11729	0.101473	0.0547896	0.0323206	0.0253309	0.0357628	0.0470418
a93	0.0142376	0.0158078	0.024798	0.0462041	0.0924416	0.124519	0.135905	0.126286	0.121388	0.0746117	0.0483471	0.0384428	0.0590498	0.0779615
a56	0.0187958	0.0185016	0.0259057	0.0445449	0.0926533	0.124325	0.140036	0.133278	0.124053	0.0813842	0.0499728	0.0333991	0.049294	0.0638565
a47	0.0123074	0.0124358	0.015664	0.0250456	0.0570329	0.0893319	0.120272	0.123884	0.141587	0.110527	0.0808888	0.0529692	0.0700164	0.0880372
a61	0.00701201	0.00707299	0.0104637	0.0189111	0.0512108	0.0779918	0.124852	0.119532	0.128864	0.107967	0.086647	0.0543733	0.086786	0.118316
a62	0.00864951	0.00823367	0.0100934	0.0150146	0.0376096	0.0628605	0.0942556	0.0989628	0.118942	0.1294	0.125496	0.0762913	0.0973273	0.116863
a47	0.0109267	0.0104547	0.0120274	0.01606	0.0348701	0.0543274	0.0765984	0.0823324	0.0959082	0.124902	0.15575	0.116337	0.104809	0.104697
a43	0.0134757	0.0132886	0.0160398	0.0207874	0.0411546	0.0634826	0.0793331	0.0801398	0.0839135	0.0950641	0.109983	0.0947044	0.13121	0.157422
a75	0.00646398	0.0060804	0.00781851	0.0102121	0.0208762	0.0326919	0.0469398	0.0487202	0.0542642	0.0758152	0.113914	0.147256	0.207491	0.221457
a85	0.00122135	0.00120687	0.00171409	0.00293694	0.00922648	0.0147413	0.0259795	0.0288674	0.0368767	0.0576766	0.102751	0.18437	0.248226	0.284206
a98	0.00141956	0.00143874	0.00239076	0.00453907	0.0107651	0.0141514	0.0243782	0.0235186	0.0302791	0.0461607	0.0780623	0.167025	0.271061	0.324811
a85	0.000815915	0.000876576	0.00152245	0.00326819	0.00917129	0.0130271	0.0263289	0.0260793	0.0309799	0.0494143	0.0854642	0.188524	0.279803	0.284726
a47	0.000991026	0.000928937	0.00137739	0.00251253	0.0057501	0.00772071	0.0168762	0.0178166	0.0218352	0.0378921	0.0719937	0.192428	0.293328	0.32855
a92	0.000628272	0.000526589	0.000710683	0.00117297	0.00290752	0.00390726	0.00836257	0.00884571	0.0111949	0.0268401	0.0724351	0.211611	0.27732	0.373538
a37	0.000318172	0.000264151	0.000365096	0.000638832	0.00203232	0.00318275	0.00690072	0.00726388	0.0100982	0.0216539	0.0540993	0.186248	0.290041	0.416894
a26	0.00195653	0.00137512	0.00143632	0.00167068	0.00352352	0.00490346	0.00890171	0.00930174	0.0111893	0.0208427	0.0536374	0.171247	0.29524	0.414775
a82	0.00710428	0.00451767	0.00405773	0.00394618	0.00501854	0.00531201	0.00858775	0.0110384	0.0129898	0.0391652	0.070156	0.114001	0.297525	0.416581
a10	0.0677117	0.0323808	0.0258041	0.0256021	0.0274868	0.0280761	0.0316269	0.0357629	0.0434808	0.067234	0.0699197	0.0780594	0.18503	0.281825
a87	0.0972901	0.051627	0.0351108	0.031389	0.0346643	0.0347999	0.0396415	0.0592711	0.0836767	0.104953	0.12892	0.094595	0.101283	0.102779
a23	0.111953	0.0547082	0.0371219	0.0308104	0.0369336	0.0357533	0.0510706	0.0712042	0.0902903	0.101387	0.129206	0.0958856	0.0773471	0.0763289
a99	0.0899839	0.0384468	0.0242683	0.0181642	0.0181388	0.0157524	0.0175036	0.0253966	0.032814	0.0395437	0.0696113	0.164252	0.178928	0.267196
a97	0.056394	0.0260073	0.022665	0.0226738	0.0227722	0.0175915	0.0186091	0.0242871	0.0287867	0.0409979	0.070644	0.167295	0.22041	0.260868
</S>	0.0471525	0.0252218	0.0258682	0.0258774	0.0247577	0.0189623	0.0189229	0.0220768	0.0229406	0.0338011	0.0574001	0.123043	0.228854	0.325121
