 	sa	spécialité	c'	est	le	vol	</S>
a66	0.539966	0.278586	0.0772367	0.038466	0.0264583	0.0216117	0.0176751
a87	0.202816	0.120319	0.105628	0.127678	0.144386	0.153785	0.145388
a79	0.49253	0.28454	0.11589	0.0463556	0.0255628	0.0184781	0.0166444
a5	0.375681	0.352013	0.157838	0.05463	0.0292504	0.0163693	0.0142177
a41	0.472859	0.270287	0.125624	0.0602882	0.0351148	0.0193351	0.0164921
a75	0.368469	0.283625	0.169676	0.0877398	0.0465053	0.0238342	0.0201506
a85	0.289751	0.31199	0.226276	0.0991712	0.0433389	0.0174898	0.0119825
a41	0.2416	0.352733	0.188607	0.0956322	0.0586456	0.0337888	0.0289929
a85	0.13801	0.265699	0.22676	0.152459	0.0952833	0.0613652	0.0604241
a92	0.100352	0.196247	0.184653	0.164792	0.134222	0.111069	0.108666
a62	0.0309086	0.0583917	0.121526	0.206911	0.217485	0.189118	0.17566
a31	0.00813677	0.0115854	0.037074	0.124842	0.229223	0.288029	0.30111
a75	0.00457385	0.00551838	0.0163836	0.0702187	0.17574	0.318032	0.409533
a6	0.00150063	0.00296269	0.00843253	0.0391165	0.134643	0.329171	0.484173
a36	0.000997436	0.00188304	0.00530634	0.0227457	0.087997	0.317552	0.563518
a7	0.00510904	0.00761006	0.00897933	0.02368	0.0732432	0.291122	0.590256
a84	0.0125563	0.0218711	0.0236186	0.0462061	0.104412	0.281697	0.509639
a57	0.178449	0.123096	0.0603089	0.0704559	0.102695	0.182792	0.282203
a87	0.492597	0.311606	0.0789253	0.0363721	0.0285993	0.0262914	0.0256081
a23	0.425031	0.348611	0.098876	0.0404107	0.0310943	0.0290802	0.0268967
a99	0.0846307	0.0702241	0.0383257	0.0514539	0.119488	0.265175	0.370703
a26	0.0401618	0.0409651	0.0350921	0.0777367	0.163684	0.291345	0.351016
</S>	0.029157	0.0444213	0.0361734	0.0616893	0.136787	0.274308	0.417464
