 	il	a	atteint	la	vieillesse	sans	jamais	être	malade	</S>
a23	0.361262	0.211363	0.127564	0.0615991	0.0384776	0.0408399	0.0413654	0.0377065	0.0382663	0.0415555
a85	0.338857	0.179393	0.138927	0.0950965	0.0832789	0.0588825	0.0364855	0.0229975	0.021741	0.0243413
a87	0.241655	0.15662	0.157462	0.107828	0.0873352	0.0683344	0.0450053	0.0327956	0.0444544	0.0585096
a23	0.22893	0.152311	0.166357	0.108339	0.0937556	0.0633555	0.0433874	0.0365501	0.0467831	0.0602311
a79	0.288069	0.159359	0.134614	0.0677412	0.0456893	0.054586	0.0419376	0.0474485	0.0633121	0.0972429
a20	0.366613	0.245068	0.164396	0.0556606	0.023627	0.0212485	0.0160525	0.0196007	0.0328788	0.0548549
a73	0.220287	0.229944	0.231683	0.122648	0.0776463	0.0425429	0.0263356	0.0183239	0.0149659	0.015623
a7	0.186896	0.212838	0.231826	0.144914	0.101955	0.049912	0.0284871	0.0176808	0.0132143	0.0122766
a84	0.133181	0.184172	0.233678	0.163162	0.1298	0.0679588	0.0348175	0.0208678	0.0166318	0.0157307
a38	0.119856	0.151137	0.209248	0.174378	0.135563	0.0841654	0.0464296	0.0288252	0.0255534	0.0248444
a41	0.0982317	0.123833	0.195989	0.18734	0.175275	0.0959191	0.0470001	0.026777	0.0241735	0.025462
a12	0.110564	0.110899	0.164542	0.19274	0.183812	0.0951157	0.0546039	0.0334157	0.0277823	0.0265263
a32	0.0620877	0.0665777	0.10791	0.162861	0.217735	0.147455	0.0986523	0.0599123	0.0420083	0.0348008
a90	0.0657746	0.0636459	0.0868245	0.123781	0.201369	0.153346	0.116742	0.0755117	0.0586082	0.0543972
a94	0.0626228	0.06681	0.0912929	0.121032	0.188739	0.145102	0.112696	0.0788808	0.0681043	0.0647188
a35	0.0570776	0.056653	0.0743119	0.0841791	0.119891	0.126583	0.13038	0.109979	0.12118	0.119765
a94	0.054324	0.0534468	0.0674146	0.0750541	0.0916681	0.113182	0.126386	0.124067	0.148483	0.145974
a71	0.0523047	0.0469491	0.0535644	0.0586118	0.073177	0.113352	0.136202	0.141585	0.163872	0.160382
a25	0.0545335	0.0479127	0.0568191	0.0676269	0.0754026	0.106842	0.115912	0.131831	0.168696	0.174423
a87	0.0547873	0.0467964	0.0548196	0.0724908	0.0829042	0.101287	0.0962989	0.107368	0.171583	0.211665
a23	0.0292224	0.0253891	0.0277654	0.0587573	0.0589997	0.0735891	0.0890702	0.132718	0.208518	0.295971
a24	0.0427286	0.0240235	0.0250591	0.0449664	0.0513171	0.064147	0.0803349	0.115065	0.184023	0.368335
a25	0.0339931	0.0264172	0.0300591	0.0308003	0.0234611	0.0430067	0.0560171	0.102438	0.24432	0.409488
a79	0.0125408	0.0116927	0.0152207	0.0201738	0.0203941	0.040421	0.0554354	0.0969724	0.249638	0.477511
a76	0.0187318	0.0194069	0.0252811	0.0278618	0.0290993	0.0404797	0.0521648	0.0876082	0.254854	0.444512
a94	0.0290098	0.0300969	0.0395663	0.038857	0.0319666	0.0442076	0.0601149	0.111417	0.243467	0.371297
a24	0.0089051	0.00776835	0.0100967	0.013121	0.0141747	0.0247547	0.0437858	0.0891716	0.258657	0.529565
a25	0.00729873	0.00591936	0.00724134	0.00971725	0.00992535	0.0165078	0.0308143	0.0810184	0.269941	0.561616
a38	0.00753134	0.00583171	0.00721993	0.00951175	0.0093019	0.0166749	0.0305992	0.0814178	0.276547	0.555364
a73	0.00663424	0.0047264	0.00538806	0.00833207	0.00832861	0.0159136	0.0277282	0.0761056	0.267219	0.579624
a84	0.0147423	0.00924625	0.0102283	0.0120538	0.00979076	0.0192943	0.033173	0.0930633	0.282154	0.516254
a57	0.00506916	0.0037032	0.00385724	0.00725398	0.0088219	0.0137233	0.0242284	0.0676543	0.258621	0.607067
a87	0.00886947	0.00427955	0.00294034	0.00452282	0.00581454	0.0100473	0.0253019	0.0891296	0.268894	0.580201
</S>	0.0120293	0.00629173	0.0034027	0.00513292	0.0042238	0.0156818	0.0426066	0.130758	0.275315	0.504559
