 	ma	femme	m'	a	apporté	le	repas	</S>
a66	0.346425	0.246218	0.165416	0.122134	0.0616453	0.0277398	0.0160994	0.0143228
a87	0.3419	0.231172	0.156608	0.138106	0.0818863	0.0274398	0.0133146	0.00957322
a23	0.333812	0.305501	0.204215	0.0947307	0.0315786	0.0129983	0.0097108	0.00745419
a44	0.293957	0.314776	0.209516	0.0883142	0.0254393	0.0171539	0.0217757	0.0290684
a54	0.249751	0.229096	0.199358	0.133851	0.062439	0.047766	0.0388417	0.0388974
a0	0.157678	0.189151	0.196515	0.202323	0.116152	0.0625552	0.0401678	0.0354577
a75	0.151508	0.218518	0.209695	0.210494	0.109674	0.0577886	0.0268785	0.0154443
a92	0.132348	0.188666	0.197636	0.236851	0.154218	0.0584227	0.0208513	0.0110074
a37	0.111734	0.152642	0.172062	0.222819	0.180747	0.085476	0.0464886	0.0280315
a61	0.139732	0.182183	0.210671	0.218149	0.104886	0.0545534	0.0494096	0.0404173
a21	0.153889	0.177933	0.210607	0.213516	0.114073	0.052559	0.04255	0.0348723
a85	0.106293	0.122409	0.163687	0.193488	0.139904	0.0880136	0.0967536	0.0894513
a92	0.0220046	0.0323907	0.0558879	0.102997	0.155793	0.184903	0.209702	0.236322
a85	0.0276835	0.0331769	0.0584451	0.103064	0.199346	0.195586	0.19416	0.188538
a5	0.0139242	0.0162433	0.0268181	0.0500474	0.125938	0.184804	0.248584	0.333641
a12	0.0186661	0.0166932	0.0239839	0.0377095	0.0974794	0.195507	0.280228	0.329733
a18	0.00686667	0.00515463	0.00594969	0.00908351	0.0413289	0.183537	0.374314	0.373765
a21	0.00662867	0.00611755	0.00494184	0.0048034	0.0101035	0.0578834	0.325181	0.58434
a85	0.00141896	0.00112151	0.00123626	0.00186521	0.0100982	0.085026	0.324482	0.574752
a6	0.000255022	0.000194299	0.00019593	0.000337721	0.00331333	0.0382152	0.274909	0.682579
a36	0.00015837	0.000123864	0.000139822	0.000277197	0.00322059	0.0387926	0.244487	0.712801
a2	0.00174045	0.00126288	0.00116327	0.00194465	0.0111163	0.0623478	0.25564	0.664784
a57	0.0461927	0.0283691	0.0249286	0.0353892	0.0673938	0.126411	0.229389	0.441927
a87	0.184508	0.0913505	0.0765224	0.0821157	0.0835935	0.109936	0.149946	0.222028
a23	0.292991	0.192629	0.160904	0.1219	0.0651367	0.0485433	0.0511414	0.0667543
a99	0.0623434	0.0370694	0.0243003	0.0191412	0.0374458	0.105164	0.295677	0.418859
a97	0.0131953	0.00827872	0.00639582	0.00670198	0.0228925	0.0978219	0.340885	0.503829
</S>	0.00456886	0.00307341	0.00261734	0.00321693	0.0151645	0.0867136	0.370177	0.514468
