 	la	mère	berce	l'	enfant	</S>
a66	0.435338	0.266292	0.127599	0.0846638	0.048949	0.0371586
a87	0.285022	0.234189	0.252054	0.155371	0.048988	0.0243762
a23	0.485867	0.3228	0.11155	0.041446	0.0215133	0.0168241
a99	0.47031	0.306571	0.124586	0.0374721	0.0232594	0.0378023
a53	0.471319	0.300789	0.120252	0.0415228	0.0293135	0.0368039
a90	0.245597	0.354815	0.274785	0.0735395	0.0283519	0.0229111
a56	0.169005	0.304208	0.326204	0.11989	0.0493737	0.03132
a75	0.143627	0.215648	0.311951	0.179997	0.0933059	0.0554718
a85	0.0714999	0.118441	0.239341	0.266399	0.191814	0.112505
a37	0.0659373	0.0819635	0.174589	0.265737	0.248203	0.16357
a61	0.107563	0.0838901	0.119435	0.204245	0.241769	0.243097
a21	0.0257012	0.0174933	0.0364669	0.143659	0.328552	0.448128
a5	0.0104093	0.00780998	0.0201967	0.0948153	0.286016	0.580753
a92	0.00712881	0.00513711	0.0139678	0.063913	0.241766	0.668087
a36	0.00123634	0.00122345	0.00483027	0.0357013	0.208377	0.748632
a2	0.00146873	0.00134074	0.00370507	0.0225499	0.147181	0.823755
a30	0.0179798	0.0180313	0.0247629	0.0678377	0.211713	0.659675
a57	0.229623	0.113957	0.0664185	0.0882285	0.167653	0.33412
a87	0.357912	0.223141	0.13723	0.101365	0.0800923	0.10026
a23	0.26951	0.227628	0.178204	0.143737	0.0936198	0.0873012
a87	0.125387	0.0868978	0.0703513	0.103967	0.195155	0.418241
</S>	0.0129608	0.0131681	0.0250415	0.0789878	0.248372	0.62147
