 	cet	oiseau	a	une	longue	queue	</S>
a66	0.284994	0.251879	0.193815	0.16329	0.0657184	0.0249529	0.0153517
a87	0.320368	0.218612	0.160547	0.162617	0.0980415	0.0308706	0.00894366
a23	0.368902	0.301984	0.189743	0.105163	0.018606	0.00927182	0.00633096
a38	0.362342	0.304281	0.194019	0.109686	0.0157643	0.0065751	0.0073324
a54	0.336542	0.240914	0.180917	0.165935	0.0358199	0.0226507	0.0172217
a36	0.178024	0.16601	0.176827	0.303263	0.123356	0.0314334	0.021086
a43	0.131681	0.139614	0.158385	0.267924	0.200779	0.0699513	0.031665
a25	0.12112	0.121371	0.171415	0.247247	0.226049	0.0767044	0.0360931
a98	0.0583256	0.0685804	0.117345	0.212237	0.272126	0.173	0.0983856
a92	0.0285246	0.0303311	0.0603474	0.135611	0.264923	0.309264	0.170998
a37	0.0908131	0.0751219	0.111543	0.134724	0.164554	0.269412	0.153833
a12	0.0988139	0.0861654	0.131684	0.152343	0.152654	0.226033	0.152306
a31	0.048869	0.0329904	0.0545424	0.0788367	0.157176	0.310807	0.316778
a0	0.0211406	0.0132861	0.0188377	0.0258396	0.106483	0.31494	0.499472
a90	0.0186709	0.00837135	0.00770601	0.00783476	0.0307979	0.135929	0.79069
a56	0.0118049	0.00593997	0.00552681	0.00604387	0.0267635	0.113222	0.830699
a37	0.00842495	0.0032214	0.00224381	0.00245134	0.0154267	0.0752951	0.892937
a6	0.00733518	0.00333256	0.00238216	0.00265861	0.0127207	0.0657596	0.905811
a36	0.000958019	0.000468105	0.000391245	0.000755149	0.0066332	0.0597664	0.931028
a2	0.0143052	0.00909538	0.00560484	0.00547041	0.015452	0.105958	0.844114
a57	0.110266	0.075886	0.0494	0.036827	0.0488016	0.15731	0.52151
a87	0.254664	0.171019	0.0908162	0.0469708	0.0371331	0.116159	0.283237
a23	0.351883	0.246386	0.153876	0.0878834	0.036292	0.0502641	0.0734157
a87	0.230946	0.166473	0.103688	0.0620334	0.0376062	0.0929619	0.306292
a23	0.0512373	0.041757	0.0272152	0.0208926	0.0284445	0.163623	0.66683
a87	0.0730658	0.0563893	0.0429764	0.035506	0.0408007	0.141109	0.610152
a23	0.0114603	0.0106446	0.00810763	0.00858638	0.0231166	0.189678	0.748406
a87	0.0489499	0.0488315	0.0408918	0.0345045	0.0391664	0.145601	0.642055
</S>	0.0183874	0.0170091	0.011326	0.0113359	0.033395	0.228231	0.680316
