 	j'	achète	les	arachides	</S>
a23	0.515188	0.204379	0.115982	0.0806102	0.0838409
a50	0.384113	0.150719	0.126674	0.153408	0.185085
a98	0.512036	0.24551	0.112393	0.0739394	0.0561217
a75	0.558031	0.279943	0.077549	0.0540684	0.030409
a14	0.452914	0.307364	0.107118	0.0818461	0.0507572
a35	0.496691	0.314246	0.102761	0.0519158	0.0343853
a26	0.477964	0.312093	0.109264	0.0587079	0.0419721
a24	0.334213	0.283557	0.154075	0.118983	0.109172
a0	0.248912	0.234004	0.171497	0.172837	0.17275
a11	0.158787	0.163099	0.179626	0.234926	0.263562
a75	0.132357	0.146178	0.184944	0.246759	0.289762
a76	0.0558525	0.0874189	0.151261	0.304528	0.40094
a35	0.059193	0.0769126	0.124502	0.289075	0.450317
a14	0.0447364	0.0606581	0.0943411	0.260232	0.540033
a35	0.0348225	0.0532441	0.106498	0.288545	0.516891
a38	0.0270941	0.0415291	0.0902518	0.259696	0.581429
a90	0.0194106	0.0307767	0.0695226	0.231139	0.649151
a56	0.0183968	0.0219013	0.0526676	0.22484	0.682195
a90	0.0156196	0.0161493	0.0422587	0.208922	0.717051
a9	0.0116778	0.0145506	0.0470844	0.230482	0.696205
a87	0.0362818	0.0404644	0.0739487	0.232771	0.616534
</S>	0.111937	0.0899576	0.103153	0.216409	0.478543
