 	nous	savons	parler	la	langue	mbochie	</S>
a87	0.360806	0.157572	0.147147	0.122456	0.0895654	0.0745664	0.0478874
a10	0.162986	0.125485	0.173037	0.145918	0.175739	0.132436	0.0843989
a97	0.177493	0.120973	0.103671	0.0987429	0.121046	0.204711	0.173363
a87	0.510259	0.185503	0.0866764	0.0581091	0.0477512	0.0537204	0.0579802
a97	0.528163	0.198009	0.0841073	0.0583088	0.0498008	0.0429272	0.0386841
a99	0.594669	0.210747	0.0781369	0.0437	0.0317897	0.0163757	0.0245814
a87	0.514954	0.210941	0.086691	0.0596247	0.050891	0.0269555	0.0499434
a97	0.486832	0.196483	0.0996581	0.0709307	0.0564553	0.0366452	0.0529957
a99	0.489004	0.219218	0.0980357	0.0666492	0.0513997	0.0287142	0.0469786
a97	0.439876	0.236144	0.109086	0.0768857	0.0602977	0.0292496	0.0484616
a87	0.292418	0.179309	0.110076	0.118473	0.127649	0.0552011	0.116874
a99	0.335698	0.200531	0.131202	0.116316	0.0951421	0.0489451	0.072166
a50	0.353727	0.219759	0.112315	0.100161	0.0934752	0.0413228	0.0792399
a62	0.452477	0.263279	0.0901014	0.0729172	0.0464622	0.0372586	0.037505
a0	0.452605	0.270385	0.102791	0.0801785	0.035976	0.0316204	0.0264434
a62	0.192152	0.191588	0.135696	0.144479	0.111756	0.114366	0.109963
a47	0.194062	0.231759	0.162336	0.152109	0.0864969	0.0949223	0.0783149
a62	0.127924	0.163894	0.152136	0.184449	0.106182	0.15061	0.114805
a75	0.152194	0.188609	0.163725	0.17018	0.0941461	0.116284	0.114862
a70	0.293946	0.21945	0.135163	0.111734	0.0682999	0.080311	0.0910963
a34	0.0640604	0.112302	0.13548	0.163477	0.116999	0.197167	0.210515
a83	0.0528155	0.0764523	0.100148	0.130138	0.122425	0.244122	0.273899
a0	0.0218962	0.0341901	0.054926	0.0889818	0.114133	0.301141	0.384731
a21	0.00489026	0.00797617	0.0157033	0.0329514	0.0708821	0.326086	0.54151
a34	0.0134829	0.0178623	0.029162	0.0482145	0.0863879	0.283551	0.52134
a83	0.00295186	0.00423022	0.00943606	0.0227788	0.0651481	0.327018	0.568437
a56	0.00143296	0.00236333	0.00628381	0.0173364	0.0620263	0.286463	0.624095
a0	0.00289751	0.00421377	0.00920326	0.0216858	0.0657895	0.266065	0.630145
a24	0.00134504	0.00197828	0.00538678	0.0130681	0.0576626	0.221861	0.698699
a9	0.00233501	0.00345586	0.00953535	0.0220308	0.0908721	0.264464	0.607307
a10	0.00630889	0.00680345	0.0195436	0.0309637	0.0970653	0.333694	0.505622
a87	0.0181855	0.0195034	0.0406037	0.0475464	0.117313	0.235748	0.5211
a10	0.0451481	0.0415456	0.0688974	0.0772753	0.159097	0.186448	0.421589
a87	0.041683	0.0354327	0.0497801	0.0633755	0.144205	0.198722	0.466802
a9	0.0586772	0.0482555	0.0686838	0.0852012	0.16638	0.167844	0.404958
</S>	0.0357807	0.0360794	0.057482	0.0715091	0.153436	0.180764	0.464948
