 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
a23	0.334222	0.210688	0.142677	0.116057	0.0763423	0.0444096	0.0360772	0.0211448	0.018382
a85	0.218688	0.0948544	0.101725	0.145733	0.171541	0.111891	0.0711868	0.0401433	0.0442373
a87	0.0937489	0.0760063	0.108368	0.157809	0.192795	0.136094	0.101448	0.060891	0.0728397
a23	0.127417	0.0789067	0.11757	0.156243	0.172737	0.11519	0.078087	0.0560829	0.0977671
a20	0.0626133	0.0412081	0.0669111	0.0919999	0.11365	0.0960455	0.110191	0.116582	0.300799
a44	0.265031	0.143268	0.120651	0.116684	0.133205	0.0781681	0.0554714	0.0380055	0.0495159
a84	0.243303	0.180027	0.149494	0.131275	0.142375	0.0838953	0.0395566	0.0166141	0.013461
a38	0.170068	0.165917	0.147524	0.115785	0.130541	0.102765	0.0707804	0.0481096	0.0485094
a41	0.108414	0.128353	0.116894	0.0901642	0.115942	0.111127	0.0949201	0.0990776	0.135108
a20	0.138282	0.160668	0.151901	0.125632	0.146944	0.115211	0.0738361	0.044868	0.0426581
a73	0.134572	0.157686	0.166785	0.151404	0.145357	0.0993327	0.07071	0.0415263	0.0326275
a44	0.112497	0.138118	0.16446	0.161755	0.163813	0.117831	0.0722675	0.0384134	0.0308451
a26	0.105905	0.139567	0.150812	0.13057	0.155529	0.131526	0.0895891	0.0513498	0.0451523
a76	0.100806	0.135298	0.126968	0.107088	0.144019	0.135405	0.109964	0.0690268	0.0714248
a98	0.091129	0.123207	0.119917	0.0941979	0.123673	0.135087	0.12418	0.0972525	0.0913574
a73	0.0742774	0.106846	0.104094	0.0898489	0.111767	0.134717	0.147402	0.123988	0.10706
a94	0.0531487	0.0922841	0.0840575	0.0732596	0.0940399	0.131298	0.178116	0.146162	0.147635
a66	0.0421608	0.0692861	0.0571225	0.0447126	0.0596935	0.0940657	0.171201	0.189024	0.272734
a76	0.0198957	0.0359753	0.0315653	0.0289088	0.0438386	0.0809062	0.18812	0.244399	0.326391
a90	0.0304476	0.0459919	0.039125	0.0311541	0.034122	0.0598973	0.156109	0.256393	0.34676
a32	0.0352311	0.052071	0.0472788	0.0397094	0.0428233	0.0629577	0.14804	0.272377	0.299512
a90	0.0211404	0.0284443	0.0266949	0.0239684	0.0272038	0.0448416	0.123419	0.290277	0.414011
a76	0.0225092	0.035304	0.0336625	0.0300862	0.0328564	0.0489031	0.118177	0.269991	0.408511
a94	0.0178078	0.0279146	0.0328058	0.0303042	0.0359147	0.0647425	0.145815	0.265672	0.379024
a71	0.00816834	0.0121686	0.0137451	0.0153246	0.0222313	0.0432627	0.0990298	0.224697	0.561373
a10	0.00930612	0.010422	0.00904646	0.00882121	0.0133654	0.0317136	0.0853603	0.223428	0.608537
a75	0.00651971	0.00628109	0.00566689	0.00578803	0.00741089	0.0150164	0.0447087	0.178901	0.729707
a41	0.00296302	0.00327885	0.00353405	0.00373206	0.00534868	0.013095	0.0448421	0.17616	0.747047
a27	0.00165538	0.00255225	0.00286409	0.00276082	0.00482419	0.0127844	0.0436267	0.190263	0.73867
a82	0.00203352	0.00238886	0.00226146	0.00206248	0.00334361	0.00957503	0.0369092	0.17541	0.766016
a87	0.00446897	0.00388632	0.00423513	0.00495839	0.00492882	0.0104991	0.039793	0.201433	0.725797
</S>	0.0186136	0.0163856	0.0184864	0.0182786	0.0147448	0.0221516	0.0783927	0.220422	0.592525
