 	soyez	la	bienvenue	</S>
a23	0.706615	0.189337	0.0794849	0.0245632
a87	0.447666	0.231327	0.196575	0.124433
a23	0.352919	0.278751	0.25803	0.110301
a12	0.331376	0.235484	0.255114	0.178026
a94	0.634477	0.189216	0.133102	0.0432051
a20	0.476062	0.279126	0.188824	0.0559876
a73	0.417896	0.269875	0.207164	0.105065
a94	0.539165	0.242335	0.152181	0.0663197
a76	0.428184	0.268841	0.202597	0.100379
a69	0.317899	0.234061	0.25905	0.18899
a58	0.249681	0.224276	0.254075	0.271969
a38	0.101902	0.133246	0.210152	0.5547
a75	0.0633727	0.0688177	0.157589	0.710221
a41	0.0479293	0.0661561	0.147797	0.738118
a18	0.0303152	0.045911	0.109586	0.814188
a25	0.0422467	0.0457228	0.0944533	0.817577
a87	0.0315514	0.0438198	0.108431	0.816198
</S>	0.0363891	0.0530007	0.132876	0.777734
