 	les	mangues	n'	ont	pas	été	achetées	</S>
a66	0.26669	0.202991	0.146736	0.12937	0.0905872	0.073431	0.0543895	0.0358053
a87	0.182388	0.162894	0.135492	0.111882	0.097524	0.101191	0.109902	0.0987268
a10	0.316273	0.229477	0.131435	0.0778329	0.0720612	0.0722184	0.0610005	0.0397023
a87	0.294227	0.255369	0.140457	0.0743316	0.0723985	0.0740736	0.0566835	0.0324596
a40	0.271683	0.264927	0.148815	0.0794328	0.0818026	0.0854995	0.0458801	0.0219593
a73	0.433799	0.261926	0.0974513	0.0378798	0.0288289	0.0435036	0.0565899	0.0400217
a7	0.295347	0.21831	0.141105	0.0812599	0.0482866	0.0438381	0.0846685	0.0871843
a44	0.283772	0.207879	0.158414	0.0868049	0.0481198	0.0392657	0.0806906	0.0950548
a54	0.183707	0.15577	0.140983	0.101336	0.0692698	0.0633353	0.123757	0.161842
a47	0.0947251	0.0934073	0.103545	0.111493	0.0981148	0.099199	0.176771	0.222744
a85	0.0852231	0.089768	0.103088	0.106343	0.0892212	0.0936948	0.185289	0.247373
a6	0.0696132	0.0769159	0.102922	0.125788	0.107799	0.0982538	0.174188	0.244519
a36	0.0229532	0.027371	0.0421443	0.0781415	0.100894	0.12687	0.247246	0.35438
a94	0.00583912	0.00676137	0.0112815	0.0320477	0.0725649	0.150398	0.301089	0.420019
a70	0.00226313	0.0027365	0.00475078	0.0151447	0.047879	0.124729	0.310524	0.491972
a66	0.000984291	0.00119112	0.00213799	0.00766922	0.0348637	0.1186	0.316842	0.517712
a82	0.00193965	0.00238246	0.00384463	0.0128017	0.0561	0.175044	0.296176	0.451711
a3	0.00981142	0.00903351	0.00986065	0.0177891	0.0628582	0.229436	0.294822	0.366389
a97	0.0425081	0.0310318	0.0274987	0.0354283	0.0713597	0.162291	0.26603	0.363853
a87	0.075733	0.0560167	0.0463458	0.0564577	0.0991204	0.176781	0.237432	0.252113
a97	0.038211	0.0306698	0.0286966	0.0447644	0.0969169	0.197783	0.280657	0.282302
a10	0.0369179	0.0368323	0.0409571	0.0601594	0.100337	0.175232	0.281535	0.268029
a97	0.048781	0.0524572	0.0616348	0.0811101	0.107289	0.147177	0.247739	0.253812
a87	0.0698925	0.0775073	0.0889029	0.0988025	0.113656	0.145219	0.212384	0.193636
a97	0.0461946	0.0506671	0.0648354	0.0868971	0.122298	0.171704	0.242182	0.215223
a30	0.0816333	0.0903386	0.0915791	0.0949904	0.111227	0.148479	0.208865	0.172887
</S>	0.111638	0.114654	0.10375	0.0945646	0.104733	0.134943	0.183208	0.152508
