 	on	leur	a	donné	des	parts	égales	la	manière	dont	il	a	boudé	la	sienne	cache	quelque	chose	</S>
a15	0.0873403	0.102003	0.0956418	0.130202	0.138505	0.0929666	0.0617645	0.0555327	0.0496605	0.0307842	0.03717	0.023824	0.0221009	0.019347	0.020452	0.0124011	0.00858148	0.00679953	0.0049229
a66	0.142587	0.137202	0.0792697	0.0582704	0.0331376	0.0214238	0.0159917	0.0187747	0.0216751	0.0210172	0.0164738	0.0194957	0.023401	0.03642	0.0504364	0.0608756	0.0793581	0.098973	0.065217
a87	0.213345	0.168704	0.110553	0.0744331	0.0426155	0.0341518	0.0249708	0.028907	0.0334638	0.0282453	0.0200716	0.0293206	0.0232688	0.0250473	0.0217165	0.0227356	0.0321635	0.0367056	0.0295816
a40	0.146171	0.120258	0.10386	0.0683369	0.0415141	0.0323416	0.0268275	0.0337344	0.0418166	0.0427902	0.0284619	0.0513298	0.0458491	0.0431984	0.0346176	0.0357173	0.0394797	0.0355314	0.0281641
a36	0.204346	0.135404	0.08318	0.0558797	0.0390172	0.0350809	0.0363991	0.0350718	0.0419308	0.0362626	0.0320734	0.03699	0.0284767	0.0302454	0.0345464	0.0308781	0.0501732	0.0321035	0.0219416
a7	0.195072	0.149153	0.147071	0.162917	0.10651	0.0485566	0.029622	0.0253852	0.0201106	0.00766666	0.0053142	0.00452524	0.00502916	0.00774714	0.0112431	0.012525	0.0190834	0.0246151	0.0178534
a75	0.129279	0.0882109	0.110977	0.123463	0.099972	0.0672266	0.0563656	0.0496264	0.0401424	0.0146698	0.00832983	0.00855576	0.0109327	0.0189636	0.0268332	0.0293207	0.0304813	0.0479804	0.0386705
a5	0.0920289	0.0651311	0.0794576	0.086982	0.0810623	0.0708262	0.0745567	0.0684993	0.060451	0.0277045	0.01635	0.0127063	0.0138207	0.0239536	0.0342071	0.0389045	0.0397616	0.0633843	0.050212
a98	0.0801502	0.0572008	0.0737303	0.0780385	0.0755937	0.0766645	0.0836239	0.0810324	0.0788797	0.0462804	0.0348521	0.0234607	0.0223313	0.0270397	0.0284276	0.0255577	0.0203456	0.0402026	0.0465883
a47	0.0478813	0.0504813	0.0782941	0.0910511	0.08354	0.085783	0.105855	0.0842166	0.0740919	0.0358252	0.0219915	0.0170343	0.0181512	0.0235978	0.0250087	0.0254954	0.0226573	0.0462001	0.0628438
