 	son	discours	fut	bref	</S>
a23	0.444006	0.235145	0.113	0.11344	0.0944092
a87	0.279582	0.237936	0.183262	0.181879	0.117341
a23	0.297993	0.236874	0.190216	0.14747	0.127446
a99	0.415686	0.223219	0.13483	0.114208	0.112057
a11	0.476648	0.204221	0.100895	0.0861742	0.132062
a35	0.541659	0.2243	0.106643	0.0686351	0.0587636
a41	0.446999	0.269928	0.149019	0.0825981	0.0514563
a35	0.48435	0.263364	0.126182	0.0734492	0.0526542
a30	0.434947	0.262839	0.144604	0.0897197	0.0678896
a20	0.41215	0.260474	0.156932	0.0990389	0.0714055
a30	0.406284	0.250082	0.157449	0.10755	0.0786358
a14	0.337522	0.228398	0.188614	0.141795	0.103672
a2	0.289355	0.217606	0.182097	0.157005	0.153937
a38	0.116997	0.141276	0.172489	0.244077	0.325161
a24	0.109068	0.125018	0.155283	0.263735	0.346896
a32	0.0444511	0.0692315	0.14272	0.312841	0.430757
a25	0.0374905	0.0539312	0.123006	0.294541	0.491031
a82	0.0269097	0.0359197	0.0783758	0.271762	0.587033
a13	0.0223484	0.0287341	0.0536767	0.204312	0.690929
a66	0.0335553	0.0391372	0.0709152	0.205269	0.651123
a18	0.0454394	0.0450771	0.0732771	0.166361	0.669846
a99	0.0532221	0.0511938	0.0901114	0.191028	0.614444
a87	0.0634727	0.0557693	0.0884664	0.177497	0.614795
</S>	0.0600744	0.0694228	0.129948	0.209715	0.530839
