 	des	applaudissements	sont	en	train	d'	éclater	parce	que	le	roi	s'	adresse	au	peuple	</S>
a66	0.0357153	0.0540392	0.0720614	0.0752076	0.0815015	0.0887891	0.100512	0.0817484	0.0969726	0.147851	0.0900224	0.0412319	0.020353	0.0079571	0.00337899	0.00265856
a87	0.217171	0.158818	0.122034	0.0853606	0.103722	0.0765408	0.0882818	0.0380834	0.0283273	0.0331125	0.0142987	0.00903777	0.00864733	0.00355501	0.00528529	0.0077245
a23	0.242575	0.219766	0.104189	0.0859288	0.0618419	0.0465456	0.0392828	0.0223251	0.0222755	0.0260061	0.0259356	0.0256692	0.0356335	0.019628	0.0125356	0.00986238
a83	0.348974	0.349406	0.10553	0.0592197	0.030418	0.0186137	0.0192946	0.0148366	0.00933736	0.00646785	0.00614843	0.00507955	0.00544976	0.00408405	0.00709816	0.0100431
a9	0.217107	0.346309	0.117235	0.0837946	0.0594727	0.0426037	0.041577	0.0186288	0.0122322	0.0128308	0.0115622	0.00743518	0.00920104	0.00688118	0.00584084	0.00728798
a24	0.205506	0.292613	0.139658	0.0990061	0.0740548	0.0483493	0.0474971	0.0190829	0.0118304	0.0152865	0.0151915	0.0088366	0.00937161	0.00614141	0.00378913	0.00378627
a62	0.214759	0.351854	0.129476	0.0836356	0.0583508	0.0365607	0.0377307	0.015421	0.0089011	0.0119768	0.0145604	0.00906347	0.0113425	0.00815074	0.00446424	0.00375313
a21	0.250678	0.316676	0.124617	0.0726251	0.0511122	0.0357349	0.0460242	0.0256863	0.0124153	0.012464	0.0141245	0.00893579	0.0111384	0.00913814	0.00496986	0.00365968
a96	0.236945	0.268804	0.131551	0.0819723	0.0588618	0.0396045	0.0535653	0.0295373	0.0154478	0.015218	0.014698	0.00872578	0.0129612	0.0134085	0.0105967	0.00810277
a93	0.206351	0.294357	0.119762	0.0744	0.0533434	0.038792	0.0527952	0.0296986	0.0153644	0.0156841	0.0181722	0.0115204	0.0174093	0.0193268	0.0182931	0.0147309
a44	0.175684	0.226015	0.12258	0.0890719	0.0684273	0.054341	0.0663655	0.0405669	0.0232482	0.024566	0.0244591	0.0133491	0.0178894	0.0192276	0.0186686	0.0155401
