 	il	a	été	touché	par	balle	lors	du	combat	</S>
a66	0.266216	0.213551	0.167549	0.187701	0.0795644	0.0391998	0.020562	0.0104397	0.00800367	0.00721246
a87	0.464325	0.201397	0.104974	0.0693419	0.0415898	0.0302778	0.0296086	0.0163684	0.0195806	0.0225363
a10	0.21249	0.13001	0.099522	0.0675116	0.0453698	0.0497949	0.119132	0.0802434	0.0921815	0.103745
a97	0.164599	0.150871	0.134093	0.0752188	0.0457952	0.0555297	0.0980494	0.0697635	0.093904	0.112176
a87	0.162278	0.152653	0.13967	0.089313	0.0577884	0.0651118	0.0980404	0.0670192	0.0800563	0.0880693
a97	0.14153	0.127628	0.119414	0.0834043	0.0571283	0.0647822	0.103412	0.0755544	0.103424	0.123723
a30	0.15354	0.160482	0.15005	0.115986	0.0728955	0.0718408	0.0847477	0.058174	0.062785	0.0694986
a53	0.194687	0.19568	0.174662	0.127104	0.0608673	0.0589487	0.0623023	0.035291	0.0412496	0.0492078
a15	0.389898	0.25431	0.170188	0.0700756	0.0338984	0.0275048	0.0248399	0.0112631	0.00940782	0.00861484
a69	0.234543	0.245054	0.222774	0.0889679	0.0627474	0.0467838	0.048376	0.0229644	0.0157442	0.0120453
a15	0.154848	0.222816	0.243382	0.105479	0.0896849	0.0578484	0.0562443	0.0324488	0.0211254	0.0161249
a92	0.0828426	0.16746	0.215615	0.136096	0.137385	0.0835143	0.0725497	0.0432315	0.0344538	0.0268521
a56	0.126154	0.203375	0.217574	0.151631	0.12912	0.0599281	0.0448357	0.0275081	0.0217443	0.0181296
a96	0.0767857	0.161588	0.250224	0.172033	0.136089	0.0605732	0.0493244	0.0359572	0.0305787	0.026847
a88	0.0551962	0.122755	0.20544	0.18946	0.14393	0.0644552	0.0564795	0.054765	0.0558767	0.0516431
a43	0.0356883	0.0783291	0.136641	0.190134	0.170044	0.0821811	0.0748063	0.0758276	0.0775255	0.0788231
a90	0.025114	0.0600842	0.114415	0.175796	0.180153	0.10617	0.0942521	0.0832412	0.0776902	0.0830835
a56	0.0230539	0.048387	0.0866735	0.170623	0.205232	0.11298	0.0918433	0.090208	0.0886544	0.0823449
a75	0.0142527	0.0226229	0.0381466	0.129453	0.18473	0.128258	0.106504	0.118734	0.128486	0.128812
a92	0.00561409	0.0125393	0.0261196	0.0957047	0.113806	0.100753	0.0946991	0.143855	0.190267	0.216643
a37	0.00495431	0.00834188	0.0164111	0.0725906	0.119603	0.112777	0.10921	0.146405	0.184416	0.22529
a12	0.00412224	0.00560283	0.00871705	0.039202	0.0781076	0.10991	0.109768	0.154933	0.213742	0.275895
a21	0.00354726	0.00416501	0.00526512	0.0220065	0.051455	0.0897675	0.0978163	0.146684	0.241831	0.337462
a85	0.00215043	0.00242259	0.00310341	0.0114382	0.0326201	0.0712199	0.0884184	0.14514	0.255389	0.388097
a6	0.000437598	0.00101723	0.00196428	0.00725931	0.0162485	0.0278485	0.0435927	0.105017	0.267213	0.529403
a36	0.000289803	0.000383078	0.000657426	0.00342231	0.0114097	0.0250678	0.0515449	0.136601	0.312562	0.458063
a26	0.000636154	0.000581444	0.000769139	0.00224403	0.00877785	0.0230268	0.0539504	0.156145	0.322488	0.43138
a82	0.00974706	0.00693984	0.0070288	0.01451	0.029244	0.0380736	0.055073	0.10169	0.267469	0.470225
a97	0.0349174	0.0238965	0.0263502	0.0371219	0.0456217	0.060929	0.0799715	0.126087	0.233943	0.331162
a87	0.0764911	0.0484161	0.0510461	0.0761474	0.0768927	0.110567	0.117652	0.124984	0.149559	0.168245
a97	0.0800181	0.0517235	0.0550124	0.0979449	0.103329	0.130621	0.14584	0.106416	0.113746	0.115348
</S>	0.0346465	0.024164	0.0257559	0.0364407	0.0446195	0.0586499	0.197148	0.17413	0.203599	0.200846
