 	nous	portons	le	cabri	dans	un	panier	tissé	en	palmes	</S>
a66	0.239372	0.215656	0.14889	0.0861914	0.0491336	0.0372874	0.0273564	0.0261254	0.0433517	0.0623917	0.0642436
a87	0.259429	0.0788265	0.0802287	0.108176	0.0887374	0.0563309	0.0552087	0.0609554	0.118972	0.0594226	0.0337134
a23	0.229211	0.203063	0.246179	0.161253	0.0597771	0.0213791	0.0163594	0.0199883	0.021488	0.0120873	0.00921445
a9	0.0978776	0.301739	0.308485	0.117764	0.0395405	0.018133	0.0164934	0.0301261	0.037103	0.021035	0.0117028
a24	0.298133	0.344801	0.192242	0.078054	0.0210085	0.0125886	0.0126594	0.017584	0.0118943	0.00640494	0.00463101
a62	0.334126	0.330014	0.182908	0.0657156	0.0303284	0.0218513	0.015179	0.00930703	0.00526094	0.0031833	0.00212613
a47	0.179162	0.279111	0.166577	0.102682	0.0870989	0.0665764	0.0474329	0.0400081	0.0197531	0.00855471	0.00304288
a88	0.125657	0.138333	0.12786	0.118966	0.111326	0.103924	0.0816366	0.0740778	0.0666036	0.0365886	0.0150291
a62	0.0391436	0.0510104	0.0740111	0.0948046	0.117049	0.149279	0.141117	0.125232	0.118381	0.069044	0.0209289
a21	0.0393585	0.0424071	0.0616351	0.087245	0.117989	0.143253	0.14059	0.151079	0.122135	0.0675862	0.026721
a92	0.0221471	0.0203635	0.0242466	0.0384052	0.0764753	0.128897	0.149033	0.167928	0.171878	0.119748	0.0808787
a37	0.0168235	0.0113308	0.0122504	0.0160628	0.037632	0.0819556	0.0981137	0.125884	0.176551	0.1945	0.228897
a93	0.0124568	0.00781177	0.00661904	0.00724688	0.0124613	0.0274469	0.0408126	0.0636281	0.144201	0.204819	0.472497
a56	0.00837802	0.00415853	0.00331236	0.00369008	0.00681537	0.017836	0.0290267	0.0460906	0.135215	0.246092	0.499386
a0	0.00169486	0.000834791	0.000709051	0.000986886	0.00238696	0.0081029	0.0186222	0.0349101	0.120213	0.24493	0.566609
a90	0.00156573	0.000764745	0.000458596	0.000794962	0.00168717	0.00616094	0.0149105	0.0244733	0.0693319	0.164973	0.714879
a69	0.00049795	0.000156882	0.000143402	0.000313657	0.00137641	0.00694233	0.0176293	0.0310072	0.0962748	0.226056	0.619602
a94	0.000230907	9.59715e-05	8.65643e-05	0.00029588	0.00136092	0.00696933	0.0165799	0.0293057	0.081164	0.174117	0.689794
a18	0.000378792	0.000204722	0.00017035	0.000592661	0.00221246	0.0108724	0.0278315	0.041647	0.0998354	0.162424	0.65383
a25	0.0560262	0.0266556	0.0141308	0.024051	0.0266659	0.0307289	0.0372824	0.0439478	0.0825898	0.135099	0.522823
a87	0.19943	0.0917412	0.06003	0.0963001	0.0642982	0.0449922	0.0468649	0.04981	0.0723523	0.0859772	0.188204
a23	0.204077	0.113426	0.0722598	0.109355	0.0719504	0.0366476	0.0371346	0.0379285	0.0626848	0.0737273	0.180808
a87	0.0463313	0.0479149	0.0414411	0.0598269	0.0470257	0.0357581	0.0395409	0.0466762	0.10065	0.176066	0.358768
</S>	0.0097679	0.0106535	0.0111116	0.0175671	0.0164179	0.0192765	0.0305308	0.0391029	0.110496	0.271736	0.46334
