 	détache	le	cabri	</S>
a66	0.472046	0.164839	0.177692	0.185424
a87	0.476931	0.27502	0.167198	0.0808516
a23	0.741421	0.138015	0.0709401	0.0496245
a10	0.709979	0.137617	0.0805231	0.0718814
a53	0.757853	0.111595	0.0735849	0.0569667
a90	0.779216	0.130896	0.054718	0.03517
a79	0.507426	0.268888	0.135317	0.0883689
a44	0.333961	0.260686	0.227783	0.17757
a93	0.236687	0.235507	0.276094	0.251713
a0	0.133039	0.208551	0.315883	0.342527
a88	0.0302275	0.108793	0.319286	0.541693
a9	0.00979854	0.0515015	0.24175	0.69695
a24	0.00596595	0.0249772	0.150733	0.818324
a50	0.00484325	0.0240666	0.146212	0.824878
a83	0.00742086	0.0271368	0.147625	0.817818
a9	0.00435888	0.0203103	0.129851	0.84548
a30	0.0237314	0.0593525	0.199416	0.7175
a87	0.16454	0.108182	0.20773	0.519548
a23	0.377635	0.173323	0.171639	0.277403
a87	0.199924	0.139783	0.212345	0.447947
</S>	0.154472	0.0929883	0.194616	0.557924
