 	cet	enfant	grignotte	le	repas	</S>
a66	0.64893	0.163651	0.0646554	0.0461069	0.0389237	0.037733
a87	0.442293	0.13622	0.0929465	0.117798	0.102022	0.10872
a10	0.329435	0.0998283	0.118286	0.196549	0.144429	0.111472
a87	0.415695	0.112282	0.111024	0.144669	0.110952	0.105377
a97	0.418341	0.117544	0.107073	0.129488	0.108402	0.119151
a38	0.328283	0.114953	0.143457	0.175341	0.119507	0.118459
a54	0.613448	0.0943021	0.0347888	0.0803601	0.0771699	0.0999307
a92	0.748271	0.112586	0.0233356	0.0381233	0.0378836	0.0398006
a6	0.56374	0.218592	0.0448122	0.0576781	0.0589273	0.0562503
a79	0.327652	0.216763	0.0746501	0.106352	0.131653	0.14293
a90	0.363304	0.264783	0.0831786	0.0906919	0.100023	0.0980195
a92	0.259627	0.237224	0.109098	0.116267	0.135164	0.14262
a85	0.17189	0.21909	0.144937	0.141461	0.152033	0.170588
a47	0.224973	0.274316	0.141251	0.112881	0.118455	0.128122
a36	0.0552476	0.115702	0.0920077	0.147133	0.242771	0.347138
a26	0.0185587	0.0437698	0.0843059	0.160144	0.290741	0.40248
a11	0.00271458	0.00773783	0.03419	0.137046	0.339951	0.478361
a75	0.00283779	0.00753021	0.0368182	0.147408	0.33277	0.472636
a85	0.00260525	0.00905878	0.0460913	0.129328	0.306901	0.506015
a6	0.000752572	0.00398411	0.0263354	0.113012	0.313563	0.542353
a36	0.000776545	0.00360997	0.0260989	0.110371	0.309267	0.549876
a12	0.000575709	0.00268151	0.0228876	0.11008	0.301897	0.561877
a5	0.00113104	0.00464415	0.0312067	0.126895	0.309947	0.526176
a36	0.00104599	0.00430693	0.0243027	0.11422	0.30486	0.551265
a27	0.00280213	0.00660252	0.0260378	0.110869	0.277791	0.575898
a82	0.0183424	0.0233735	0.0652542	0.148245	0.27206	0.472725
a97	0.0492743	0.0375691	0.144417	0.253583	0.246771	0.268385
a87	0.0469929	0.0334257	0.164672	0.285752	0.243922	0.225235
a97	0.0337497	0.0262351	0.169128	0.301109	0.250151	0.219628
</S>	0.00502308	0.0108944	0.10413	0.269531	0.333051	0.27737
