 	notre	maman	a	apporté	des	champignons	alelendi	</S>
a66	0.285938	0.250582	0.20944	0.11345	0.075915	0.0364802	0.0167625	0.0114325
a87	0.41784	0.184446	0.139999	0.132584	0.0780952	0.0241675	0.0115444	0.0113244
a23	0.360647	0.24724	0.17601	0.0992471	0.0484116	0.0238581	0.0236419	0.0209435
a83	0.292815	0.252742	0.160282	0.083761	0.0440431	0.0317359	0.0481867	0.0864349
a53	0.241593	0.225184	0.15843	0.0863151	0.0593297	0.0554807	0.0740642	0.0996033
a15	0.264852	0.275593	0.247923	0.136554	0.0456702	0.013186	0.00807698	0.00814576
a79	0.216743	0.241675	0.247265	0.180874	0.0800908	0.0182032	0.00783815	0.00731083
a56	0.200668	0.238567	0.244063	0.184978	0.0911229	0.0243203	0.00915483	0.00712526
a75	0.184555	0.185432	0.185241	0.166429	0.119216	0.060773	0.0556398	0.0427148
a85	0.149569	0.15737	0.202031	0.21197	0.146994	0.064219	0.039994	0.027854
a12	0.0878963	0.10601	0.148761	0.166035	0.152728	0.119746	0.115634	0.103189
a21	0.114393	0.120957	0.142088	0.137173	0.139865	0.114588	0.13224	0.0986948
a85	0.048558	0.0621474	0.0880445	0.124151	0.177828	0.173162	0.180136	0.145973
a37	0.0150721	0.0229152	0.0422346	0.0790968	0.131605	0.182281	0.235365	0.29143
a5	0.00772686	0.0103426	0.0173897	0.0311606	0.0802036	0.169016	0.308203	0.375957
a12	0.00988867	0.00881418	0.0106702	0.0168883	0.0457237	0.132462	0.2948	0.480753
a88	0.0024816	0.00199205	0.00244137	0.00489076	0.0179198	0.0894999	0.286913	0.593861
a24	0.000710005	0.000521798	0.000620499	0.0016434	0.00880422	0.0573359	0.321284	0.60908
a9	0.00190505	0.00121881	0.00163649	0.0059604	0.0344328	0.129302	0.369951	0.455593
a10	0.0257427	0.0165682	0.0196645	0.0264826	0.0651924	0.154754	0.290541	0.401056
a87	0.252116	0.153077	0.147253	0.0935487	0.0844425	0.0728021	0.0880713	0.10869
a23	0.268703	0.176545	0.174281	0.120298	0.0910971	0.0553089	0.0516848	0.0620819
a38	0.0516079	0.0322727	0.0263773	0.0212578	0.0327331	0.0876143	0.257479	0.490658
a10	0.0176962	0.0135066	0.0153519	0.0190167	0.0449554	0.137461	0.334228	0.417784
</S>	0.00693358	0.0068715	0.00801383	0.0113658	0.0293942	0.10601	0.309889	0.521522
