 	l'	enseignant	a	classé	les	élèves	en	groupes	</S>
a23	0.259702	0.0937481	0.0784156	0.0924044	0.164526	0.166119	0.0647031	0.0430677	0.0373136
a87	0.379234	0.136296	0.123316	0.141369	0.104846	0.0509156	0.0223266	0.0231436	0.0185539
a23	0.230338	0.187562	0.127429	0.142586	0.0911491	0.0532251	0.037655	0.0567627	0.073293
a30	0.344572	0.226491	0.140265	0.0871015	0.050438	0.0338386	0.0272103	0.0351711	0.0549129
a93	0.263636	0.188864	0.114592	0.075162	0.0522812	0.05206	0.0501665	0.0733592	0.129879
a62	0.389081	0.229617	0.148952	0.054184	0.0265675	0.0257814	0.0324382	0.0509107	0.0424678
a31	0.423509	0.371269	0.140429	0.0347061	0.00937259	0.00580016	0.00432306	0.00482286	0.00576873
a21	0.384605	0.42656	0.13779	0.026946	0.00685833	0.0043665	0.00370514	0.00433897	0.00482981
a31	0.389972	0.399193	0.15341	0.0279862	0.00862011	0.00564344	0.00448767	0.00521172	0.00547606
a0	0.186648	0.417035	0.238198	0.0801828	0.0224827	0.0143446	0.0119933	0.0137898	0.0153261
a21	0.0966437	0.207591	0.215884	0.191227	0.10437	0.0792005	0.0429171	0.031663	0.0305028
a5	0.0989849	0.239687	0.302911	0.162422	0.0757336	0.0509332	0.0243442	0.0214454	0.0235384
a18	0.111214	0.183538	0.216297	0.184904	0.0982451	0.0673488	0.0414468	0.0435056	0.0535013
a88	0.0271144	0.0310778	0.0566251	0.151518	0.13182	0.160872	0.123126	0.134702	0.183145
a31	0.0447588	0.0487462	0.0678673	0.167732	0.168881	0.179056	0.116083	0.0928574	0.114018
a88	0.0382015	0.0346404	0.0462178	0.146914	0.189499	0.222014	0.130917	0.0889965	0.1026
a75	0.023328	0.0212012	0.0295023	0.100453	0.177309	0.237571	0.183082	0.119374	0.108179
a85	0.019998	0.0197891	0.0254745	0.0652924	0.121954	0.200631	0.186233	0.15106	0.209568
a5	0.0187289	0.0189939	0.0234314	0.0523494	0.106207	0.15574	0.176922	0.184068	0.263559
a85	0.0749173	0.0579301	0.0420286	0.0576267	0.0926017	0.151921	0.197254	0.153469	0.172251
a61	0.0261953	0.0188834	0.0147083	0.0255246	0.0544516	0.110281	0.194693	0.228761	0.326502
a31	0.012022	0.0113507	0.01245	0.0351431	0.0631649	0.127234	0.277194	0.248351	0.213089
a88	0.00288579	0.0035634	0.00546412	0.0228962	0.0533828	0.10001	0.226688	0.282908	0.302201
a9	0.00143831	0.00137072	0.00251811	0.0107408	0.0229483	0.0441934	0.150267	0.322247	0.444276
a38	0.00161387	0.00111858	0.00158762	0.0047641	0.00743528	0.0202983	0.0883597	0.294955	0.579867
a83	0.00233743	0.00126842	0.00166678	0.00547023	0.0080651	0.0200929	0.100748	0.314795	0.545556
a94	0.000631746	0.00043648	0.000659245	0.00247791	0.00418057	0.0123235	0.0866856	0.326976	0.565629
a26	0.000544041	0.000421073	0.000635015	0.00235392	0.00343772	0.00941475	0.0714314	0.301868	0.609894
a57	0.0126997	0.00438935	0.00398231	0.00921603	0.0116506	0.0216224	0.0815049	0.2934	0.561534
a87	0.0474618	0.0155274	0.0113172	0.0218915	0.0238934	0.0295618	0.0667507	0.219574	0.564022
a23	0.231124	0.089117	0.0445084	0.0689836	0.0875526	0.0826218	0.0955902	0.132029	0.168474
a87	0.0437782	0.0272322	0.0194635	0.0500435	0.0737765	0.0843873	0.150287	0.289645	0.261387
</S>	0.0179884	0.0135739	0.0161369	0.0689163	0.0765102	0.0621697	0.108379	0.279891	0.356434
