 	cet	enfant	est	en	train	de	se	gaver	de	légumes	</S>
a87	0.166539	0.0926903	0.0802461	0.0907908	0.10374	0.114176	0.16306	0.108028	0.0460385	0.0205667	0.0141236
a23	0.266144	0.118028	0.0625554	0.062331	0.0688118	0.0761779	0.0816985	0.125244	0.0574517	0.0374529	0.0441042
a70	0.165745	0.136087	0.115031	0.10062	0.0863674	0.0725002	0.0771232	0.073375	0.0528554	0.049155	0.0711422
a98	0.275743	0.14198	0.100693	0.0859079	0.0851999	0.0752374	0.0666092	0.0436414	0.0372649	0.0398402	0.0478833
a92	0.316843	0.197891	0.140056	0.0893299	0.0624765	0.0479612	0.0393128	0.0213098	0.0284293	0.0247528	0.0316386
a85	0.214234	0.167159	0.172466	0.131147	0.0943583	0.0679204	0.050107	0.0238144	0.0290108	0.0224616	0.0273212
a25	0.148546	0.142382	0.169817	0.141565	0.11629	0.0803693	0.0715252	0.0433475	0.0427281	0.0233326	0.0200981
a90	0.159368	0.146773	0.190733	0.155158	0.13039	0.0825782	0.0642557	0.0257993	0.0192754	0.0133751	0.012294
a4	0.0990808	0.11874	0.18025	0.178804	0.149707	0.109669	0.0710205	0.0292578	0.0258031	0.0186114	0.0190553
a90	0.0803365	0.102849	0.160826	0.182403	0.162805	0.127658	0.0741162	0.0290166	0.0276037	0.0248378	0.0275486
a25	0.0515508	0.0727556	0.111947	0.144466	0.145555	0.15976	0.0882578	0.0395831	0.0516091	0.0599311	0.0745841
a92	0.0469484	0.0661744	0.100231	0.137888	0.146913	0.171939	0.118719	0.0509256	0.0526252	0.0502355	0.0574014
a85	0.0634731	0.0736271	0.0955033	0.115686	0.118077	0.149015	0.0949018	0.0528099	0.0605274	0.0779624	0.0984173
a37	0.0807916	0.0847104	0.0964889	0.106702	0.105094	0.118153	0.10147	0.0743094	0.0695679	0.0777187	0.0849953
a26	0.0904835	0.107675	0.110781	0.123457	0.113314	0.119415	0.0770386	0.0452137	0.0461462	0.0653537	0.101122
a61	0.038035	0.0459107	0.0486847	0.0618438	0.0696656	0.116115	0.0840601	0.0854182	0.0984175	0.124159	0.227691
a88	0.0728242	0.0738217	0.0819364	0.100403	0.0989901	0.125783	0.0849985	0.0713931	0.0889271	0.0859779	0.114945
a75	0.0460084	0.0485367	0.0482895	0.060294	0.0593774	0.0774405	0.057196	0.0837347	0.14049	0.158005	0.220628
a85	0.0659711	0.0702753	0.0697949	0.08061	0.0680887	0.0787904	0.0447209	0.0561335	0.0701555	0.146033	0.249427
a26	0.0536991	0.0555502	0.0527029	0.0609991	0.0560728	0.0660584	0.0503022	0.0770542	0.106795	0.185293	0.235473
a82	0.0155498	0.0165493	0.0161129	0.0198177	0.0193954	0.0253171	0.0198243	0.0499917	0.0813388	0.256217	0.479886
a38	0.0125266	0.0110532	0.00962056	0.0120301	0.0144965	0.0231583	0.0185336	0.0400565	0.0895227	0.291407	0.477595
a96	0.0131522	0.00956198	0.00745135	0.00876371	0.0094482	0.0128215	0.00970571	0.0266027	0.0518862	0.249115	0.601492
a13	0.00425535	0.00371572	0.00337082	0.00457806	0.00515831	0.00793767	0.00570106	0.0200937	0.04254	0.253345	0.649305
a99	0.00245108	0.00202015	0.00151341	0.00183772	0.00215827	0.00441307	0.00366294	0.0166493	0.0403781	0.275935	0.648981
a87	0.01407	0.00929358	0.00700707	0.00701704	0.00662188	0.00947778	0.00785317	0.0256428	0.0475438	0.238785	0.626688
a23	0.0343679	0.0217918	0.0158825	0.0166064	0.0183747	0.0310196	0.0421551	0.101048	0.124038	0.222175	0.37254
a87	0.0409026	0.0275958	0.0129469	0.0131318	0.0170446	0.0278542	0.0305056	0.101422	0.11932	0.251862	0.357415
</S>	0.017683	0.0129846	0.00963004	0.0115444	0.0154979	0.0281342	0.0339031	0.0959304	0.109954	0.235337	0.429401
