 	on	a	allumé	un	feu	de	brousse	</S>
a23	0.403864	0.171886	0.104866	0.088304	0.0359534	0.0402182	0.0689236	0.0859846
a40	0.187668	0.141569	0.122024	0.0955769	0.0790924	0.0928272	0.111112	0.170131
a30	0.346168	0.232624	0.174786	0.130024	0.0506043	0.0258278	0.0197807	0.0201856
a35	0.294682	0.285537	0.213575	0.122583	0.0485869	0.0177889	0.00950968	0.00773768
a41	0.254253	0.270523	0.200069	0.142637	0.0697339	0.0318651	0.0178151	0.0131038
a24	0.263951	0.250315	0.182512	0.153507	0.0768165	0.0354907	0.0214512	0.0159575
a25	0.214533	0.21952	0.178278	0.169006	0.10265	0.0551062	0.034757	0.0261491
a38	0.0770055	0.0960713	0.137559	0.218887	0.188562	0.116278	0.0860017	0.0796353
a94	0.0612531	0.0765772	0.106068	0.180842	0.199723	0.156755	0.121519	0.0972632
a35	0.0911603	0.0964918	0.117285	0.173675	0.175739	0.139518	0.118544	0.0875875
a66	0.0611852	0.0677023	0.0929336	0.147503	0.173502	0.160412	0.162779	0.133982
a76	0.0329096	0.0379674	0.0572328	0.0982657	0.149501	0.173083	0.217375	0.233666
a35	0.0218356	0.0254071	0.0411504	0.0746452	0.137819	0.186902	0.245938	0.266303
a76	0.0137806	0.0160562	0.0254393	0.0469278	0.0965854	0.171007	0.275605	0.354599
a94	0.0104684	0.0139731	0.031398	0.0534009	0.0965932	0.165065	0.268072	0.361029
a98	0.00505061	0.00654801	0.0132611	0.0228332	0.0496899	0.122278	0.278861	0.501478
a76	0.00135486	0.00170513	0.00530187	0.0134795	0.034136	0.0867431	0.256144	0.601135
a20	0.00207521	0.00276202	0.00963744	0.0217096	0.0511891	0.111173	0.269221	0.532232
a84	0.00460467	0.00530279	0.0143296	0.0232928	0.0470869	0.0878697	0.237284	0.58023
a87	0.00157314	0.00192974	0.00547729	0.0106178	0.0283661	0.0706357	0.238364	0.643036
</S>	0.0297867	0.0294051	0.0477199	0.0432326	0.0591714	0.100469	0.250811	0.439404
