 	ce	jeune	garçon	a	un	abcès	au	cou	</S>
a15	0.331733	0.164645	0.0915128	0.0731559	0.0663433	0.0649171	0.0632188	0.0789109	0.0655636
a66	0.344992	0.208876	0.109518	0.0898832	0.0660615	0.0451251	0.0390045	0.0499658	0.0465734
a10	0.51089	0.157721	0.0660532	0.0486126	0.0388895	0.0329866	0.0295175	0.0541359	0.0611944
a87	0.547236	0.197613	0.0648873	0.044597	0.0340753	0.0264482	0.020868	0.0298774	0.0343977
a23	0.490877	0.221908	0.0790266	0.0553533	0.0417724	0.0274953	0.0215924	0.0276366	0.0343385
a54	0.383949	0.158278	0.076379	0.073761	0.065725	0.0521339	0.0502935	0.0680509	0.071429
a98	0.192907	0.132579	0.105226	0.097959	0.0843422	0.0780514	0.0850055	0.113477	0.110453
a85	0.154389	0.138063	0.133282	0.139502	0.113138	0.0912278	0.072716	0.0803487	0.0773331
a92	0.159204	0.168367	0.173604	0.156125	0.0981322	0.0758226	0.0522449	0.052611	0.0638893
a37	0.148436	0.143199	0.14887	0.150295	0.109428	0.0809568	0.0622361	0.0755498	0.0810293
a98	0.123723	0.137333	0.174315	0.177046	0.12648	0.0847286	0.0550734	0.0579288	0.0633717
a15	0.0615407	0.0804262	0.138974	0.148803	0.120352	0.110399	0.108473	0.102308	0.128724
a98	0.0275144	0.036692	0.0901192	0.125412	0.136641	0.143967	0.147096	0.137707	0.154851
a85	0.0159689	0.0204165	0.0604641	0.0848094	0.110763	0.136601	0.163957	0.191132	0.215888
a5	0.0104193	0.0133136	0.0401268	0.058553	0.0876493	0.123944	0.182392	0.239283	0.24432
a12	0.0181689	0.0180773	0.0294006	0.0407464	0.0743346	0.122802	0.199043	0.247627	0.2498
a96	0.00800074	0.00765518	0.0111329	0.0167219	0.0403863	0.0848056	0.207167	0.320884	0.303246
a88	0.00602106	0.00549081	0.00727059	0.0096367	0.0208698	0.0459418	0.136781	0.331707	0.436281
a75	0.00384282	0.00355621	0.00482811	0.00666889	0.0149191	0.0407232	0.123221	0.32676	0.475481
a98	0.001162	0.00112151	0.00248596	0.00375862	0.00989969	0.0269783	0.108306	0.315822	0.530466
a92	0.000391421	0.000429463	0.00131891	0.00277896	0.00969004	0.0262141	0.101174	0.317793	0.540209
a56	0.000660192	0.000629904	0.00153684	0.0027276	0.00958914	0.0292786	0.115251	0.314472	0.525855
a94	0.00172645	0.00153861	0.00335575	0.00506064	0.0132652	0.0307355	0.0953528	0.315913	0.533052
a62	0.00201049	0.0019193	0.00421614	0.00657821	0.0153474	0.0311438	0.0879799	0.340214	0.510591
a96	0.00335249	0.00302106	0.00540348	0.00782115	0.0174031	0.0350323	0.0963437	0.336836	0.494787
a88	0.00177988	0.00177011	0.00357939	0.00568604	0.0132078	0.0335141	0.105687	0.358361	0.476415
a71	0.00261504	0.00262524	0.00632613	0.0132174	0.0334183	0.0733843	0.159928	0.314387	0.394098
a9	0.0208587	0.0172128	0.0280283	0.0406474	0.0664281	0.103141	0.157128	0.24452	0.322036
a10	0.343945	0.156494	0.088979	0.068651	0.0591183	0.061095	0.0617341	0.0694104	0.0905737
a87	0.297267	0.167332	0.084028	0.0590886	0.0470051	0.0456313	0.0547674	0.114744	0.130137
a23	0.185754	0.11089	0.0623628	0.0461745	0.0423992	0.0496879	0.0743702	0.195748	0.232613
a87	0.100905	0.0557016	0.0281056	0.0214733	0.0261863	0.036041	0.063067	0.241428	0.427092
a23	0.012989	0.00761261	0.00460266	0.00494242	0.00855208	0.0178387	0.0501526	0.266563	0.626747
a99	0.0257721	0.018294	0.0124285	0.0120084	0.0180317	0.0293661	0.0607898	0.27257	0.55074
a87	0.0315056	0.0189698	0.0139783	0.0151118	0.0277467	0.0462744	0.0769269	0.255847	0.513639
a97	0.0117468	0.00668198	0.00558584	0.00706803	0.0148768	0.0295917	0.0700939	0.267621	0.586734
</S>	0.0746262	0.0401818	0.0283235	0.0288351	0.0398543	0.0514237	0.0791526	0.230911	0.426692
