 	les	éleves	sont	en	train	d'	applaudir	leur	camarade	</S>
a66	0.13344	0.116969	0.197028	0.170259	0.201533	0.11506	0.0324343	0.0164528	0.0105623	0.00626121
a87	0.713747	0.146092	0.037802	0.0198756	0.0213432	0.0120406	0.00749001	0.00919199	0.0208171	0.0115999
a23	0.400661	0.184994	0.101858	0.0841602	0.0744619	0.0484219	0.0218067	0.0212261	0.0282368	0.0341733
a87	0.218477	0.165927	0.132957	0.115276	0.124804	0.0746134	0.0323369	0.0287623	0.0558915	0.0509539
a79	0.197407	0.168905	0.154535	0.147345	0.1707	0.0830107	0.0271991	0.0155522	0.0184671	0.0168782
a54	0.204497	0.189601	0.152973	0.125822	0.0899447	0.0567077	0.0284731	0.0381256	0.0658892	0.0479666
a37	0.166964	0.233558	0.149173	0.141356	0.0745253	0.0846268	0.032156	0.048279	0.0402928	0.029069
a6	0.156467	0.285309	0.14151	0.135186	0.0955034	0.108955	0.0270362	0.0230884	0.0174068	0.00953816
a37	0.117951	0.256479	0.153785	0.158418	0.10161	0.110282	0.038255	0.0309261	0.0195538	0.0127395
a98	0.0830424	0.187336	0.143416	0.190482	0.126016	0.148556	0.049881	0.0333611	0.019656	0.0182541
a6	0.0576452	0.174745	0.131964	0.14525	0.0887614	0.119289	0.0700009	0.10802	0.0624127	0.0419116
a5	0.109457	0.210477	0.130655	0.135841	0.0981124	0.106774	0.0518867	0.074133	0.0450878	0.0375758
a36	0.125433	0.199477	0.149069	0.146936	0.127752	0.118614	0.0555866	0.0409766	0.0196525	0.0165035
a90	0.0833081	0.0999517	0.134937	0.163783	0.150669	0.154395	0.0959065	0.0573986	0.0279579	0.0316938
a92	0.063381	0.0746155	0.129048	0.165572	0.15586	0.162495	0.089279	0.0767709	0.0428453	0.0401335
a56	0.023993	0.0322024	0.0810353	0.121582	0.144179	0.167015	0.13074	0.144499	0.0951244	0.0596292
a44	0.0416868	0.0424233	0.106932	0.153056	0.171959	0.190631	0.114188	0.0784014	0.0493862	0.0513362
a93	0.0220621	0.0211372	0.0716361	0.128433	0.164783	0.177413	0.122028	0.105769	0.0861553	0.100584
a44	0.030958	0.026455	0.0789925	0.138678	0.172979	0.185808	0.119943	0.0815706	0.0659303	0.0986843
a98	0.0240942	0.0206523	0.053262	0.104759	0.164851	0.172355	0.137412	0.0923481	0.0849346	0.145332
a47	0.00876851	0.0113566	0.0397325	0.082459	0.155261	0.158155	0.140127	0.120368	0.140916	0.142855
a7	0.00774017	0.00654477	0.0310675	0.0678341	0.164823	0.161262	0.214812	0.106576	0.0975725	0.141768
a21	0.0079133	0.00654447	0.0179034	0.0396246	0.0950595	0.102529	0.207115	0.115094	0.131021	0.277196
a92	0.0045854	0.00543632	0.0153608	0.034008	0.0657951	0.088059	0.1531	0.145402	0.162173	0.32608
a56	0.00277263	0.00345727	0.0106873	0.0221361	0.0460038	0.0579283	0.143246	0.154775	0.192762	0.366231
a93	0.00269885	0.00272141	0.00548194	0.0109288	0.0244808	0.0298003	0.0961517	0.164193	0.26873	0.394813
a62	0.00305299	0.00268763	0.00552244	0.0094336	0.0196814	0.0207081	0.084962	0.142524	0.275326	0.436102
a21	0.00255968	0.00208974	0.00377484	0.00574261	0.010918	0.0116328	0.0542917	0.0927469	0.232343	0.583901
a85	0.00132852	0.00140321	0.00226187	0.00309772	0.00566571	0.007136	0.0378275	0.0871951	0.244291	0.609793
a6	0.0004486	0.000447343	0.00118554	0.00197275	0.00386442	0.00512991	0.0358892	0.0758774	0.208626	0.666559
a0	0.000543097	0.000486223	0.000991872	0.00160258	0.00378533	0.00424806	0.0368579	0.0711208	0.21244	0.667924
a21	0.000329353	0.000167279	0.00023172	0.000319076	0.000652524	0.000678055	0.00884653	0.0286532	0.171234	0.788888
a12	0.000356486	0.0002132	0.000347989	0.000440202	0.000813269	0.000877018	0.00934305	0.0318548	0.178802	0.776952
a18	0.000344321	0.000193881	0.00029202	0.000371625	0.000580096	0.000786417	0.00575037	0.0199249	0.127341	0.844416
a25	0.00439606	0.00170225	0.00176866	0.00245326	0.00295697	0.00347804	0.0143793	0.0373372	0.126284	0.805245
a87	0.0617352	0.0307841	0.0333855	0.0395432	0.0403085	0.0398324	0.053562	0.10436	0.14424	0.452248
a23	0.111817	0.0291684	0.0238027	0.0252084	0.0316417	0.0422632	0.0912031	0.133121	0.143226	0.368548
a97	0.0143848	0.00213265	0.000971377	0.00096292	0.00124209	0.00187738	0.0082963	0.0426836	0.202439	0.72501
</S>	0.00918351	0.0019366	0.00113374	0.00148811	0.00217895	0.00443986	0.0117674	0.0377206	0.139462	0.790689
