 	le	canard	barbote	dans	la	mare	</S>
a40	0.31431	0.0875036	0.0522772	0.0487934	0.068067	0.140156	0.288892
a6	0.0685465	0.0641682	0.0689939	0.0994985	0.109494	0.188667	0.400632
a0	0.449297	0.245649	0.0841777	0.0606056	0.0427995	0.0493015	0.0681694
a11	0.489122	0.270505	0.0754772	0.0511146	0.0305069	0.0349047	0.04837
a47	0.489632	0.250281	0.107271	0.0586972	0.0343861	0.0282431	0.0314903
a34	0.287141	0.225946	0.188071	0.10924	0.0709483	0.0599324	0.0587213
a56	0.245308	0.226318	0.195833	0.123999	0.076795	0.0670392	0.0647086
a70	0.117221	0.154722	0.22632	0.184379	0.125223	0.100789	0.0913465
a90	0.13238	0.17733	0.195214	0.176237	0.115192	0.102854	0.100793
a98	0.0486262	0.0862203	0.168569	0.206222	0.174893	0.158839	0.15663
a6	0.0259975	0.0659481	0.204982	0.20315	0.194659	0.16493	0.140334
a0	0.0366641	0.0771782	0.189799	0.185126	0.173259	0.172864	0.16511
a25	0.0187728	0.0429045	0.196508	0.223177	0.180907	0.1629	0.174832
a94	0.0233618	0.0478912	0.17651	0.215238	0.207998	0.163277	0.165724
a90	0.0250386	0.0536732	0.12569	0.183995	0.234933	0.19395	0.182721
a56	0.0150993	0.0503035	0.116061	0.168001	0.215433	0.215123	0.219979
a32	0.0146612	0.0444187	0.0874807	0.12847	0.206737	0.251986	0.266247
a25	0.00448039	0.0184241	0.0429938	0.078718	0.161752	0.296314	0.397318
a94	0.00243313	0.00944077	0.0321538	0.0800443	0.17282	0.31655	0.386558
a54	0.004446	0.0159494	0.0343406	0.0629679	0.134856	0.296502	0.450938
a47	0.00312548	0.00887356	0.0262503	0.0559589	0.122213	0.302461	0.481118
a2	0.000835693	0.00267707	0.0109847	0.0341565	0.111052	0.342495	0.497799
a57	0.000584496	0.00134108	0.00222227	0.0105847	0.0667668	0.276828	0.641672
a87	0.00528987	0.00913544	0.0132415	0.0371448	0.125156	0.290669	0.519364
a23	0.0932163	0.100328	0.085192	0.0918689	0.145817	0.217295	0.266283
a87	0.019882	0.0444261	0.0617507	0.116796	0.19876	0.275269	0.283115
</S>	0.00364683	0.0117937	0.0379701	0.0838841	0.186949	0.331007	0.34475
