 	le	ciel	s'	assombrit	il	va	pleuvoir	</S>
a23	0.402634	0.158233	0.0951334	0.121359	0.100516	0.0662614	0.0360409	0.0198221
a87	0.479023	0.253668	0.112016	0.0576498	0.0312922	0.0247356	0.0203179	0.0212971
a23	0.190993	0.177728	0.13934	0.116732	0.0942062	0.0698585	0.0799884	0.131154
a24	0.302539	0.251026	0.14806	0.0591901	0.0406046	0.0588993	0.0669916	0.0726895
a9	0.42862	0.287051	0.179476	0.0630797	0.0176418	0.0115699	0.00804435	0.00451715
a53	0.323513	0.290377	0.202665	0.0773119	0.0316616	0.0276774	0.0247094	0.0220842
a76	0.248354	0.203332	0.183927	0.138281	0.0554304	0.0512217	0.0551498	0.0643034
a90	0.214859	0.245456	0.23052	0.171885	0.0570586	0.0324083	0.0236159	0.0241978
a57	0.208605	0.233386	0.24976	0.175759	0.048922	0.0288336	0.0252047	0.0295298
a76	0.154716	0.127792	0.160919	0.218802	0.12899	0.0746073	0.0628062	0.0713678
a35	0.207891	0.180114	0.203318	0.204824	0.0867276	0.0464658	0.0341046	0.036555
a24	0.136174	0.131579	0.18253	0.2193	0.117815	0.0826024	0.0650433	0.0649576
a32	0.069379	0.0620607	0.108858	0.20968	0.157711	0.126875	0.119714	0.145722
a24	0.0447106	0.0365459	0.0675891	0.161223	0.162801	0.169418	0.163132	0.194581
a98	0.0369341	0.0352469	0.0533258	0.0969989	0.113938	0.176656	0.220262	0.266638
a38	0.0480363	0.0354369	0.0536252	0.135208	0.171301	0.205952	0.186066	0.164375
a98	0.0203721	0.0122916	0.0177339	0.0690935	0.157491	0.233696	0.252903	0.236419
a14	0.0313297	0.0146567	0.0165921	0.052468	0.138899	0.231929	0.261852	0.252274
a73	0.0389222	0.0204292	0.0202792	0.0451085	0.124212	0.215495	0.277601	0.257953
a84	0.0506598	0.0206973	0.0173879	0.0329482	0.112522	0.208109	0.27829	0.279386
a57	0.0427117	0.0166579	0.0126725	0.0262899	0.0782006	0.14326	0.260994	0.419213
a87	0.0344615	0.0174191	0.0118858	0.0197336	0.0622791	0.170697	0.294166	0.389358
a23	0.0262821	0.0147967	0.011275	0.0227825	0.0807425	0.252415	0.342315	0.249392
a9	0.0119283	0.00929903	0.0092911	0.019845	0.0775799	0.245658	0.348853	0.277545
a53	0.00367577	0.00264672	0.00260182	0.00912992	0.0442378	0.147331	0.304041	0.486336
a20	0.00499863	0.00567506	0.00894096	0.0209917	0.0645192	0.18947	0.289035	0.416369
a94	0.0155814	0.00648006	0.00609669	0.0165731	0.0673222	0.179687	0.287666	0.420593
a20	0.00496039	0.00218521	0.00230972	0.00715828	0.0331904	0.13638	0.308554	0.505261
a73	0.00492962	0.00243794	0.00247788	0.00661227	0.0368217	0.138047	0.300917	0.507756
a35	0.00297927	0.0012347	0.00105943	0.0032314	0.0229302	0.115395	0.30691	0.546261
a94	0.0051885	0.00181728	0.00168163	0.0040664	0.0205695	0.0972265	0.287761	0.581689
a76	0.00139905	0.000607048	0.00050691	0.00153346	0.0112027	0.0687295	0.249312	0.666709
a20	0.00191472	0.000699467	0.000627776	0.00156656	0.0115726	0.0735835	0.262628	0.647407
a58	0.00247614	0.000696865	0.000645066	0.00187812	0.0118051	0.0730042	0.261948	0.647546
a82	0.00172764	0.000592585	0.000517535	0.00165201	0.01003	0.0558408	0.224946	0.704693
a87	0.00704863	0.00352616	0.00351501	0.00608171	0.0218159	0.077076	0.237618	0.643319
</S>	0.00910585	0.00525337	0.00654636	0.0111031	0.0404965	0.11451	0.270895	0.54209
