 	il	n'	y	a	plus	de	pont	en	aval	de	l'	aima	</S>
a23	0.261843	0.203206	0.0931154	0.0627194	0.050913	0.0431027	0.0376149	0.0304322	0.0338462	0.0397642	0.0355591	0.031732	0.0761518
a20	0.279757	0.213887	0.133755	0.0973994	0.0593574	0.0378249	0.0297835	0.0204089	0.0159521	0.020162	0.0206936	0.0310903	0.0399291
a58	0.30946	0.233132	0.103448	0.0596612	0.0366879	0.0270626	0.0291037	0.0252789	0.0292694	0.0428915	0.0279724	0.035478	0.040554
a84	0.391161	0.313383	0.141611	0.0705623	0.0328002	0.0150427	0.0100578	0.00513084	0.00421504	0.00514694	0.00294068	0.00313351	0.00481417
a40	0.262638	0.206085	0.134951	0.122117	0.0939092	0.0517096	0.033505	0.0199104	0.0145129	0.0169314	0.0123141	0.0157957	0.0156202
a73	0.19144	0.168393	0.12769	0.118565	0.101085	0.0694775	0.0525818	0.0375854	0.0295263	0.0310038	0.0242282	0.0244985	0.0239263
a44	0.164694	0.174609	0.175123	0.136927	0.100155	0.0660562	0.048793	0.033073	0.0255631	0.0239535	0.0185282	0.0179079	0.0146169
a11	0.140298	0.158161	0.172425	0.151446	0.118628	0.0755081	0.0501014	0.0322044	0.0234621	0.0219268	0.0188196	0.0204816	0.0165382
a10	0.106646	0.126078	0.151388	0.160214	0.146849	0.102347	0.0645595	0.036148	0.0242384	0.0221024	0.0188988	0.0221352	0.0183959
a11	0.0818519	0.0885812	0.0989351	0.150863	0.179729	0.143542	0.0891481	0.0457701	0.0258823	0.0230613	0.0194368	0.0285283	0.0246706
a32	0.0654523	0.0716886	0.0806716	0.135284	0.181368	0.163276	0.111941	0.0574449	0.0319661	0.0263178	0.0210344	0.028977	0.0245772
a25	0.0609079	0.0724756	0.0926831	0.143711	0.174049	0.152168	0.107707	0.0564757	0.0359808	0.0291462	0.0230348	0.028718	0.022943
a87	0.0486596	0.0569902	0.0652932	0.116232	0.163328	0.158568	0.120332	0.0678406	0.0475336	0.0421867	0.0338903	0.0453734	0.0337734
a79	0.0257943	0.0324727	0.038786	0.0581179	0.0852699	0.11728	0.127079	0.100852	0.0717341	0.0789912	0.0686193	0.104632	0.0903709
a20	0.0425626	0.0486303	0.0477372	0.0667157	0.0873354	0.0946071	0.0906183	0.068242	0.0704118	0.0864151	0.0735755	0.11099	0.112159
a58	0.0529862	0.056958	0.0596569	0.0807727	0.109237	0.125002	0.112064	0.0765285	0.0768497	0.0732634	0.0589461	0.0629846	0.054751
a11	0.052065	0.0540841	0.0525081	0.0837139	0.126646	0.149558	0.13072	0.0838606	0.0735463	0.0611351	0.0450962	0.0502924	0.0367745
a75	0.0345896	0.0380893	0.0399192	0.0715444	0.121343	0.153134	0.141448	0.0931773	0.0808642	0.0706987	0.0530362	0.0605264	0.0416293
a21	0.0235333	0.025961	0.0260532	0.0450807	0.088673	0.126239	0.127979	0.0917675	0.0926167	0.096191	0.0837804	0.0893584	0.082767
a85	0.0242544	0.0265043	0.0289026	0.0368198	0.0612724	0.0922259	0.112612	0.0984904	0.104807	0.11028	0.098371	0.106761	0.0986992
a14	0.0159056	0.0184559	0.0218316	0.0308815	0.0577818	0.0911856	0.110819	0.0933688	0.107288	0.116301	0.107369	0.122127	0.106687
a30	0.0206369	0.0204839	0.0186118	0.0233555	0.0420598	0.0722017	0.0984467	0.0927829	0.104914	0.117881	0.117732	0.139032	0.131862
a2	0.0168125	0.0187785	0.0197719	0.0221375	0.0335853	0.0556375	0.0778351	0.0801593	0.0900218	0.113365	0.119433	0.169422	0.18304
a57	0.00310212	0.00376601	0.00464032	0.00592399	0.0102892	0.0219781	0.038154	0.0523966	0.0664035	0.101964	0.138783	0.273452	0.279148
a87	0.00256933	0.00284367	0.003451	0.00443736	0.00803241	0.0193354	0.0376765	0.0536183	0.0887519	0.129669	0.1406	0.251993	0.257023
a79	0.0122187	0.0137816	0.0151866	0.0177504	0.0229458	0.033687	0.0453905	0.0502532	0.0816804	0.126667	0.117557	0.195778	0.267104
a75	0.0441069	0.0428172	0.0353077	0.0316929	0.0301597	0.0390373	0.0502868	0.0476009	0.0609804	0.0807258	0.0642161	0.13988	0.333188
a94	0.0350735	0.0279644	0.0211891	0.02445	0.0408414	0.0706552	0.0910201	0.0971813	0.104186	0.104911	0.0913627	0.108147	0.183018
a38	0.0212667	0.0206699	0.0198296	0.0249024	0.0418906	0.068281	0.0866652	0.0896695	0.104776	0.114967	0.103556	0.129692	0.173834
a73	0.0172604	0.0178749	0.0187422	0.0213607	0.0334396	0.0577899	0.0817171	0.0897156	0.0973373	0.106967	0.104271	0.14077	0.212754
a41	0.00830364	0.00989099	0.0112232	0.0141459	0.0243712	0.0464094	0.0709547	0.0806799	0.101112	0.122682	0.126661	0.170125	0.213442
a12	0.00709368	0.00785631	0.00903408	0.0123485	0.0225991	0.0408897	0.0607792	0.073057	0.0982783	0.11581	0.134998	0.169694	0.247562
a41	0.0113841	0.0125274	0.0139502	0.014461	0.0196295	0.028819	0.0407005	0.0502878	0.0725726	0.101428	0.133406	0.193211	0.307623
a37	0.00596619	0.00653548	0.00716677	0.0082277	0.0132523	0.0229848	0.0343924	0.0425318	0.0641527	0.0922433	0.126175	0.201534	0.374838
a61	0.00294691	0.00324278	0.00375913	0.00463696	0.00872751	0.0179651	0.0281915	0.0348162	0.0552502	0.0861429	0.12976	0.225427	0.399134
a96	0.00633488	0.00665213	0.00699813	0.00835027	0.0127441	0.0207545	0.0298215	0.0371256	0.0555599	0.0854067	0.128173	0.218573	0.383507
a13	0.00510531	0.00532985	0.00545985	0.00598192	0.00844338	0.0141273	0.0213302	0.02702	0.0428368	0.0724658	0.118992	0.24027	0.432638
a54	0.00250623	0.00246394	0.00204306	0.0022916	0.00349101	0.00676794	0.0118917	0.0167851	0.0303125	0.0604307	0.104539	0.256388	0.500089
a73	0.0157295	0.0152483	0.0125208	0.0140559	0.020193	0.032435	0.0439566	0.0463791	0.0655367	0.0931408	0.105901	0.167362	0.367541
a84	0.00446523	0.00469902	0.00447804	0.005333	0.00878054	0.017026	0.0262527	0.0279643	0.0405455	0.0701778	0.094175	0.198221	0.497882
a57	0.00310588	0.00352635	0.00326855	0.00315656	0.00361466	0.0060163	0.0108519	0.0151055	0.0240947	0.0573877	0.0988443	0.285657	0.485371
a79	0.00323703	0.00311582	0.00242281	0.00215544	0.00205069	0.00295345	0.0053311	0.00807543	0.0214381	0.0546428	0.113344	0.267729	0.513504
a15	0.00811526	0.00781426	0.00635328	0.00504563	0.00399235	0.00553659	0.00868938	0.0112577	0.0266335	0.0605718	0.0990612	0.221183	0.535746
a69	0.00543422	0.00553605	0.00483652	0.00383145	0.0031485	0.00390476	0.00550739	0.00705396	0.0120186	0.0307783	0.0599628	0.183524	0.674464
a44	0.00224598	0.00250928	0.00275401	0.00278021	0.00334463	0.00512658	0.00806747	0.0100294	0.0164724	0.0395856	0.069212	0.192215	0.645657
a24	0.00268847	0.0028137	0.0026319	0.0026832	0.00351734	0.00624884	0.0106254	0.0137248	0.021838	0.049405	0.0788221	0.214749	0.590253
a18	0.00604578	0.00518719	0.00385472	0.00381552	0.0048025	0.00761979	0.0117147	0.0160253	0.0287691	0.0585975	0.0905405	0.20632	0.556708
a25	0.0019953	0.0018392	0.00134195	0.00129144	0.00175082	0.00350588	0.00658017	0.0100151	0.0202928	0.0455283	0.0835289	0.228563	0.593767
a40	0.00162807	0.0014822	0.001109	0.000868819	0.000879942	0.00162296	0.00333101	0.00563768	0.0123252	0.0355526	0.0723673	0.237457	0.625739
