 	le	bord	de	son	pagne	est	usé	</S>
a23	0.219185	0.150415	0.134944	0.14547	0.155621	0.110875	0.0519131	0.0315762
a87	0.360574	0.151585	0.128317	0.120384	0.120824	0.0615527	0.0321957	0.0245678
a23	0.23085	0.162684	0.154669	0.13643	0.112308	0.0605592	0.0554187	0.0870816
a24	0.384463	0.271335	0.146057	0.0911076	0.04951	0.0200337	0.016177	0.0213171
a25	0.378132	0.343729	0.152398	0.0821076	0.0308694	0.00635994	0.00322043	0.00318351
a38	0.293911	0.236189	0.152502	0.106622	0.0611959	0.0356654	0.040393	0.0735216
a35	0.292279	0.27116	0.165991	0.121684	0.0675644	0.0291914	0.0240781	0.0280515
a41	0.207395	0.252765	0.20022	0.167768	0.104684	0.033917	0.0180445	0.0152063
a35	0.182249	0.2196	0.211997	0.189208	0.124496	0.0402165	0.0180856	0.0141485
a76	0.172144	0.192247	0.210528	0.200089	0.139244	0.0485254	0.0210822	0.01614
a73	0.189663	0.19932	0.20323	0.185639	0.128603	0.0516428	0.0244485	0.0174542
a84	0.151648	0.153422	0.20476	0.206604	0.155031	0.0671219	0.0335453	0.0278675
a40	0.0583148	0.059379	0.119404	0.158272	0.188024	0.171601	0.121721	0.123284
a14	0.102555	0.107783	0.182435	0.209849	0.173754	0.0989961	0.0643458	0.0602817
a35	0.136922	0.149254	0.19522	0.186952	0.144122	0.0828537	0.056114	0.0485621
a14	0.0810569	0.0930971	0.165837	0.20021	0.18383	0.127264	0.0803356	0.0683704
a73	0.0725845	0.0814114	0.148266	0.190437	0.188136	0.142977	0.0928876	0.0833006
a76	0.0390852	0.0436223	0.0801313	0.111198	0.145695	0.193851	0.186954	0.199463
a73	0.0623657	0.0739001	0.0822179	0.0859129	0.0927501	0.121574	0.180634	0.300645
a84	0.0434711	0.0462684	0.055204	0.0615582	0.08655	0.171793	0.235741	0.299414
a57	0.0326242	0.0324315	0.0550141	0.0588736	0.0773565	0.160853	0.228199	0.354648
a87	0.0364238	0.0304315	0.0499643	0.0563753	0.0775036	0.167336	0.226461	0.355504
a23	0.0511367	0.0382015	0.0590098	0.0785578	0.0991466	0.158835	0.220946	0.294166
a24	0.0693836	0.0436708	0.0598878	0.0648494	0.0891385	0.182675	0.223722	0.266672
a61	0.0331113	0.0222987	0.0332897	0.0412282	0.0568153	0.11125	0.230845	0.471161
a24	0.0615791	0.0517096	0.0583954	0.0625924	0.0759206	0.114541	0.190578	0.384684
a32	0.0322169	0.0342108	0.0418884	0.0447857	0.0614014	0.119277	0.226108	0.440112
a71	0.0214233	0.0203495	0.029277	0.032635	0.0439961	0.104128	0.242527	0.505665
a9	0.00576319	0.00564142	0.011158	0.0150893	0.0266233	0.0867586	0.239446	0.60952
a75	0.00460552	0.00460457	0.00813068	0.0110143	0.0192988	0.0622587	0.210091	0.679996
a92	0.00478581	0.00481622	0.00791049	0.0102339	0.01959	0.0754471	0.248572	0.628645
a15	0.00652154	0.00655638	0.0125911	0.0166536	0.0288146	0.0910621	0.237549	0.600252
a73	0.00799183	0.00742621	0.0143294	0.0169984	0.0239536	0.0786418	0.239195	0.611464
a84	0.0037215	0.0037848	0.00727417	0.00862028	0.0126473	0.0504797	0.22129	0.692182
a57	0.00260802	0.00247738	0.00451737	0.00496213	0.00785227	0.0343665	0.180186	0.763031
a87	0.00716715	0.00397494	0.00554985	0.00566107	0.00859651	0.0467051	0.230062	0.692284
</S>	0.0366229	0.0186949	0.0200547	0.0179398	0.0231644	0.0894273	0.233892	0.560204
