 	j'	ai	une	plaie	à	l'	épaule	</S>
a66	0.330544	0.13151	0.081204	0.0686185	0.100304	0.109815	0.103185	0.07482
a87	0.163147	0.105103	0.0900247	0.102733	0.147951	0.131287	0.162965	0.0967876
a23	0.296351	0.197176	0.110657	0.0624925	0.0631095	0.072345	0.117285	0.0805835
a62	0.350137	0.283209	0.14992	0.0666301	0.0428197	0.0310945	0.0414212	0.0347684
a18	0.460956	0.279095	0.129329	0.044669	0.0259335	0.0211852	0.0211588	0.0176732
a21	0.375856	0.302017	0.162282	0.0655972	0.0393239	0.0234621	0.0198836	0.0115781
a85	0.245333	0.296283	0.228051	0.105539	0.0498359	0.0261884	0.0290689	0.0197003
a47	0.131935	0.196764	0.220833	0.181433	0.104475	0.0549804	0.0593473	0.0502316
a36	0.0788078	0.101084	0.139383	0.196156	0.171431	0.115506	0.109676	0.0879545
a79	0.0540202	0.051292	0.0700279	0.11676	0.163266	0.181034	0.190307	0.173293
a98	0.0358749	0.0315121	0.0495799	0.107346	0.176665	0.212416	0.218697	0.167909
a5	0.0115636	0.0105273	0.018129	0.0506196	0.128043	0.239653	0.267402	0.274064
a18	0.00937027	0.0077086	0.0108113	0.0243393	0.0695445	0.140783	0.268008	0.469435
a12	0.00168872	0.00125145	0.00155157	0.00405196	0.0216538	0.0865543	0.266685	0.616563
a43	0.00147418	0.0013116	0.00210369	0.0062396	0.0265574	0.0838788	0.242751	0.635684
a11	0.00121561	0.000933689	0.00141435	0.00432021	0.0209876	0.0818947	0.282084	0.60715
a10	0.00692897	0.00477345	0.00618859	0.0127852	0.03913	0.100741	0.251004	0.578448
a87	0.0375876	0.0219931	0.0220994	0.0344452	0.0704334	0.112463	0.227231	0.473748
a23	0.242639	0.11022	0.0662462	0.0608899	0.087561	0.101612	0.14417	0.186662
a99	0.0231056	0.0115031	0.00808171	0.0107361	0.0340363	0.0994625	0.232856	0.580219
a3	0.00967034	0.0062475	0.0058098	0.0108418	0.040259	0.110784	0.247263	0.569124
</S>	0.00943252	0.00696831	0.00723595	0.0134212	0.0422978	0.104169	0.239203	0.577272
