 	cet	enfant	est	un	grand	pleurnichard	</S>
a66	0.337066	0.233938	0.166803	0.139179	0.0697976	0.0334564	0.0197608
a87	0.437349	0.203767	0.142824	0.109017	0.0529203	0.0330423	0.02108
a23	0.553461	0.238965	0.104633	0.0398424	0.0192758	0.0225688	0.0212541
a83	0.509518	0.207411	0.0918877	0.0426082	0.0348096	0.0540554	0.0597107
a20	0.404249	0.210472	0.11375	0.0840972	0.0663171	0.0633633	0.057752
a6	0.399252	0.266695	0.144901	0.0811942	0.0445141	0.0351366	0.0283066
a98	0.299854	0.2604	0.192244	0.111974	0.0608322	0.04229	0.0324066
a47	0.235663	0.22964	0.227151	0.168365	0.076056	0.0356374	0.0274885
a85	0.182141	0.192002	0.211913	0.16235	0.112679	0.0713198	0.0675945
a25	0.145186	0.167214	0.206041	0.17808	0.122746	0.0890197	0.0917125
a94	0.104779	0.159517	0.208655	0.188745	0.128953	0.102487	0.106864
a37	0.127002	0.191853	0.211171	0.163483	0.0995918	0.0829581	0.123941
a21	0.115145	0.191173	0.241368	0.188075	0.10443	0.067697	0.0921125
a5	0.0562201	0.0885971	0.1447	0.204437	0.192486	0.141113	0.172446
a75	0.0310218	0.0488628	0.0922649	0.182944	0.23511	0.193171	0.216625
a25	0.0126076	0.0231272	0.0472704	0.126505	0.245852	0.258344	0.286294
a92	0.00516393	0.0104454	0.0225727	0.0834023	0.263508	0.283651	0.331257
a37	0.00408377	0.00861359	0.0212957	0.0788569	0.230771	0.304397	0.351981
a21	0.00660117	0.0100725	0.0166323	0.0525379	0.183474	0.300785	0.429897
a5	0.0026865	0.00359869	0.00596389	0.0210246	0.114345	0.316231	0.53615
a98	0.00105964	0.00156947	0.00254336	0.00993655	0.0805963	0.334852	0.569443
a79	0.000346091	0.000654629	0.00128289	0.00709508	0.0724274	0.317009	0.601184
a37	0.000239088	0.000501441	0.0010491	0.00600931	0.0611765	0.289888	0.641136
a21	0.000779594	0.0011088	0.00158906	0.00603094	0.0521213	0.278302	0.660068
a5	0.000560895	0.0010545	0.00193697	0.00838538	0.0633973	0.320952	0.603713
a61	0.000745264	0.00110287	0.00165886	0.0064278	0.0497739	0.309738	0.630553
a18	0.000379746	0.000621126	0.00131152	0.00581309	0.0433509	0.251043	0.69748
a71	0.00281313	0.0039216	0.00627581	0.0220035	0.115644	0.322692	0.52665
a9	0.0150422	0.0170247	0.0218804	0.0530405	0.16748	0.27774	0.447792
a87	0.138319	0.0878128	0.077249	0.104891	0.164627	0.214916	0.212185
a23	0.3041	0.208744	0.141889	0.0992053	0.0812227	0.0880665	0.0767725
a87	0.171819	0.0978303	0.0506365	0.0433071	0.0616963	0.17572	0.398991
</S>	0.0154094	0.0101096	0.00851375	0.015803	0.0589104	0.275956	0.615297
