 	il	est	très	fatigué	il	travaille	beaucoup	</S>
a23	0.328074	0.184272	0.0853785	0.085039	0.0610248	0.0595577	0.0846042	0.11205
a85	0.383448	0.227096	0.118238	0.08576	0.042644	0.0367588	0.0454578	0.0605978
a87	0.216857	0.139925	0.0802255	0.0877393	0.0779485	0.0935144	0.110293	0.193498
a40	0.317008	0.220886	0.115193	0.0866406	0.0429045	0.0467263	0.0575744	0.113067
a26	0.409168	0.195037	0.0741889	0.0688064	0.0469438	0.0425803	0.0585255	0.10475
a94	0.389657	0.248667	0.112678	0.0998707	0.0524849	0.0287179	0.0294463	0.0384788
a24	0.321491	0.240131	0.153229	0.128582	0.0657421	0.0314406	0.0262371	0.0331473
a35	0.189755	0.190452	0.186075	0.192297	0.119332	0.0531328	0.0331311	0.0358257
a20	0.183594	0.201288	0.190148	0.194308	0.113779	0.0473014	0.0331548	0.0364274
a58	0.170487	0.187787	0.167515	0.170472	0.123888	0.0742584	0.0522595	0.0533331
a20	0.184828	0.193328	0.168391	0.17279	0.13141	0.0669959	0.041386	0.0408704
a69	0.139608	0.153489	0.147407	0.179202	0.146437	0.100105	0.0674371	0.0663142
a58	0.147314	0.146886	0.127525	0.147146	0.137729	0.118126	0.0896107	0.0856627
a84	0.121821	0.129804	0.12733	0.163502	0.167794	0.130859	0.080754	0.0781369
a87	0.0741905	0.0763449	0.0746013	0.117209	0.143782	0.184515	0.153996	0.175362
a23	0.0957744	0.0950291	0.0913267	0.127947	0.125977	0.144572	0.150018	0.169356
a79	0.0698457	0.0702488	0.0779032	0.112992	0.129473	0.152375	0.171656	0.215506
a20	0.0555984	0.0483952	0.0427059	0.0677936	0.0904662	0.142715	0.235902	0.316423
a73	0.100059	0.0909067	0.0822786	0.106235	0.123845	0.141576	0.176013	0.179087
a84	0.067757	0.0767759	0.0806058	0.104324	0.125721	0.167432	0.201842	0.175543
a54	0.0437966	0.0457962	0.0464084	0.0591834	0.077509	0.128929	0.254785	0.343592
a41	0.0478984	0.0543704	0.057457	0.0855511	0.111323	0.152179	0.206005	0.285216
a94	0.025071	0.0281807	0.0393191	0.0838622	0.146906	0.236472	0.237222	0.202967
a76	0.0191866	0.0192332	0.0237591	0.048573	0.0992329	0.223191	0.303846	0.262978
a94	0.014343	0.0134459	0.016059	0.0355404	0.0829074	0.222479	0.296437	0.318788
a32	0.00824732	0.00841986	0.0106746	0.0231823	0.0582232	0.188238	0.351055	0.35196
a20	0.00395122	0.00360224	0.00404182	0.0084716	0.0231214	0.115273	0.362893	0.478646
a94	0.00323005	0.00302519	0.00411968	0.0102271	0.0314958	0.154394	0.377101	0.416408
a90	0.00157681	0.00152361	0.00210834	0.00515078	0.015215	0.0862573	0.332468	0.5557
a94	0.0036676	0.00316378	0.00377005	0.00791946	0.018108	0.0868749	0.313588	0.562908
a88	0.00240051	0.0015788	0.00157405	0.00302096	0.00687473	0.0405853	0.249322	0.694644
a24	0.00296086	0.00203187	0.0019906	0.00344862	0.00802356	0.0410742	0.247527	0.692943
a9	0.00244537	0.00164935	0.00191598	0.00350381	0.00892683	0.0451103	0.252895	0.683553
a87	0.00164889	0.00103575	0.00107077	0.002026	0.00704789	0.0647342	0.296388	0.626048
</S>	0.0026191	0.00142506	0.00130376	0.00222135	0.00672275	0.0632511	0.281049	0.641408
