 	il	a	mis	du	temps	au	village	</S>
a23	0.233154	0.185123	0.144006	0.140416	0.0762542	0.0866548	0.0752803	0.0591119
a87	0.24729	0.171003	0.122992	0.126148	0.141938	0.083712	0.0588228	0.0480946
a23	0.230678	0.165935	0.117886	0.0988366	0.13199	0.0931105	0.081523	0.0800406
a87	0.32453	0.21974	0.12909	0.0915278	0.0819013	0.0517625	0.0502488	0.0511998
a23	0.345978	0.221451	0.1276	0.0912822	0.0646119	0.0429686	0.0498391	0.0562682
a30	0.372153	0.225222	0.123574	0.0812038	0.0495809	0.0358229	0.0488548	0.0635887
a53	0.297105	0.222948	0.144402	0.105759	0.063071	0.0543555	0.0569859	0.0553735
a44	0.326555	0.250516	0.16484	0.102108	0.0580939	0.0372994	0.0309886	0.0295988
a96	0.250814	0.221624	0.185082	0.143393	0.0833231	0.0495858	0.0358509	0.0303278
a62	0.194171	0.188656	0.181073	0.145746	0.0924924	0.0764262	0.0639702	0.0574643
a83	0.151964	0.16531	0.181671	0.159983	0.101885	0.0936445	0.0774086	0.0681346
a62	0.143857	0.151873	0.166364	0.153162	0.107088	0.102507	0.090979	0.0841702
a34	0.115122	0.113412	0.127451	0.135881	0.115164	0.147679	0.129006	0.116286
a93	0.0832262	0.0756686	0.0830842	0.0972313	0.110535	0.209033	0.185722	0.1555
a13	0.0474462	0.0408883	0.0436153	0.056826	0.0877282	0.236086	0.255776	0.231633
a9	0.0275339	0.0221087	0.0219329	0.0284344	0.0513296	0.190069	0.306682	0.351909
a30	0.00777238	0.00610513	0.00594977	0.0097892	0.0235409	0.126899	0.309133	0.510811
a99	0.0216699	0.0157519	0.0173269	0.0208491	0.0332655	0.104007	0.252092	0.535037
a9	0.0500229	0.0271271	0.0224546	0.0217971	0.0342427	0.106355	0.24098	0.49702
a10	0.158291	0.08777	0.0623501	0.0556315	0.0548157	0.118992	0.198494	0.263655
a87	0.121582	0.0726381	0.0503896	0.0448603	0.0448681	0.117693	0.241234	0.306735
a23	0.141399	0.0890386	0.0611838	0.0512682	0.0484124	0.105224	0.216437	0.287038
a87	0.156286	0.0902957	0.0580745	0.0341556	0.0392233	0.094469	0.204109	0.323387
</S>	0.0985047	0.059633	0.0407762	0.0308526	0.0420402	0.108255	0.224098	0.39584
