 	la	manière	dont	il	a	emballé	mes	poissons	n'	était	pas	conforme	</S>
a66	0.0874519	0.0587056	0.0498627	0.0689521	0.0842995	0.110419	0.123208	0.154445	0.145191	0.0654268	0.0266769	0.0148027	0.0105591
a87	0.371356	0.16284	0.104161	0.0729652	0.0464442	0.0284431	0.0337575	0.0356901	0.0314331	0.0233124	0.0296516	0.029048	0.0308978
a23	0.361581	0.150818	0.104885	0.0766101	0.0506271	0.0348329	0.0297769	0.0293357	0.0301147	0.0291895	0.0269591	0.0304211	0.044849
a50	0.257358	0.17894	0.192512	0.106962	0.0463391	0.0343391	0.03233	0.0280973	0.0232292	0.0220287	0.0229197	0.0295898	0.025356
a61	0.276688	0.175999	0.134756	0.0868806	0.0499358	0.0442027	0.0450872	0.0453086	0.0365869	0.0350306	0.038181	0.0202967	0.0110462
a36	0.358264	0.257867	0.141154	0.0693021	0.0286264	0.0186358	0.0178056	0.0212763	0.0205644	0.0240176	0.0266878	0.0126561	0.00314324
a94	0.338283	0.277679	0.167913	0.0705105	0.0289947	0.017384	0.0148839	0.0153161	0.0139466	0.0172864	0.0206397	0.0133468	0.00381707
a44	0.216979	0.243988	0.239184	0.103375	0.0527254	0.0316415	0.0217521	0.017596	0.0128697	0.0142937	0.0169791	0.0190134	0.00960294
a34	0.203241	0.215518	0.211219	0.114911	0.0671047	0.0442494	0.0307519	0.0223645	0.0149274	0.0170542	0.0209927	0.0244745	0.0131929
a21	0.176666	0.190311	0.210108	0.127233	0.0734067	0.0550735	0.0394866	0.030023	0.0206321	0.0205164	0.0217692	0.0223318	0.0124436
a56	0.121661	0.132136	0.176759	0.138662	0.1	0.0872219	0.0695356	0.0612361	0.0376751	0.025052	0.0208787	0.0174993	0.0116822
a34	0.0722029	0.0819658	0.152366	0.161584	0.117397	0.106387	0.0871836	0.0751446	0.0455954	0.0310745	0.0266202	0.0230578	0.0194214
a93	0.0652105	0.0680733	0.128659	0.152634	0.127888	0.123908	0.105397	0.0968895	0.0587068	0.027697	0.0167236	0.0139193	0.0142935
a90	0.0362648	0.0411273	0.0837953	0.146603	0.140967	0.131839	0.120556	0.11208	0.0725078	0.0416843	0.0284987	0.0199939	0.0240826
a25	0.0232846	0.0257243	0.0505829	0.115369	0.145888	0.152847	0.133504	0.134848	0.0950722	0.0442714	0.0259731	0.0203505	0.032284
a56	0.014423	0.0142249	0.0312628	0.0906706	0.126872	0.147959	0.12645	0.121412	0.101772	0.0549266	0.0404143	0.0421334	0.0874794
a98	0.0105888	0.0111716	0.0237494	0.0678907	0.114518	0.151916	0.147856	0.154981	0.126039	0.0615864	0.0374108	0.0295012	0.0627911
a85	0.00666947	0.0081018	0.0160994	0.0455796	0.0977439	0.147959	0.1079	0.105766	0.108098	0.0776806	0.0728687	0.0690866	0.136446
a6	0.00534945	0.00646412	0.0119085	0.0383971	0.0903202	0.138785	0.107265	0.110306	0.111495	0.0822084	0.0813259	0.0757956	0.14038
a0	0.00642406	0.00883947	0.0216589	0.0460238	0.0913984	0.139846	0.103381	0.101905	0.109649	0.0788966	0.0820167	0.0763332	0.133628
a21	0.00663258	0.00627927	0.0122912	0.0278609	0.0549259	0.107405	0.088251	0.0862467	0.102186	0.0571678	0.064273	0.0749699	0.311511
