 	l'	homme	tirait	calmement	des	bouffées	de	sa	pipe	</S>
a23	0.270775	0.170152	0.108722	0.169938	0.150556	0.0558684	0.0216864	0.0145625	0.0166263	0.021112
a85	0.627295	0.20641	0.0290899	0.0195997	0.0136665	0.0103829	0.0099594	0.0115029	0.0225565	0.0495373
a87	0.343136	0.235938	0.0750559	0.0339842	0.0104843	0.00961933	0.0193297	0.0326977	0.0908815	0.148873
a23	0.348214	0.25327	0.0897442	0.0452133	0.0156821	0.00698583	0.0130227	0.0298208	0.0797691	0.118278
a24	0.309331	0.18451	0.0562952	0.01945	0.0046894	0.00318107	0.00998599	0.0320245	0.135187	0.245346
a71	0.476853	0.320228	0.0927731	0.0471741	0.0116714	0.00402294	0.00504031	0.00725446	0.0138408	0.0211418
a9	0.429724	0.339755	0.102135	0.0549275	0.018036	0.00621938	0.00646371	0.00749615	0.0127373	0.0225057
a54	0.278224	0.222745	0.112427	0.0886274	0.0421845	0.0220387	0.024081	0.0341679	0.062635	0.11287
a30	0.275017	0.227072	0.134045	0.11138	0.0622633	0.0401396	0.029431	0.0276583	0.0348771	0.058117
a2	0.191582	0.185916	0.146489	0.16516	0.121924	0.06368	0.0393157	0.0296841	0.0248595	0.0313908
a40	0.102702	0.0936287	0.0799367	0.10732	0.155299	0.111106	0.0783663	0.0825321	0.0830794	0.106029
a30	0.174456	0.156578	0.151022	0.146531	0.114879	0.0769201	0.0526826	0.0457982	0.0387805	0.042352
a35	0.121792	0.128012	0.162252	0.189009	0.179111	0.0951826	0.052939	0.0302888	0.0199449	0.0214695
a26	0.135886	0.141698	0.1592	0.172591	0.160442	0.0745265	0.0472203	0.0364248	0.0331949	0.0388161
a54	0.095368	0.101001	0.11001	0.139307	0.206523	0.130164	0.0754948	0.0509851	0.043173	0.0479742
a14	0.0955798	0.109314	0.123322	0.136265	0.172421	0.100606	0.0673254	0.0579248	0.0628094	0.0744327
a35	0.104679	0.130669	0.170723	0.15644	0.177711	0.0936663	0.0561657	0.0383131	0.034619	0.0370136
a30	0.0581865	0.067452	0.107389	0.123288	0.193843	0.114904	0.0798094	0.0658746	0.0875905	0.101663
a14	0.0428136	0.057793	0.0920407	0.103585	0.226526	0.145757	0.0959588	0.0662325	0.0766785	0.0926145
a37	0.0590473	0.0668687	0.0913546	0.106208	0.232946	0.134831	0.0832012	0.0615858	0.073446	0.0905112
a35	0.0211469	0.0204807	0.0263838	0.0342106	0.0982748	0.100108	0.091099	0.106458	0.212574	0.289265
a66	0.0230489	0.0256774	0.0357472	0.0448514	0.131804	0.121356	0.102231	0.114977	0.183033	0.217273
a75	0.0134784	0.0124118	0.0180107	0.0246457	0.0877247	0.108226	0.0922958	0.10052	0.227913	0.314774
a35	0.0121079	0.0114408	0.0170337	0.019876	0.0793985	0.0991658	0.0862493	0.119696	0.259065	0.295968
a14	0.0126598	0.0116076	0.021293	0.0243861	0.0791386	0.0990281	0.0888422	0.114808	0.248763	0.299473
a73	0.0177203	0.0158364	0.0220286	0.0208104	0.0706937	0.121335	0.0959032	0.111947	0.224463	0.299263
a20	0.0191883	0.0157469	0.0203692	0.0179492	0.0666554	0.131605	0.104067	0.107593	0.217315	0.299511
a73	0.0122143	0.009174	0.0133215	0.0120015	0.0415845	0.0993511	0.0902538	0.117692	0.260435	0.343972
a92	0.00831849	0.00564851	0.00782027	0.00706384	0.030712	0.0770131	0.0896311	0.116385	0.278867	0.37854
a44	0.00622593	0.00472428	0.00737639	0.00761007	0.0241742	0.0633021	0.0775949	0.122028	0.313766	0.373198
a38	0.00446873	0.00291885	0.00636081	0.00653748	0.0230548	0.0616885	0.0971948	0.139757	0.290982	0.367037
a76	0.00428558	0.00217234	0.00348704	0.00368229	0.013018	0.0484251	0.0968904	0.145986	0.291769	0.390285
a94	0.0176441	0.00949098	0.0124967	0.0119464	0.0238622	0.0580444	0.0838133	0.134896	0.28737	0.360435
a58	0.00639869	0.00273993	0.00324165	0.00294975	0.00828765	0.0253963	0.0600392	0.123781	0.30359	0.463575
a82	0.0104913	0.00337736	0.00249373	0.00229544	0.006757	0.028592	0.0815884	0.159646	0.296834	0.407925
a38	0.00702075	0.00286534	0.00129973	0.00134124	0.00328549	0.0150582	0.0425388	0.125815	0.324233	0.476542
a26	0.00550612	0.00221569	0.000780333	0.00069621	0.00175249	0.00852562	0.0311925	0.0923323	0.307276	0.549723
a24	0.00190257	0.000747299	0.000438651	0.000443667	0.00106659	0.00559625	0.023989	0.0831518	0.331747	0.550918
a9	0.00196548	0.000802783	0.000476498	0.000430706	0.000823079	0.00396631	0.0173622	0.0700377	0.332208	0.571927
a99	0.00231923	0.00122398	0.000870479	0.00100919	0.00183497	0.00660757	0.0237245	0.0897274	0.362244	0.510439
a87	0.0042053	0.00194425	0.00103158	0.0013592	0.00281419	0.00852446	0.0244851	0.0827728	0.326115	0.546748
</S>	0.00144536	0.000775274	0.000459773	0.000588111	0.00153669	0.00502444	0.0142934	0.0631994	0.305434	0.607244
