 	cet	étang	est	profond	</S>
a66	0.546365	0.215887	0.110692	0.0872304	0.0398257
a87	0.568114	0.201122	0.136579	0.0726326	0.021552
a23	0.545148	0.218218	0.104475	0.0872328	0.0449261
a50	0.549442	0.248189	0.0973642	0.0602908	0.044714
a88	0.68826	0.229557	0.0518221	0.0199295	0.0104313
a71	0.585052	0.294585	0.0833379	0.0280044	0.00902132
a38	0.408328	0.336397	0.156883	0.0700527	0.0283398
a56	0.328224	0.335014	0.199123	0.0956802	0.0419593
a21	0.342945	0.395185	0.180555	0.0542545	0.0270601
a12	0.221946	0.330438	0.256072	0.127399	0.0641444
a31	0.18763	0.313636	0.266485	0.163996	0.0682535
a62	0.155926	0.240414	0.260587	0.244557	0.0985168
a61	0.106432	0.171873	0.233594	0.294618	0.193483
a75	0.0490861	0.0952407	0.188467	0.356314	0.310892
a25	0.0143727	0.0274494	0.092162	0.398013	0.468003
a56	0.00548146	0.0100479	0.0417588	0.261684	0.681028
a96	0.00980637	0.014355	0.0437246	0.231432	0.700682
a18	0.00416111	0.0057708	0.0164558	0.126524	0.847089
a25	0.00173	0.00254025	0.00865532	0.0743449	0.912729
a82	0.0137222	0.0172538	0.0388033	0.164958	0.765263
a87	0.10873	0.0617507	0.0790221	0.194631	0.555866
a23	0.252003	0.139035	0.135483	0.22614	0.247339
a97	0.0578971	0.02848	0.0348927	0.125516	0.753214
</S>	0.0203627	0.0172465	0.0331651	0.149218	0.780008
