 	alors	le	soleil	se	mit	à	briller	</S>
a66	0.233154	0.171182	0.170626	0.156353	0.12836	0.0751365	0.0458577	0.0193296
a87	0.264737	0.203076	0.153921	0.105182	0.0807971	0.0644556	0.0583365	0.0694947
a23	0.421002	0.258626	0.163383	0.0852448	0.0386064	0.0167963	0.0073491	0.00899173
a10	0.337523	0.244782	0.186253	0.0991926	0.0554706	0.0261208	0.0166961	0.0339621
a87	0.320525	0.238469	0.140351	0.0766748	0.0579423	0.0466898	0.0521207	0.067227
a23	0.359207	0.244424	0.141616	0.0765284	0.051503	0.0368435	0.0416815	0.0481963
a18	0.349871	0.255963	0.129957	0.0676238	0.0537668	0.0457749	0.0498204	0.0472226
a4	0.237716	0.206602	0.115167	0.0924939	0.100623	0.103993	0.090308	0.053097
a57	0.311152	0.282469	0.156213	0.0788238	0.0590911	0.0427676	0.036573	0.0329103
a38	0.264114	0.233211	0.136498	0.0743058	0.0643193	0.0587363	0.0709936	0.0978223
a53	0.209272	0.205358	0.133766	0.0811895	0.0736528	0.0666353	0.0884622	0.141664
a4	0.164245	0.188643	0.152438	0.0847025	0.0741751	0.0666183	0.0949832	0.174195
a53	0.114404	0.12234	0.12592	0.0834556	0.0768139	0.0763502	0.12884	0.271876
a94	0.0886879	0.103783	0.130443	0.098792	0.084909	0.0829823	0.134338	0.276064
a32	0.0806604	0.0771099	0.0851452	0.0835882	0.0781033	0.0783956	0.145957	0.37104
a11	0.0664683	0.0597735	0.054408	0.0566718	0.0594459	0.0671988	0.15118	0.484854
a66	0.0465256	0.0468495	0.0429577	0.0484363	0.0560923	0.0668749	0.156868	0.535395
a38	0.0221111	0.0249824	0.0251149	0.0317666	0.0416933	0.0608676	0.173169	0.620295
a90	0.024027	0.02587	0.0224808	0.0248507	0.0299392	0.0519891	0.171982	0.648861
a15	0.0243415	0.0281719	0.0250776	0.0381003	0.0565825	0.0988007	0.236832	0.492093
a44	0.035669	0.0448629	0.0427859	0.0644603	0.0999606	0.159419	0.251377	0.301465
a70	0.00705702	0.00900956	0.00843491	0.0157727	0.029865	0.0811696	0.232372	0.616319
a93	0.00397933	0.00545015	0.00478835	0.00758019	0.0116697	0.0335292	0.153077	0.779926
a69	0.00240718	0.00369667	0.0030352	0.00438578	0.00755995	0.028526	0.159537	0.790852
a4	0.00180509	0.00248893	0.00258874	0.0059638	0.0121465	0.0466796	0.204516	0.723812
a54	0.00146679	0.00211605	0.00229729	0.00485952	0.00991714	0.0384356	0.177146	0.763762
a79	0.00255057	0.00385192	0.00449004	0.010447	0.0179003	0.0521877	0.181877	0.726696
a44	0.00140298	0.00234804	0.00286378	0.00701768	0.0126515	0.0401416	0.139126	0.794449
a70	0.000622959	0.0010556	0.0011082	0.0027221	0.00459136	0.0167121	0.0868857	0.886302
a83	0.00194188	0.00288151	0.00251624	0.00388931	0.00586517	0.0189786	0.0976818	0.866245
a99	0.00110083	0.00194414	0.00184995	0.0033173	0.00510305	0.016268	0.0817666	0.88865
a54	0.00275619	0.00487275	0.00457972	0.00870893	0.0120986	0.0245669	0.0813385	0.861079
a79	0.0032055	0.00475921	0.00423071	0.00687782	0.0108966	0.0291389	0.12458	0.816311
a44	0.000887808	0.00141591	0.00145169	0.00318246	0.00606252	0.0208422	0.0934366	0.872721
a36	0.00174883	0.00307196	0.00277028	0.00489747	0.00786524	0.0204763	0.0782325	0.880937
a27	0.00693366	0.00982551	0.00832799	0.0120944	0.0161573	0.0318011	0.100643	0.814217
a57	0.103896	0.085253	0.0711618	0.0783691	0.0662686	0.0689465	0.112984	0.41312
a87	0.17712	0.151615	0.138393	0.125702	0.0985548	0.0725437	0.0647727	0.171299
a23	0.15716	0.149135	0.153083	0.129979	0.102891	0.0855564	0.071965	0.150231
a87	0.132591	0.139087	0.108865	0.0984146	0.106975	0.110499	0.0906721	0.212895
</S>	0.0589723	0.0800558	0.0686029	0.0842123	0.117403	0.139292	0.115454	0.336008
