 	cette	femme	a	défendu	à	son	enfant	de	proférer	des	injures	</S>
a66	0.173201	0.165544	0.148843	0.101716	0.0963603	0.0975356	0.0663464	0.0662797	0.0615142	0.0124937	0.00620347	0.00396305
a87	0.331142	0.254175	0.168819	0.0611984	0.0440793	0.0372388	0.0247392	0.0262212	0.0291539	0.0102585	0.00725706	0.00571797
a23	0.391113	0.268928	0.145239	0.0606703	0.0413542	0.027142	0.0162299	0.0164542	0.0155498	0.00636572	0.00575563	0.00519813
a30	0.390169	0.280734	0.134257	0.0505555	0.0309083	0.0227202	0.0127661	0.0131411	0.0176605	0.0115051	0.019193	0.0163895
a99	0.31199	0.219506	0.121174	0.0553648	0.0390064	0.0316591	0.0255008	0.0351653	0.0600321	0.0320406	0.0396918	0.0288687
a30	0.163834	0.147773	0.102526	0.0556402	0.046746	0.0446093	0.0414414	0.0605602	0.115876	0.0779754	0.0840287	0.0589899
a99	0.142295	0.136683	0.10791	0.0743095	0.0599196	0.0625903	0.0662223	0.0829367	0.129872	0.0609474	0.0477303	0.0285837
a53	0.0870757	0.0967938	0.0874614	0.0742191	0.0657541	0.0650252	0.0680368	0.0786608	0.113538	0.106118	0.0941968	0.0631199
a44	0.0583298	0.0746605	0.0951465	0.0960658	0.0782057	0.0657756	0.062756	0.0596741	0.0796412	0.113438	0.134822	0.0814854
a13	0.0528872	0.0744662	0.101448	0.120746	0.0967573	0.0774077	0.079225	0.0786677	0.0994339	0.0644792	0.0862935	0.0681878
a4	0.0431379	0.0520688	0.0717925	0.105342	0.0898377	0.0739887	0.077717	0.0815729	0.106387	0.0753024	0.113516	0.109337
a99	0.0509459	0.052862	0.0756486	0.11565	0.100288	0.0813959	0.0827385	0.081785	0.104968	0.0600094	0.0957626	0.0979458
a4	0.0358673	0.0367946	0.0617442	0.116458	0.108457	0.0891108	0.0894501	0.0876603	0.1114	0.0583233	0.094646	0.110088
a13	0.0296536	0.02507	0.0387971	0.0884465	0.0983584	0.0944721	0.0992484	0.104568	0.131132	0.0732611	0.100707	0.116287
a53	0.020883	0.0178219	0.0266391	0.06424	0.0750457	0.0734652	0.079423	0.0886421	0.115486	0.0961857	0.149517	0.192651
a44	0.00804897	0.0068076	0.0115147	0.0329157	0.0500184	0.0641407	0.0815313	0.0930038	0.118886	0.144286	0.200586	0.18826
a70	0.00878243	0.00640527	0.00925682	0.0214055	0.029847	0.0442104	0.0669022	0.0829868	0.0969061	0.145237	0.231226	0.256834
a83	0.00782031	0.00523012	0.00745607	0.0167384	0.0223457	0.0354926	0.0530883	0.0665818	0.0695091	0.153717	0.258645	0.303375
a38	0.00292933	0.0021279	0.00267017	0.0052762	0.00794954	0.0150147	0.0270558	0.0401206	0.0428594	0.174556	0.313667	0.365773
a75	0.00427688	0.00313502	0.00409831	0.00795656	0.010349	0.0166794	0.0252666	0.0364967	0.0376893	0.175667	0.321448	0.356937
a56	0.00268516	0.00252399	0.0040582	0.00970271	0.0141922	0.024957	0.0414958	0.0548801	0.046745	0.140262	0.24685	0.411648
a70	0.00180808	0.00131335	0.00189697	0.00452496	0.00786805	0.0148992	0.023124	0.0286384	0.0236917	0.134915	0.323832	0.433488
a50	0.000999979	0.000725143	0.000905038	0.00169966	0.00273876	0.00571472	0.00944462	0.0129902	0.0113621	0.110881	0.32176	0.520779
a83	0.00112583	0.000788501	0.000949443	0.00155094	0.00245491	0.00522046	0.00708234	0.0115846	0.0113703	0.134525	0.345111	0.478236
a71	0.000582439	0.000400509	0.000474411	0.000769171	0.00127298	0.00271195	0.00431964	0.00696842	0.00602484	0.0885612	0.302307	0.585607
a9	0.00128546	0.00106534	0.00135754	0.00191106	0.00322195	0.0057338	0.00700669	0.0105751	0.0123046	0.0834434	0.280214	0.591881
a38	0.100976	0.0503907	0.0383265	0.0299475	0.0340606	0.0423695	0.0423737	0.0410619	0.0396913	0.0854176	0.203206	0.292179
a99	0.127202	0.0590988	0.0416334	0.0351434	0.035442	0.0413505	0.0398878	0.0400036	0.0364708	0.0827102	0.18424	0.276818
a18	0.0792895	0.0311191	0.0223889	0.0215759	0.0247241	0.0351904	0.0399675	0.0440963	0.0327553	0.0933488	0.222945	0.352599
a99	0.0864266	0.0370036	0.0245698	0.0222205	0.025443	0.0372024	0.0433219	0.0468017	0.0356238	0.0887102	0.207238	0.345439
a97	0.110268	0.0539608	0.0361128	0.0300085	0.0335534	0.0505606	0.0560286	0.0560153	0.0407457	0.0795525	0.173277	0.279917
a87	0.119055	0.0724901	0.0506825	0.0411637	0.0520876	0.0846947	0.0843596	0.0708111	0.0530054	0.0661473	0.13184	0.173663
a23	0.137377	0.102433	0.0754579	0.0561491	0.0666408	0.0991429	0.0879015	0.0729333	0.0516887	0.0523712	0.08979	0.108115
a87	0.173305	0.102565	0.0775522	0.0457514	0.0453683	0.0546846	0.0445417	0.0399329	0.019596	0.0614766	0.124454	0.210772
a23	0.113052	0.0695723	0.0522601	0.0400874	0.0494216	0.0618537	0.0459416	0.0355547	0.0192659	0.0662436	0.149063	0.297685
a87	0.169637	0.114986	0.0869572	0.0504967	0.0551926	0.0668797	0.0482614	0.0396308	0.0191691	0.0566738	0.101822	0.190294
</S>	0.12351	0.0852571	0.0610806	0.0379825	0.0407556	0.0467553	0.0322994	0.0234566	0.0124926	0.0661863	0.150288	0.319936
