 	la	femme	qu'	il	a	épousée	n'	a	pas	encore	mis	au	monde	</S>
a66	0.295907	0.171803	0.107857	0.083104	0.0634868	0.0678018	0.0500168	0.0417446	0.0313051	0.0232852	0.0207105	0.0161866	0.0142076	0.0125836
a87	0.369922	0.21399	0.115423	0.0631527	0.0417708	0.0336574	0.0258124	0.0208398	0.0179329	0.0149059	0.0168064	0.0179123	0.021615	0.0262597
a23	0.325943	0.193575	0.115196	0.069291	0.0490413	0.0549378	0.0357557	0.0270941	0.0200533	0.0165487	0.0173452	0.0188875	0.0221159	0.0342153
a13	0.239604	0.158022	0.0986998	0.0628686	0.0566113	0.0678635	0.0369911	0.0287081	0.0255411	0.024291	0.0299664	0.0395728	0.0490025	0.0822575
a50	0.201084	0.142332	0.0976959	0.0656232	0.0586346	0.0539956	0.0327151	0.0294744	0.0254712	0.0223032	0.0315282	0.0496826	0.0767207	0.11274
a96	0.199501	0.21469	0.190083	0.135203	0.0906509	0.0506363	0.0190447	0.0122258	0.0105311	0.00887974	0.0112015	0.0149682	0.0199449	0.0224401
a62	0.174772	0.193166	0.177777	0.133321	0.0981244	0.0728587	0.03032	0.0205702	0.0159898	0.012476	0.0131707	0.0164173	0.0193513	0.0216858
a12	0.138829	0.163384	0.179975	0.154618	0.112751	0.0957327	0.0508251	0.0305908	0.0177278	0.0119814	0.0100092	0.0104388	0.0111911	0.0119464
a21	0.107689	0.134263	0.165107	0.159506	0.126464	0.115199	0.070206	0.0406971	0.0214309	0.0137195	0.0109015	0.0110382	0.0114905	0.0122887
a5	0.0674931	0.0994382	0.140301	0.16364	0.136877	0.121956	0.0937234	0.0616149	0.0342748	0.0202148	0.0140237	0.0136346	0.0150663	0.0177428
a98	0.0472686	0.0690525	0.0943958	0.129409	0.140964	0.151996	0.114412	0.0771309	0.0508057	0.0351425	0.0247424	0.0205005	0.0210664	0.0231146
a85	0.0278943	0.052177	0.0872341	0.134754	0.140038	0.120268	0.102483	0.0884978	0.0691201	0.0469586	0.0326843	0.0279817	0.0314618	0.0384471
a92	0.0284066	0.0499563	0.0810375	0.131105	0.1434	0.133329	0.115652	0.0905773	0.0634367	0.0422052	0.0300162	0.0252263	0.0285094	0.0371428
a37	0.0314844	0.0428475	0.058382	0.099656	0.117354	0.130653	0.115063	0.0972084	0.0808588	0.0646945	0.0495185	0.0373884	0.0356959	0.0391954
a56	0.0196245	0.0262892	0.0322166	0.0611447	0.0880115	0.122235	0.147364	0.142632	0.113752	0.0795799	0.0544217	0.0365219	0.0349575	0.0412498
a90	0.0109471	0.0132738	0.0153162	0.0291776	0.0666287	0.115038	0.145458	0.161681	0.142167	0.099975	0.0689402	0.0449827	0.0400155	0.046399
a79	0.00660352	0.00767651	0.00885064	0.0171112	0.0484241	0.104668	0.132886	0.160544	0.153121	0.11247	0.082876	0.0576348	0.0500526	0.0570821
a56	0.00353725	0.00415417	0.00493076	0.0094382	0.0278542	0.06448	0.0954699	0.136241	0.147289	0.126088	0.108668	0.0825539	0.0804284	0.108867
a93	0.00413391	0.00425498	0.00452858	0.00822941	0.0232978	0.0598372	0.0943083	0.138767	0.160664	0.140215	0.111561	0.080182	0.0744647	0.0955562
a4	0.00532025	0.00518213	0.00511828	0.00794091	0.019156	0.0519665	0.074748	0.114138	0.146928	0.145992	0.123134	0.0902669	0.0879359	0.122173
a57	0.0037854	0.00346354	0.0032719	0.00490853	0.0105955	0.0284514	0.0450396	0.0790317	0.121507	0.147133	0.148799	0.129521	0.124042	0.150449
a38	0.00406804	0.00320956	0.00266667	0.00371861	0.0079714	0.0248567	0.0400735	0.0678456	0.0981181	0.118996	0.127871	0.134379	0.154838	0.211388
a4	0.00238509	0.00188452	0.00162444	0.00232146	0.00591593	0.0148008	0.0227426	0.043358	0.0746287	0.107215	0.131702	0.158012	0.175912	0.257498
a13	0.00138416	0.00122079	0.00111977	0.00201475	0.00474474	0.00983687	0.0148908	0.0273134	0.048477	0.0719222	0.0940075	0.148338	0.228414	0.346316
a18	0.0025975	0.00215405	0.00179456	0.00318845	0.00612541	0.00899637	0.0120067	0.0202178	0.0385683	0.067592	0.100014	0.168315	0.244505	0.323925
a53	0.00527368	0.00407625	0.00335502	0.00574113	0.0107538	0.0150873	0.0177128	0.0257821	0.0430484	0.0734762	0.106677	0.168672	0.227252	0.293092
a7	0.000619638	0.000587845	0.000543286	0.00105335	0.00218825	0.00360172	0.0068803	0.0132181	0.0250382	0.0422099	0.0670791	0.148309	0.285792	0.40288
a84	0.00105638	0.000971474	0.000930963	0.00208253	0.00533967	0.00791733	0.0107005	0.018526	0.0322848	0.0547966	0.0825162	0.143594	0.251277	0.388007
a57	0.00600439	0.0043622	0.00348408	0.00615151	0.00885834	0.00929808	0.0101767	0.0162363	0.0269414	0.0507493	0.0871669	0.149521	0.246169	0.374881
a87	0.0722643	0.036744	0.0241791	0.0264453	0.0280519	0.0323301	0.0314124	0.0401241	0.0540157	0.0784758	0.10041	0.122373	0.153384	0.19979
a23	0.202427	0.115798	0.0639658	0.0505662	0.0369355	0.0354538	0.0307971	0.0369465	0.0501648	0.0657757	0.0763391	0.0772461	0.0757555	0.0818284
a87	0.0734726	0.0431086	0.0278278	0.0208699	0.0244844	0.0248668	0.0296326	0.0489275	0.081621	0.109991	0.12027	0.133175	0.131665	0.130088
</S>	0.0198102	0.0113663	0.00771561	0.00796257	0.0157148	0.0255263	0.0269591	0.0441927	0.0630929	0.0821618	0.0956845	0.145134	0.205247	0.249432
