 	monzo	se	bat	à	couper	l'	arbre	obhimbi	</S>
a15	0.168049	0.185028	0.158198	0.149667	0.154173	0.103309	0.0489837	0.022669	0.00992315
a82	0.137712	0.129556	0.114781	0.120223	0.122476	0.142515	0.107879	0.097288	0.0275714
a10	0.470974	0.208561	0.0741108	0.0336261	0.0295222	0.0295305	0.0333794	0.0761238	0.0441721
a87	0.478674	0.232242	0.101454	0.0352744	0.0368472	0.0277248	0.0214566	0.0428787	0.023448
a10	0.449225	0.211861	0.104741	0.0381173	0.043201	0.0402405	0.0300739	0.053125	0.0294154
a87	0.420981	0.18472	0.104265	0.0433409	0.0540361	0.0393818	0.0303612	0.0818247	0.0410889
a10	0.365844	0.168958	0.116814	0.0551122	0.0623388	0.0460737	0.0333665	0.0970642	0.0544282
a83	0.394357	0.17384	0.109583	0.0461224	0.0511995	0.037776	0.0391359	0.0967567	0.0512286
a56	0.353425	0.23679	0.160647	0.0668284	0.0637105	0.0299171	0.0276699	0.0356352	0.0253773
a96	0.36914	0.295232	0.183595	0.0614039	0.0493528	0.0151717	0.00983292	0.00860306	0.00766874
a75	0.256992	0.262261	0.218116	0.111279	0.0839947	0.0248995	0.0154093	0.013542	0.0135075
a93	0.175909	0.203707	0.212564	0.181878	0.143335	0.0455913	0.0188616	0.0098405	0.00831298
a44	0.138666	0.180276	0.223658	0.211962	0.156872	0.0490123	0.0187787	0.0100204	0.0107546
a90	0.0984221	0.143702	0.189918	0.232778	0.193974	0.0819822	0.0309918	0.014298	0.0139344
a25	0.0633686	0.105643	0.154584	0.244139	0.23088	0.111525	0.043537	0.0216988	0.0246231
a92	0.0302652	0.0537168	0.0922114	0.220098	0.247319	0.173757	0.0922926	0.0431173	0.0472224
a85	0.0330414	0.0608701	0.113642	0.226597	0.219497	0.156423	0.0931018	0.0510495	0.0457787
a26	0.0155982	0.0310744	0.0752617	0.194565	0.193556	0.160163	0.130411	0.100648	0.0987228
a75	0.0162431	0.0202636	0.0413189	0.120919	0.131614	0.163739	0.162684	0.139708	0.20351
a85	0.0117758	0.0191233	0.0498825	0.138326	0.141947	0.164055	0.171754	0.148567	0.154569
a37	0.00865885	0.0134171	0.0362665	0.100384	0.110687	0.141283	0.194374	0.194721	0.200208
a98	0.00718898	0.00847075	0.0166176	0.0540269	0.0711981	0.118471	0.184067	0.23834	0.30162
a92	0.00611642	0.006727	0.0161953	0.0408376	0.045738	0.0804687	0.158383	0.277376	0.368158
a25	0.00737867	0.00755301	0.0158417	0.0416589	0.0497406	0.0825273	0.141459	0.283387	0.370454
a44	0.00435288	0.00394705	0.00754685	0.0192303	0.0228333	0.0427428	0.100966	0.299907	0.498474
a57	0.00255297	0.00246138	0.00316393	0.0065036	0.00796882	0.0195413	0.0678514	0.323119	0.566838
a3	0.00887603	0.00967937	0.00672852	0.00826439	0.00918065	0.0262086	0.0997227	0.399115	0.432225
a38	0.0121973	0.0110632	0.008028	0.0104057	0.0112101	0.0344907	0.128447	0.463439	0.320719
a75	0.000888441	0.000909974	0.000950604	0.00175493	0.00242188	0.0100907	0.0548698	0.395799	0.532315
a56	0.00120541	0.000863469	0.00135323	0.00262324	0.0029246	0.00870245	0.039121	0.282085	0.661122
a93	0.000388608	0.000414314	0.000664825	0.00105555	0.00134197	0.00536716	0.0318021	0.255416	0.703549
a70	0.000254858	0.000309015	0.00046883	0.000749587	0.00107456	0.00524997	0.031497	0.252581	0.707815
a62	0.000107282	0.000110053	0.000140648	0.000257958	0.000370188	0.00227113	0.0241252	0.312607	0.660011
a96	0.000151883	0.00016019	0.000235823	0.000500264	0.000707221	0.00391673	0.0309272	0.317358	0.646042
a83	0.000158093	0.000176117	0.00019369	0.000378886	0.000509595	0.00264377	0.0277853	0.31311	0.655044
a9	0.000145644	0.000176522	0.000170805	0.000367377	0.000475866	0.00260084	0.0287497	0.32903	0.638283
a10	0.00447726	0.00439341	0.00353577	0.00429493	0.00366585	0.0112624	0.0560777	0.303237	0.609056
a82	0.0217737	0.0152219	0.0116454	0.011775	0.00835267	0.0214061	0.0630697	0.277258	0.569498
a10	0.0850674	0.0581699	0.0347773	0.0310907	0.021361	0.0370481	0.0748299	0.280598	0.377057
a87	0.137023	0.0794358	0.0405147	0.0332699	0.0274287	0.0499605	0.0808182	0.266089	0.28546
a23	0.119759	0.0858855	0.0427449	0.0384695	0.0343013	0.0536591	0.0789523	0.261357	0.284872
a87	0.0265712	0.0189701	0.012632	0.0158902	0.0124876	0.0267886	0.0505404	0.247772	0.588348
a97	0.0207077	0.0144748	0.012046	0.019327	0.0163001	0.0270185	0.043119	0.211982	0.635025
</S>	0.0504571	0.0371919	0.029596	0.0459888	0.0387703	0.0431333	0.0540952	0.229337	0.47143
