 	le	linge	du	voyageur	est	plié	</S>
a66	0.271212	0.174549	0.203808	0.184474	0.10098	0.0382593	0.0267169
a87	0.447797	0.213444	0.105259	0.0809159	0.0799231	0.0427178	0.0299436
a23	0.619156	0.209519	0.0821597	0.0282086	0.0251625	0.0171574	0.0186369
a50	0.622247	0.211198	0.0692548	0.0235512	0.022999	0.0228869	0.0278634
a83	0.415501	0.240902	0.111083	0.0340663	0.0444876	0.0636467	0.0903135
a71	0.482493	0.186877	0.0763861	0.0313964	0.0575327	0.0829205	0.082394
a75	0.210654	0.157257	0.144725	0.093497	0.129363	0.133516	0.130987
a85	0.0651301	0.0914497	0.13155	0.117152	0.151391	0.218217	0.22511
a6	0.0809951	0.133128	0.247857	0.155	0.123145	0.130278	0.129596
a92	0.107051	0.164055	0.278645	0.159536	0.0964958	0.0881937	0.106024
a47	0.107891	0.160944	0.246693	0.163214	0.0983835	0.0971511	0.125724
a37	0.0705376	0.150712	0.311089	0.200727	0.0972201	0.0748127	0.0949014
a66	0.0447091	0.103781	0.272137	0.252321	0.120055	0.0919447	0.115051
a50	0.0272433	0.0327157	0.113284	0.325362	0.175504	0.138427	0.187464
a88	0.022511	0.0309698	0.0896841	0.323156	0.17578	0.143551	0.214347
a62	0.0123093	0.0134972	0.0425282	0.29136	0.204821	0.184763	0.250721
a61	0.0117519	0.0230459	0.0620605	0.264035	0.219054	0.203028	0.217024
a43	0.00771	0.0123245	0.038345	0.223519	0.216757	0.23641	0.264934
a75	0.00528505	0.007813	0.02213	0.134064	0.19095	0.299447	0.34031
a98	0.00417165	0.00743959	0.010372	0.0583592	0.102135	0.304103	0.513419
a47	0.00275285	0.0045262	0.006486	0.0423506	0.079397	0.318061	0.546426
a36	0.00441368	0.0049924	0.00511556	0.0258164	0.0517849	0.269598	0.638279
a44	0.0106393	0.00801051	0.010029	0.0319474	0.0708699	0.253446	0.615058
a54	0.0028825	0.00272446	0.00380538	0.0181677	0.0481477	0.240173	0.6841
a36	0.000736646	0.00066367	0.00122885	0.0114628	0.0419075	0.288926	0.655074
a2	0.00389725	0.00244137	0.00258272	0.0117559	0.0348796	0.188283	0.75616
a57	0.107862	0.0461142	0.0296567	0.0590788	0.0896012	0.214018	0.453669
a87	0.273983	0.0803397	0.0503331	0.0673156	0.0796586	0.163073	0.285297
a23	0.374175	0.0991831	0.0396868	0.0535088	0.0748156	0.15277	0.205861
a87	0.227943	0.04744	0.0157605	0.0364361	0.0922263	0.246457	0.333737
</S>	0.0534969	0.0131959	0.00674036	0.0275671	0.07149	0.292533	0.534977
