 	le	jardinier	arrose	les	légumes	pour	les	faire	pousser	plus	vite	</S>
a85	0.223229	0.125605	0.106956	0.0865101	0.0701821	0.0541547	0.0463821	0.0424766	0.0355254	0.0545386	0.0625586	0.0918824
a87	0.202865	0.108196	0.127224	0.100673	0.0617088	0.0387427	0.0268426	0.0207738	0.0228286	0.0484341	0.0900827	0.151628
a23	0.265355	0.115222	0.149249	0.109934	0.0721218	0.0653229	0.0471105	0.0298713	0.0244585	0.0270535	0.0401357	0.0541658
a79	0.31466	0.154684	0.110184	0.0511636	0.0344797	0.0196625	0.0135518	0.012641	0.0157617	0.0300852	0.0812778	0.161848
a76	0.538597	0.230417	0.0717448	0.0263963	0.0140438	0.00620699	0.00464612	0.00506502	0.00563309	0.0132319	0.0253845	0.0586328
a94	0.39456	0.226648	0.114284	0.0720593	0.0464456	0.0393991	0.0331848	0.0241622	0.0146213	0.0115215	0.0106731	0.0124411
a32	0.289435	0.221889	0.136197	0.104487	0.0630493	0.054815	0.043082	0.0250425	0.0169102	0.0132758	0.0145955	0.0172217
a54	0.243318	0.220567	0.144445	0.113415	0.0683571	0.0648798	0.0510797	0.027166	0.0181503	0.0140492	0.0157387	0.0188346
a30	0.148076	0.173459	0.149989	0.122909	0.092559	0.0918627	0.0809304	0.0475918	0.0315237	0.0198024	0.0192988	0.0219979
a41	0.133368	0.191053	0.182467	0.144794	0.0922194	0.0860539	0.0666683	0.0342453	0.0230954	0.0142329	0.0142173	0.0175857
a24	0.0738738	0.139685	0.181871	0.148796	0.112205	0.10869	0.0802143	0.0492822	0.0354986	0.0234478	0.021557	0.0248795
a30	0.0404126	0.081817	0.156193	0.162075	0.136745	0.142311	0.112207	0.0655185	0.0395815	0.0229043	0.0190984	0.0211362
a41	0.0403803	0.0735642	0.180318	0.191074	0.144968	0.130512	0.0887707	0.0484888	0.0337542	0.0203912	0.0205928	0.027186
a2	0.0305951	0.0507742	0.141624	0.170772	0.155971	0.146918	0.106008	0.0639664	0.0446115	0.0284382	0.0267086	0.0336135
a40	0.0146973	0.0243877	0.0955662	0.151433	0.178007	0.170954	0.131111	0.0680241	0.040407	0.029552	0.0391387	0.0567222
a41	0.0255127	0.0388631	0.0881935	0.116616	0.120295	0.126178	0.103693	0.0794463	0.0757485	0.0665222	0.0696762	0.0892565
a36	0.0243055	0.0447892	0.123162	0.16012	0.144488	0.137519	0.0978589	0.0664713	0.0570489	0.0472431	0.0445349	0.0524585
a73	0.0230421	0.0311248	0.0831504	0.132592	0.145156	0.138758	0.0996287	0.0689169	0.061549	0.0570112	0.066339	0.0927324
