 	notre	maison	est	situé	au	bout	du	village	</S>
a66	0.373539	0.214686	0.129839	0.0790344	0.0537463	0.0547258	0.039659	0.0286631	0.0261073
a38	0.409511	0.190793	0.135699	0.107927	0.0861141	0.0340857	0.0134109	0.00964151	0.0128188
a83	0.368644	0.254608	0.164763	0.112547	0.0342891	0.0158981	0.0113228	0.0148449	0.0230836
a21	0.395902	0.276345	0.187954	0.097364	0.0215815	0.00660373	0.00332034	0.00457052	0.00635931
a5	0.25187	0.258734	0.207164	0.123021	0.0798602	0.0399523	0.0174198	0.0116181	0.0103614
a43	0.107501	0.166841	0.227272	0.241694	0.139549	0.0564111	0.025676	0.0192632	0.0157925
a21	0.110548	0.155241	0.215323	0.285673	0.132537	0.0479903	0.0195707	0.0174383	0.0156796
a12	0.0733109	0.124338	0.20556	0.281828	0.198862	0.067544	0.0203831	0.0160072	0.0121664
a62	0.0660051	0.112403	0.162792	0.232706	0.243172	0.094272	0.0299414	0.0299157	0.0287929
a31	0.0767924	0.127105	0.157242	0.179014	0.166382	0.0998812	0.0574047	0.0660321	0.0701471
a0	0.055625	0.0836227	0.101364	0.120495	0.166366	0.153608	0.116694	0.107271	0.0949537
a11	0.0174444	0.0260728	0.039147	0.0615813	0.13455	0.1784	0.178768	0.195281	0.168756
a93	0.00995764	0.0124274	0.0146068	0.0217381	0.0585181	0.125764	0.195773	0.281977	0.279238
a75	0.0078266	0.0074702	0.00755992	0.011135	0.0361941	0.0909264	0.164388	0.308042	0.366457
a79	0.00023917	0.0003449	0.00052456	0.00109383	0.00765265	0.0305338	0.12373	0.357909	0.477972
a7	8.10244e-05	0.000104991	0.000158119	0.000386971	0.00338338	0.0163559	0.086415	0.373575	0.519539
a4	0.000310838	0.000173297	0.000146504	0.000246833	0.00208361	0.0116132	0.0760771	0.353173	0.556175
a57	0.00174865	0.00100756	0.000793473	0.000935258	0.00863238	0.0368801	0.126654	0.296493	0.526856
a82	0.0115229	0.00631641	0.00494754	0.0053435	0.0156263	0.0314876	0.104728	0.302858	0.51717
a10	0.175088	0.101424	0.06253	0.0489914	0.0408284	0.0445262	0.0757274	0.163113	0.287771
a87	0.289603	0.214387	0.143285	0.109752	0.0681831	0.045205	0.0395066	0.0421481	0.0479304
a23	0.245657	0.176771	0.131983	0.112014	0.081176	0.0596494	0.0543917	0.0686588	0.0696994
a99	0.0176004	0.0107538	0.00835913	0.0106583	0.0222472	0.0440886	0.133722	0.363535	0.389036
a97	0.0125204	0.00882816	0.00919397	0.0146603	0.033577	0.0701045	0.163488	0.320668	0.36696
</S>	0.00458826	0.00344217	0.00396992	0.00727387	0.0313148	0.0777849	0.16041	0.315947	0.39527
