 	c'	est	un	homme	d'	une	grande	bonté	</S>
a23	0.268374	0.189727	0.0918787	0.0711423	0.0708615	0.0717137	0.0654748	0.0838156	0.0870127
a87	0.260115	0.154468	0.1008	0.0872125	0.0761779	0.0779051	0.0783865	0.0745038	0.0904318
a23	0.264577	0.177081	0.132605	0.112089	0.0838083	0.0668536	0.0535638	0.0473403	0.0620827
a20	0.225511	0.167815	0.113634	0.096031	0.0801039	0.0640246	0.0573807	0.080513	0.114987
a30	0.269871	0.192341	0.12466	0.0939779	0.0858863	0.0603984	0.0559787	0.060583	0.0563028
a26	0.353856	0.273136	0.18978	0.0947909	0.0452112	0.018856	0.0103132	0.00714366	0.00691322
a35	0.281446	0.233179	0.175578	0.10707	0.0754726	0.0453121	0.0303631	0.0252066	0.0263717
a94	0.304603	0.239299	0.197174	0.116905	0.0633634	0.0322409	0.0191061	0.0135074	0.0138008
a90	0.263861	0.220096	0.181383	0.122647	0.0819614	0.051072	0.0334055	0.0227221	0.0228514
a76	0.221881	0.204191	0.183896	0.13824	0.0946592	0.0638824	0.0426211	0.0255608	0.025068
a94	0.255452	0.200605	0.161425	0.114532	0.0827706	0.0630569	0.0514317	0.0362015	0.0345246
a58	0.155979	0.123234	0.101041	0.092816	0.111459	0.120599	0.114501	0.0890644	0.091306
a10	0.0640965	0.0568336	0.0569684	0.057604	0.0879746	0.123245	0.164157	0.175917	0.213204
a75	0.0291956	0.0261769	0.0276038	0.0292922	0.0453787	0.0810802	0.156871	0.245681	0.358721
a41	0.0321714	0.0271745	0.0250633	0.0304257	0.0657381	0.123622	0.201764	0.231023	0.263018
a76	0.014857	0.0129061	0.0127618	0.0197614	0.0501872	0.113056	0.209389	0.273921	0.29316
a41	0.0156641	0.013352	0.0141077	0.0211837	0.0550682	0.130241	0.22926	0.261671	0.259453
a35	0.0115322	0.00992239	0.0102486	0.0162534	0.0435087	0.107707	0.208686	0.294061	0.29808
a75	0.00804058	0.00649665	0.00613474	0.00867284	0.0213949	0.0563873	0.148004	0.312295	0.432574
a41	0.006782	0.00530153	0.00505235	0.00776536	0.0216856	0.0607035	0.155859	0.314393	0.422458
a35	0.00502924	0.00422093	0.00422777	0.00753704	0.021746	0.0652015	0.171507	0.324118	0.396413
a24	0.00472656	0.00384696	0.00385455	0.00687282	0.0198271	0.0569339	0.15	0.307367	0.446571
a25	0.00419724	0.00331299	0.00326839	0.00540255	0.0125481	0.0383048	0.109737	0.288073	0.535156
a87	0.00274025	0.00191924	0.00192028	0.00366606	0.00952529	0.0321268	0.10557	0.284731	0.557802
</S>	0.00830675	0.00574862	0.00551799	0.00878373	0.0179941	0.0469008	0.120512	0.266777	0.519459
