 	qui	a	monté	sur	ce	safoutier	</S>
a87	0.404149	0.289644	0.105841	0.0643984	0.0664876	0.0391185	0.0303617
a23	0.448956	0.268984	0.155962	0.0609641	0.035389	0.0163834	0.0133608
a30	0.317462	0.219711	0.201579	0.102196	0.0657221	0.0461639	0.047165
a93	0.292825	0.210497	0.205549	0.0858501	0.0606986	0.0614861	0.0830936
a34	0.286925	0.320323	0.27738	0.0497203	0.0274608	0.0201014	0.0180896
a61	0.208947	0.292339	0.296729	0.0905977	0.0518908	0.0333373	0.0261588
a47	0.177601	0.277874	0.254187	0.112631	0.0814557	0.055651	0.0406004
a75	0.142086	0.234811	0.26911	0.136633	0.104019	0.0642551	0.0490854
a92	0.138545	0.189812	0.239189	0.148643	0.122341	0.0904521	0.0710184
a56	0.155215	0.183715	0.183914	0.150049	0.128916	0.106301	0.0918902
a75	0.0861415	0.107234	0.149414	0.193492	0.189282	0.148118	0.126319
a85	0.0655326	0.0750617	0.0834322	0.158065	0.190714	0.215875	0.21132
a47	0.0735961	0.0833905	0.0981646	0.14833	0.173708	0.205391	0.21742
a98	0.0949943	0.0898975	0.0934369	0.124255	0.171551	0.201229	0.224636
a92	0.0445676	0.0371681	0.0364832	0.0885247	0.162333	0.278002	0.352921
a56	0.0436095	0.0371579	0.0453352	0.085494	0.15279	0.270278	0.365336
a61	0.0276233	0.0237035	0.0362165	0.0823233	0.168912	0.294206	0.367015
a88	0.0155123	0.0131098	0.0233397	0.0612745	0.141095	0.326421	0.419248
a18	0.00543348	0.0047315	0.00963467	0.0329804	0.0892203	0.311102	0.546897
a27	0.00587566	0.00421364	0.00852179	0.0233772	0.0622013	0.242143	0.653667
a10	0.0232742	0.0129461	0.0110308	0.0196137	0.0569036	0.255391	0.62084
a87	0.0796276	0.0350097	0.0276214	0.0401773	0.0930064	0.26707	0.457487
a23	0.261594	0.168248	0.124047	0.0793188	0.117869	0.131867	0.117054
a87	0.113804	0.0924713	0.109463	0.114657	0.18042	0.207469	0.181716
</S>	0.0500047	0.0435083	0.0650666	0.09177	0.132644	0.285334	0.331673
