 	je	ne	bougerai	pas	d'	ici	</S>
a23	0.385197	0.192504	0.138984	0.1088	0.0891085	0.0487554	0.0366506
a87	0.489226	0.21915	0.159071	0.0717546	0.033743	0.0149852	0.0120705
a23	0.349068	0.270024	0.179106	0.0737347	0.0545075	0.0368481	0.0367114
a83	0.41954	0.286104	0.203782	0.0573464	0.0157946	0.00778389	0.00964868
a38	0.442845	0.285117	0.174731	0.0707705	0.0168478	0.00621637	0.00347267
a26	0.363507	0.309784	0.227717	0.0689966	0.0181612	0.00698596	0.00484888
a24	0.300069	0.262692	0.186537	0.125652	0.06436	0.0324645	0.0282255
a26	0.321701	0.284687	0.192825	0.107393	0.050397	0.0235227	0.0194752
a24	0.242475	0.243018	0.206498	0.144945	0.0676276	0.0412249	0.0542115
a35	0.208793	0.238333	0.233195	0.140547	0.069399	0.049373	0.0603602
a41	0.113636	0.158316	0.210453	0.208762	0.118706	0.0891971	0.10093
a44	0.124916	0.153699	0.235947	0.210792	0.116677	0.0817821	0.0761868
a26	0.0763198	0.0980743	0.166611	0.26174	0.157203	0.116733	0.123318
a75	0.0608923	0.0753608	0.134327	0.239026	0.195409	0.1539	0.141085
a35	0.0346426	0.0333089	0.0499181	0.096736	0.190841	0.278981	0.315572
a41	0.0299085	0.0224153	0.031503	0.0542763	0.164562	0.305793	0.391541
a27	0.016063	0.00976336	0.0129396	0.0324833	0.152463	0.353421	0.422867
a40	0.0144423	0.0110946	0.0133268	0.0189712	0.0643431	0.225319	0.652503
a14	0.0148942	0.00781111	0.00794019	0.014754	0.0744496	0.268246	0.611905
a30	0.0184894	0.00986001	0.00956444	0.0254597	0.123317	0.327545	0.485764
a2	0.0133945	0.00741339	0.00838402	0.0188193	0.0613821	0.213073	0.677534
a57	0.013436	0.00719445	0.006633	0.0169121	0.0537797	0.191729	0.710316
a87	0.0216038	0.0164166	0.0186655	0.0387279	0.0804258	0.220209	0.603952
</S>	0.0118486	0.0118971	0.0222332	0.0397592	0.0988522	0.260015	0.555395
