 	il	range	les	maniocs	dans	la	hotte	</S>
a66	0.399676	0.217853	0.0953899	0.0873992	0.070991	0.0509401	0.0420822	0.0356684
a87	0.23296	0.175271	0.143061	0.117186	0.0983471	0.0756121	0.0769729	0.0805901
a23	0.527081	0.250704	0.0786407	0.0468484	0.0311396	0.0215882	0.020176	0.0238213
a79	0.331005	0.246519	0.12557	0.082528	0.0619525	0.0461567	0.0469195	0.0593493
a54	0.230471	0.243908	0.184667	0.113399	0.070307	0.0510812	0.0463515	0.0598152
a47	0.280408	0.315669	0.190483	0.0904508	0.0498646	0.0298911	0.0217158	0.0215178
a15	0.179668	0.398289	0.233498	0.096481	0.0433545	0.0224997	0.0136812	0.0125289
a44	0.165352	0.388679	0.231137	0.119133	0.0527967	0.0230176	0.0112439	0.00863992
a24	0.195441	0.375411	0.233456	0.0940454	0.0430396	0.0233483	0.0180572	0.0172012
a31	0.189949	0.251034	0.229991	0.133581	0.0771272	0.0475669	0.0363613	0.0343892
a88	0.174202	0.189173	0.195455	0.167151	0.106318	0.0665238	0.0511069	0.0500706
a26	0.108943	0.109696	0.135486	0.199531	0.175122	0.113231	0.0798993	0.0780924
a76	0.10628	0.127731	0.104096	0.114738	0.135323	0.127215	0.126535	0.158081
a98	0.0398847	0.0491847	0.0966183	0.180723	0.198808	0.173293	0.138482	0.123007
a15	0.0147251	0.0227692	0.0651456	0.162607	0.202815	0.193223	0.175951	0.162765
a0	0.00890571	0.0107632	0.0310726	0.0809199	0.14185	0.194939	0.258614	0.272935
a75	0.00579991	0.00668573	0.0155477	0.042271	0.0891807	0.170895	0.301631	0.367989
a92	0.0022517	0.00249924	0.00637572	0.02258	0.0654446	0.173865	0.340209	0.386774
a56	0.00122416	0.00129505	0.00451751	0.0162303	0.0483269	0.138057	0.334268	0.456081
a54	0.00196012	0.00175819	0.00448669	0.0146303	0.047091	0.144163	0.358618	0.427292
a7	0.000920065	0.00110856	0.00345199	0.0100439	0.0304312	0.0984496	0.333504	0.522091
a26	0.00156529	0.00231576	0.00516812	0.0107968	0.0255206	0.0707211	0.268451	0.615462
a57	0.0234749	0.0243441	0.0284502	0.0462201	0.0601695	0.0991393	0.251505	0.466697
a87	0.222345	0.145035	0.0697109	0.0786913	0.0767627	0.0902851	0.132554	0.184617
a23	0.39398	0.266434	0.0682378	0.0685498	0.052588	0.0466684	0.0497872	0.0537548
a87	0.0716145	0.0403026	0.0420795	0.0922948	0.121071	0.160024	0.241889	0.230725
</S>	0.0250576	0.0243999	0.0301712	0.0634809	0.101898	0.174699	0.271684	0.308609
