 	il	lui	a	donné	des	médicaments	</S>
a23	0.223047	0.186266	0.203753	0.18318	0.111866	0.0570929	0.0347953
a87	0.183869	0.169234	0.188991	0.194129	0.09784	0.0843371	0.0815995
a23	0.179075	0.159666	0.176953	0.204662	0.115342	0.0826884	0.081613
a30	0.143201	0.152285	0.211244	0.224884	0.112249	0.0865496	0.0695888
a53	0.324333	0.250243	0.194622	0.135432	0.0501062	0.0240414	0.0212231
a20	0.325682	0.249026	0.193994	0.14618	0.0538943	0.0187288	0.0124952
a30	0.297419	0.237359	0.200602	0.158801	0.0693033	0.0236984	0.0128171
a57	0.280809	0.230162	0.198794	0.155896	0.0888371	0.0318098	0.0136918
a40	0.16364	0.173182	0.194306	0.166178	0.152999	0.0947166	0.0549783
a30	0.253919	0.231021	0.200973	0.138455	0.0922889	0.0505691	0.0327738
a57	0.258216	0.231461	0.193662	0.144382	0.0971836	0.0511297	0.0239653
a79	0.1793	0.169211	0.178939	0.155573	0.144511	0.113541	0.0589235
a41	0.15164	0.177681	0.203444	0.161243	0.142752	0.105736	0.0575029
a73	0.173793	0.174711	0.169886	0.14624	0.147233	0.117951	0.0701862
a69	0.0845729	0.0947384	0.125216	0.145384	0.194513	0.220174	0.135402
a20	0.0661928	0.0715637	0.0915097	0.121173	0.196845	0.251011	0.201705
a30	0.0475456	0.0518464	0.0694421	0.101746	0.177342	0.278878	0.2732
a35	0.013281	0.017852	0.0343117	0.0593567	0.148313	0.346428	0.380458
a70	0.00964292	0.0111027	0.0198755	0.0351057	0.101911	0.320631	0.501731
a54	0.00748116	0.00853696	0.0147385	0.0294643	0.0855828	0.284359	0.569838
a14	0.0167603	0.019365	0.0312038	0.052298	0.102832	0.255666	0.521876
a41	0.00923186	0.0097362	0.0156755	0.0308958	0.0811551	0.271278	0.582027
a24	0.0135861	0.0130886	0.0176276	0.0278874	0.0711485	0.261922	0.59474
a21	0.00767844	0.00701157	0.00899677	0.0153914	0.0452927	0.247733	0.667896
a47	0.00501184	0.00526519	0.00751059	0.0138618	0.0498811	0.236033	0.682437
a98	0.00469058	0.00452652	0.00641662	0.0129189	0.0427616	0.231505	0.697181
a25	0.00601379	0.0062111	0.00966282	0.0187333	0.0506266	0.242935	0.665817
a87	0.0129492	0.0148604	0.0235015	0.0338725	0.0610576	0.229816	0.623943
a23	0.0379498	0.0391467	0.0486569	0.0699365	0.109803	0.237415	0.457092
a87	0.0580958	0.0630279	0.0745499	0.10366	0.146177	0.219884	0.334606
</S>	0.0645885	0.0627157	0.075533	0.132195	0.194493	0.220962	0.249512
