 	cet	enfant	ne	respecte	pas	ses	parents	</S>
a15	0.327299	0.161663	0.157291	0.150497	0.114014	0.051458	0.0232336	0.0145439
a82	0.139669	0.163993	0.178728	0.154029	0.121963	0.088614	0.0792373	0.0737672
a10	0.591068	0.155411	0.0623533	0.0326633	0.0226708	0.0277604	0.0437464	0.0643274
a38	0.620041	0.189972	0.0606235	0.0289607	0.0197962	0.019762	0.026439	0.0344047
a98	0.620265	0.184435	0.0634287	0.0363818	0.0269818	0.0230961	0.0225421	0.0228695
a85	0.375106	0.179757	0.0882177	0.0578218	0.0678413	0.0636819	0.0737738	0.093801
a98	0.271085	0.266709	0.194911	0.0660623	0.0587682	0.0450568	0.0433976	0.0540103
a85	0.230492	0.274665	0.206473	0.0700719	0.0688391	0.0477295	0.042917	0.0588121
a37	0.197346	0.232494	0.205966	0.0872083	0.0825935	0.0611749	0.0535571	0.0796597
a31	0.256507	0.246419	0.222608	0.0834134	0.0655824	0.0455588	0.0348435	0.0450689
a66	0.173907	0.23221	0.247593	0.117013	0.0770852	0.0509164	0.0417605	0.0595147
a90	0.0898597	0.140336	0.222239	0.174621	0.119608	0.0890566	0.0680103	0.0962695
a92	0.101438	0.176532	0.232775	0.144321	0.117025	0.0780591	0.0614672	0.0883824
a25	0.0647411	0.0975765	0.165049	0.158677	0.14919	0.129701	0.102289	0.132777
a69	0.0197751	0.0366414	0.0906446	0.16039	0.176222	0.177345	0.142441	0.19654
a58	0.0126922	0.018328	0.0431665	0.132465	0.147969	0.185119	0.172479	0.287782
a75	0.0113531	0.0114192	0.0195873	0.0647437	0.0642921	0.125387	0.207687	0.49553
a6	0.00472756	0.00704995	0.0164042	0.0796204	0.0987908	0.192925	0.226447	0.374035
a37	0.00289658	0.00466803	0.0111159	0.057831	0.0733596	0.173362	0.242205	0.434562
a75	0.00181555	0.00226729	0.00417976	0.0215356	0.0327921	0.121248	0.271184	0.544977
a41	0.00179872	0.00254112	0.0058517	0.0291918	0.0385405	0.122176	0.270203	0.529697
a27	0.0020054	0.00287212	0.00575996	0.0229524	0.0321139	0.101125	0.279547	0.553624
a40	0.00534092	0.00555779	0.00651742	0.0212725	0.0258393	0.0779645	0.258705	0.598802
a47	0.00163662	0.00185834	0.0028468	0.00977052	0.015211	0.0633941	0.263518	0.641764
a36	0.00106528	0.00128535	0.00191026	0.00799416	0.0121345	0.0555875	0.26899	0.651033
a2	0.00578397	0.00577345	0.00741659	0.0274152	0.0427791	0.11802	0.29048	0.502332
a57	0.118926	0.0758229	0.0663021	0.128821	0.113817	0.12534	0.158119	0.212852
a10	0.296176	0.170682	0.0737536	0.0960023	0.06269	0.0706776	0.0990338	0.130985
a87	0.307886	0.154763	0.0628321	0.0738435	0.0582191	0.0738913	0.112061	0.156504
a23	0.170711	0.104726	0.0671311	0.136519	0.105225	0.119443	0.135731	0.160514
a87	0.0788232	0.0562339	0.032776	0.0752798	0.0687215	0.112567	0.205761	0.369838
a97	0.0385108	0.0344225	0.0261465	0.0436808	0.0516693	0.0838506	0.195206	0.526513
</S>	0.118782	0.105487	0.0737557	0.0691591	0.065253	0.0781766	0.14091	0.348476
