 	où	avez-vous	les	rencontrés	</S>
a66	0.521184	0.308562	0.094763	0.0450663	0.0304245
a87	0.661429	0.28028	0.0445233	0.0090544	0.00471292
a23	0.643203	0.26411	0.0546709	0.0223235	0.0156922
a97	0.448925	0.344021	0.0858051	0.0495138	0.071735
a62	0.523249	0.317826	0.0691971	0.0398622	0.0498651
a31	0.598395	0.276558	0.0543832	0.0359783	0.0346848
a5	0.43317	0.448853	0.0876301	0.0198506	0.0104967
a12	0.296138	0.536316	0.127074	0.025554	0.0149179
a18	0.257108	0.500989	0.172687	0.0436893	0.0255265
a21	0.104273	0.291485	0.228566	0.198465	0.177211
a85	0.135451	0.359518	0.273825	0.147186	0.0840203
a6	0.0587807	0.219677	0.213793	0.240149	0.267599
a37	0.0411696	0.0919659	0.168644	0.350723	0.347497
a98	0.0320307	0.0525991	0.14033	0.358305	0.416735
a47	0.00612809	0.0226928	0.114017	0.440944	0.416218
a15	0.000558769	0.00172603	0.0158898	0.319736	0.66209
a79	0.000491474	0.00106355	0.00927803	0.253581	0.735585
a44	0.000582892	0.000884177	0.00856573	0.187021	0.802946
a4	0.00340039	0.00391907	0.019643	0.176684	0.796354
a57	0.00860464	0.00970249	0.0422679	0.207311	0.732114
a38	0.0151754	0.0128619	0.0423775	0.254118	0.675467
a71	0.0227635	0.0250196	0.0690464	0.282502	0.600669
a9	0.0685607	0.0457851	0.102255	0.281125	0.502274
a10	0.379931	0.159858	0.148815	0.149051	0.162345
a87	0.405303	0.167118	0.119073	0.129395	0.17911
a23	0.311927	0.157033	0.123785	0.159788	0.247468
a87	0.0926733	0.0394908	0.0597598	0.193788	0.614288
</S>	0.0195264	0.0198027	0.0413353	0.219711	0.699625
