 	ils	se	sont	brouillés	</S>
a23	0.413174	0.183941	0.12106	0.127602	0.154223
a54	0.436017	0.223531	0.138708	0.0960203	0.105723
a73	0.373051	0.189049	0.133792	0.142235	0.161874
a44	0.447667	0.2666	0.132463	0.0874898	0.0657801
a90	0.44133	0.303739	0.13634	0.0652246	0.0533664
a25	0.285837	0.255789	0.198447	0.135783	0.124145
a7	0.34151	0.258293	0.197591	0.116855	0.0857516
a11	0.264426	0.254491	0.234528	0.141015	0.10554
a90	0.126707	0.173643	0.252264	0.233167	0.21422
a25	0.139698	0.193392	0.279167	0.219964	0.16778
a44	0.0811995	0.123692	0.249144	0.296198	0.249766
a11	0.0595156	0.0832777	0.215202	0.331989	0.310015
a75	0.035003	0.0500317	0.13931	0.315046	0.460609
a36	0.019434	0.0306943	0.104261	0.322681	0.52293
a2	0.0145811	0.0205627	0.0610367	0.249111	0.654709
a57	0.0132975	0.0192819	0.0514759	0.202427	0.713518
a10	0.0919219	0.0794387	0.12426	0.207457	0.496923
a87	0.170708	0.124634	0.155555	0.205596	0.343507
a10	0.140451	0.12	0.171098	0.239558	0.328893
a87	0.0910433	0.0931148	0.166057	0.307062	0.342723
a10	0.0739959	0.0718714	0.139364	0.302986	0.411783
a87	0.0744415	0.069401	0.119349	0.270157	0.466652
</S>	0.0679468	0.0634864	0.11281	0.274167	0.481589
