 	il	va	fréquemment	chez	le	chef	coutumier	</S>
a66	0.387159	0.29555	0.185713	0.0601964	0.0344308	0.0190772	0.00901226	0.00886187
a87	0.503772	0.315773	0.116952	0.0237772	0.015399	0.0121339	0.00535182	0.00684103
a23	0.439454	0.293095	0.100972	0.0350439	0.0270811	0.0472052	0.0291213	0.0280271
a20	0.400125	0.252637	0.101654	0.0321902	0.0219465	0.0498275	0.0408217	0.100798
a54	0.45417	0.249594	0.129102	0.0470536	0.0260263	0.0299344	0.0266377	0.0374824
a47	0.393687	0.26604	0.180745	0.0686737	0.034565	0.0234985	0.0153951	0.0173955
a36	0.190213	0.172495	0.191377	0.133698	0.105817	0.0746675	0.0690034	0.0627288
a98	0.142399	0.141555	0.180151	0.160648	0.150815	0.087111	0.0764694	0.0608506
a47	0.0823924	0.129079	0.281966	0.236698	0.146306	0.0537851	0.0428868	0.0268865
a15	0.0739195	0.119732	0.253896	0.178584	0.136628	0.0809393	0.0931491	0.0631523
a7	0.0727051	0.109438	0.259032	0.228412	0.136914	0.0698271	0.0759901	0.0476824
a15	0.051394	0.0673514	0.110801	0.123246	0.122366	0.162606	0.200168	0.162066
a7	0.0414894	0.0489575	0.0835665	0.1126	0.128126	0.158677	0.201749	0.224835
a79	0.0194994	0.0177747	0.0270229	0.0523277	0.0943287	0.208944	0.300693	0.27941
a92	0.0209916	0.0218001	0.0349715	0.0644632	0.0942656	0.199552	0.294384	0.269572
a21	0.00606616	0.00606497	0.0101179	0.022778	0.0509432	0.183375	0.308808	0.411846
a12	0.00244318	0.00258842	0.00377925	0.00972101	0.0332984	0.14425	0.306803	0.497117
a43	0.00173652	0.00168551	0.00205528	0.0053501	0.0160788	0.0852314	0.271979	0.615884
a31	0.00169197	0.00166916	0.00231824	0.00644614	0.018997	0.100416	0.272893	0.595568
a0	0.00139369	0.00132482	0.00207909	0.00609872	0.0192094	0.0952375	0.257219	0.617438
a24	0.00309172	0.00204178	0.00165789	0.00489475	0.0216294	0.107548	0.232936	0.6262
a88	0.00586103	0.00414725	0.00315949	0.00845373	0.0341375	0.119917	0.246107	0.578217
a9	0.00894198	0.00607325	0.00438326	0.0113567	0.0347438	0.098272	0.221128	0.615102
a87	0.183613	0.111169	0.0687301	0.0897593	0.0865296	0.0912307	0.135253	0.233715
a23	0.341655	0.219287	0.10597	0.0853135	0.0662073	0.059562	0.0574829	0.0645229
a87	0.09697	0.0767149	0.0529243	0.0507278	0.0613256	0.157158	0.216643	0.287536
</S>	0.00995956	0.0100349	0.0113166	0.0183534	0.0352965	0.159171	0.321291	0.434577
