 	ça	sent	le	brûlé	</S>
a23	0.439616	0.208278	0.119213	0.11833	0.114562
a75	0.366687	0.234232	0.207976	0.109541	0.0815641
a12	0.482331	0.230384	0.133818	0.0793387	0.074128
a61	0.679185	0.222838	0.0614766	0.0234166	0.0130842
a75	0.665864	0.25897	0.0538744	0.013896	0.0073951
a85	0.577191	0.253365	0.0975813	0.0424049	0.0294578
a37	0.508831	0.26975	0.115716	0.0622923	0.0434102
a27	0.399185	0.325704	0.152361	0.0753302	0.0474193
a75	0.131034	0.186078	0.252553	0.234851	0.195484
a34	0.109949	0.190497	0.264826	0.249785	0.184943
a75	0.0924974	0.156827	0.267503	0.29821	0.184963
a31	0.057857	0.12677	0.234263	0.317607	0.263502
a83	0.0314649	0.0682354	0.156801	0.344134	0.399364
a34	0.0198085	0.044713	0.118812	0.305211	0.511456
a56	0.0107557	0.0277408	0.097768	0.278831	0.584904
a34	0.00996603	0.0297389	0.109532	0.245021	0.605741
a75	0.00407247	0.0151457	0.0730656	0.203067	0.704649
a47	0.00965783	0.0282932	0.110466	0.232894	0.618689
a2	0.0114207	0.0375933	0.115029	0.214033	0.621924
a57	0.0036949	0.0115646	0.0821545	0.230704	0.671883
a87	0.0708007	0.0689756	0.114331	0.217943	0.527949
a23	0.233062	0.0997772	0.114596	0.206511	0.346055
a87	0.160852	0.116016	0.145505	0.218277	0.35935
</S>	0.040715	0.038698	0.10445	0.261439	0.554698
