 	un	vent	violent	souffle	dans	le	village	</S>
a66	0.454093	0.22807	0.0808895	0.0309825	0.0374133	0.0579524	0.0555264	0.0550729
a87	0.588298	0.256032	0.057033	0.0426659	0.0200624	0.0134417	0.0106294	0.0118378
a23	0.492267	0.279861	0.104884	0.0530374	0.0196244	0.0172705	0.0156736	0.0173822
a13	0.339502	0.229304	0.110529	0.114179	0.0393231	0.0379726	0.0523014	0.0768885
a4	0.371099	0.278672	0.133029	0.0675394	0.0311633	0.0325702	0.0324801	0.0534463
a11	0.462377	0.3568	0.115122	0.0264392	0.0145212	0.00973385	0.00740322	0.00760293
a24	0.263749	0.331008	0.276213	0.0805589	0.0203829	0.0102521	0.00903777	0.00879848
a62	0.129645	0.173889	0.319314	0.272335	0.0565606	0.0210122	0.0144446	0.0127989
a88	0.0804488	0.141037	0.301526	0.3285	0.095944	0.032048	0.0123451	0.00815101
a43	0.0458772	0.0812448	0.224014	0.369798	0.175465	0.0648173	0.0236077	0.0151764
a94	0.0477525	0.0636669	0.159999	0.285902	0.232993	0.120697	0.0532626	0.035727
a90	0.078298	0.0695486	0.123388	0.164255	0.216223	0.169747	0.103804	0.0747362
a79	0.0461978	0.0422083	0.081092	0.11505	0.195079	0.207263	0.183729	0.12938
a0	0.0152815	0.012085	0.0257996	0.048192	0.130674	0.241371	0.28786	0.238737
a25	0.00444494	0.00347653	0.00367041	0.0112036	0.0639417	0.225014	0.360952	0.327297
a7	0.000646838	0.000631274	0.000722144	0.00290703	0.0173733	0.131404	0.412352	0.433963
a4	0.000836232	0.00100907	0.000976583	0.00352831	0.0208583	0.0968911	0.332357	0.543544
a57	0.000724177	0.00108533	0.00112784	0.00257915	0.020906	0.100195	0.334292	0.539091
a82	0.000980796	0.00156984	0.00108368	0.00171984	0.0133166	0.081905	0.294378	0.605046
a87	0.0475347	0.0252385	0.0150281	0.0189145	0.0421326	0.112708	0.290212	0.448232
a23	0.488678	0.169199	0.0538737	0.0378571	0.0380245	0.0521806	0.0792075	0.080979
a87	0.112177	0.0690574	0.0353106	0.0460468	0.0844898	0.16735	0.263401	0.222168
</S>	0.0140932	0.0189853	0.0204839	0.0448708	0.070296	0.161934	0.327237	0.342101
