 	ce	garçon	trompe	ma	soeur	</S>
a66	0.417057	0.315275	0.161036	0.0549123	0.027917	0.0238026
a10	0.314927	0.306657	0.176365	0.0841735	0.0574553	0.0604228
a87	0.453563	0.257906	0.147947	0.0563604	0.0375029	0.0467214
a10	0.399751	0.243793	0.175623	0.0747501	0.050209	0.0558734
a87	0.343874	0.223418	0.216222	0.0989361	0.0609316	0.0566191
a97	0.296084	0.235947	0.235014	0.109511	0.0649845	0.0584589
a79	0.286706	0.21729	0.229827	0.124486	0.0769607	0.0647307
a98	0.300054	0.249819	0.234519	0.112317	0.055946	0.0473448
a85	0.317777	0.325687	0.233268	0.0691849	0.0286652	0.0254178
a75	0.274137	0.253123	0.230069	0.116271	0.0661796	0.0602199
a61	0.303983	0.288764	0.260543	0.0848327	0.0356432	0.0262336
a98	0.347574	0.317685	0.222	0.0600035	0.0292345	0.0235032
a73	0.29741	0.306628	0.180808	0.0936002	0.067103	0.0544516
a79	0.181756	0.217377	0.161496	0.134113	0.152696	0.152561
a25	0.158643	0.172588	0.174189	0.157774	0.174267	0.162538
a98	0.0850347	0.140816	0.168406	0.185526	0.207206	0.213012
a15	0.0342034	0.0596877	0.127398	0.200838	0.284911	0.292962
a79	0.0164563	0.0334779	0.109457	0.201969	0.290561	0.348079
a15	0.00654582	0.013673	0.0592078	0.187043	0.325701	0.407829
a79	0.00203419	0.00600709	0.036439	0.158962	0.328103	0.468454
a98	0.00185898	0.00538436	0.0298365	0.146384	0.336248	0.480288
a15	0.000893731	0.00308476	0.01814	0.108296	0.31935	0.550235
a7	0.000734003	0.0025722	0.0114287	0.0692002	0.266369	0.649696
a44	0.00124219	0.00346731	0.0106757	0.0512257	0.23067	0.702718
a94	0.00242413	0.00658945	0.0187055	0.071267	0.245771	0.655243
a26	0.00295601	0.0099094	0.0266609	0.090553	0.269589	0.600332
a82	0.0211099	0.034271	0.0537643	0.102066	0.258998	0.529791
a97	0.0865845	0.0569709	0.0729076	0.117031	0.227012	0.439494
a87	0.213563	0.12252	0.110915	0.107207	0.160835	0.28496
a97	0.0925642	0.0615193	0.0720852	0.118419	0.240075	0.415337
a87	0.0658299	0.0570637	0.0874861	0.129438	0.243991	0.416191
a97	0.0445524	0.0371917	0.0709313	0.129469	0.255678	0.462177
a99	0.0685969	0.0686732	0.137549	0.155732	0.223798	0.34565
a97	0.0492518	0.0684609	0.127376	0.14993	0.229051	0.375931
</S>	0.0876143	0.0993097	0.153776	0.163221	0.20523	0.290849
