 	il	se	fait	une	paillasse	avec	la	balle	de	riz	</S>
a23	0.1788	0.161662	0.136451	0.105665	0.106315	0.103865	0.101674	0.0480525	0.0234078	0.0191152	0.0149929
a87	0.242306	0.154032	0.111534	0.117796	0.12097	0.0824926	0.0713539	0.0386233	0.0207987	0.0203635	0.0197301
a10	0.102881	0.0816864	0.08402	0.122192	0.16953	0.120827	0.0953922	0.0726925	0.0449239	0.0479487	0.0579048
a87	0.0918394	0.0947509	0.105453	0.12986	0.182711	0.11644	0.0864359	0.0555489	0.0381619	0.044265	0.0545337
a23	0.12191	0.110483	0.110534	0.125607	0.15323	0.0939899	0.0721277	0.0496382	0.0432439	0.0533109	0.0659244
a30	0.110352	0.114989	0.121746	0.138515	0.187621	0.109229	0.0756591	0.0405027	0.0292359	0.0322472	0.0399031
a53	0.185278	0.169991	0.133683	0.101236	0.12674	0.0785627	0.0644907	0.0343457	0.0329473	0.0385333	0.0341915
a20	0.311188	0.211488	0.13892	0.0646465	0.0785941	0.0476536	0.0407452	0.0245781	0.0266805	0.0305921	0.0249137
a44	0.174562	0.153095	0.143519	0.108845	0.158958	0.101727	0.0731859	0.0314532	0.0203399	0.0186368	0.0156781
a30	0.151412	0.160802	0.167249	0.136502	0.147273	0.0870817	0.0596869	0.0314004	0.0201955	0.0192879	0.0191099
a73	0.129819	0.143459	0.154347	0.140195	0.146898	0.0988798	0.0710741	0.0392998	0.0252316	0.0245473	0.0262508
a26	0.115177	0.130032	0.14047	0.141754	0.160869	0.114806	0.078127	0.041444	0.0241717	0.0239526	0.0291967
a38	0.06219	0.0754889	0.0958811	0.132609	0.202168	0.135043	0.0929739	0.0556895	0.0383423	0.0440715	0.0655433
a90	0.0518242	0.0633552	0.0843413	0.126859	0.203203	0.16456	0.111777	0.0605947	0.0385539	0.0410529	0.0538791
a94	0.10263	0.101874	0.116545	0.147724	0.174623	0.13221	0.0934631	0.0486855	0.0265487	0.0261764	0.0295187
a35	0.05257	0.0537086	0.0643665	0.102893	0.182781	0.177869	0.137039	0.0835048	0.04622	0.0450683	0.0539803
a24	0.0413679	0.0459637	0.0581371	0.0927403	0.175008	0.17828	0.145772	0.0947789	0.054593	0.0507144	0.0626447
a41	0.0243931	0.0261306	0.0313274	0.0528915	0.135634	0.186062	0.177666	0.128166	0.0741223	0.0685236	0.095084
a66	0.0212613	0.0248445	0.0325166	0.0510012	0.131765	0.172709	0.163915	0.12055	0.0785328	0.0818763	0.121028
a75	0.012726	0.017024	0.0273009	0.0625699	0.163304	0.185609	0.177549	0.121358	0.0749226	0.0664036	0.0912334
a41	0.0266286	0.0290125	0.0316286	0.0328188	0.0638838	0.0968264	0.111178	0.117121	0.11752	0.140918	0.232465
a14	0.0210056	0.022275	0.0237259	0.0236659	0.0453297	0.0850601	0.112809	0.13684	0.146826	0.162822	0.219642
a44	0.0320032	0.0339883	0.0349729	0.0314151	0.051028	0.0963021	0.129783	0.134322	0.134011	0.142939	0.179236
a84	0.0232819	0.0224206	0.0235136	0.0259192	0.0441846	0.0647051	0.0738535	0.118809	0.154199	0.191234	0.25788
a11	0.0100852	0.0108818	0.0141108	0.0240935	0.0506266	0.0627621	0.085312	0.117484	0.146729	0.1985	0.279415
a35	0.0295491	0.0233581	0.0224284	0.0309585	0.0620265	0.066059	0.0691303	0.0831373	0.102452	0.161451	0.34945
a98	0.00687175	0.00555596	0.00516712	0.00624154	0.016365	0.0302845	0.0392855	0.0555125	0.108429	0.240014	0.486273
a9	0.00917244	0.00749321	0.00646915	0.0064928	0.0121905	0.0215755	0.0253792	0.0483453	0.130308	0.290466	0.442107
a99	0.0052362	0.00436366	0.00416698	0.0053126	0.0110373	0.0181539	0.0235422	0.0399056	0.10698	0.256909	0.524392
a87	0.00537641	0.00413665	0.0032226	0.00343694	0.00593144	0.00933486	0.0130178	0.0268973	0.086253	0.230719	0.611674
a23	0.0178334	0.0120291	0.0100544	0.0121723	0.0130788	0.0264332	0.0450724	0.0800753	0.151665	0.263081	0.368505
a50	0.0290714	0.0231219	0.0195095	0.01793	0.0139182	0.0311914	0.054696	0.101887	0.168553	0.264184	0.275938
a24	0.00814261	0.00621578	0.00514808	0.00620962	0.0127716	0.0360675	0.0500894	0.0701968	0.122942	0.222061	0.460156
a38	0.00293974	0.0027492	0.00261768	0.00339912	0.00795686	0.023386	0.0369432	0.0569609	0.115849	0.217063	0.530135
a24	0.00280035	0.00247067	0.00222736	0.00278359	0.0060187	0.0174925	0.0280663	0.0476825	0.109718	0.22953	0.55121
a41	0.00136381	0.00124302	0.0011169	0.00124628	0.00283746	0.00936367	0.0187608	0.038686	0.106629	0.236917	0.581837
a35	0.00171787	0.00159492	0.00148377	0.00178466	0.00353565	0.00962774	0.0178771	0.0365017	0.107325	0.246656	0.571896
a14	0.00147993	0.00123725	0.00112384	0.00150471	0.00323255	0.0072258	0.0131417	0.0308585	0.0956459	0.245963	0.598587
a35	0.00140726	0.00126771	0.00124109	0.00142216	0.00288431	0.00797246	0.0144855	0.0353991	0.11857	0.274737	0.540613
a98	0.00223964	0.00181352	0.0015071	0.00179097	0.00402729	0.00982144	0.0148164	0.0304369	0.0959449	0.25712	0.580481
a41	0.00306179	0.00270543	0.00244133	0.0026808	0.00481834	0.0125018	0.0193719	0.0426884	0.119881	0.272583	0.517267
