 	ils	avaient	implanté	un	village	sur	la	grande	route	</S>
a66	0.361385	0.190583	0.0755646	0.0624817	0.060539	0.0609518	0.062252	0.0515965	0.0396859	0.0349604
a87	0.394387	0.222178	0.151011	0.0502047	0.0222124	0.0285464	0.0378598	0.0406283	0.027563	0.0254095
a23	0.415296	0.191832	0.102465	0.0416015	0.0238629	0.0306046	0.0465773	0.0630413	0.0426948	0.0420243
a10	0.12127	0.0773329	0.0714594	0.0468482	0.0412168	0.0654069	0.111315	0.171409	0.132337	0.161405
a20	0.111084	0.0925602	0.124439	0.0766951	0.0570527	0.0752075	0.101616	0.120735	0.106929	0.133682
a47	0.279293	0.313202	0.111372	0.0466194	0.0384493	0.0419675	0.0474627	0.0458741	0.038579	0.0371812
a36	0.128256	0.260671	0.166331	0.0857264	0.0589669	0.0624881	0.0644843	0.067739	0.055852	0.0494853
a15	0.104562	0.212399	0.201462	0.105253	0.0715914	0.0711482	0.0624982	0.0581957	0.0564401	0.0564501
a0	0.0984706	0.168721	0.17968	0.116571	0.0872569	0.0773943	0.0635466	0.0605311	0.0702755	0.077553
a75	0.0937696	0.116398	0.191488	0.12265	0.0844652	0.0748157	0.0699166	0.071458	0.0831602	0.0918791
a47	0.0594046	0.0735516	0.160929	0.140035	0.109537	0.0940304	0.0850332	0.0804513	0.0934635	0.103564
a7	0.0552207	0.0575182	0.110292	0.137721	0.124437	0.104012	0.0945267	0.0869953	0.101773	0.127504
a44	0.0568588	0.0430748	0.0593216	0.0966698	0.116849	0.106924	0.117517	0.119806	0.12839	0.154589
a53	0.0440586	0.0327974	0.0306818	0.0659443	0.0970089	0.0993149	0.121023	0.140571	0.163923	0.204677
a94	0.0307017	0.0224949	0.0258296	0.0780037	0.124265	0.121781	0.137155	0.142913	0.146359	0.170497
a96	0.0134983	0.0105179	0.00994432	0.0317919	0.0782911	0.0969857	0.146375	0.179823	0.194908	0.237864
a70	0.0060936	0.00499357	0.00483269	0.0162145	0.0527009	0.0769671	0.134305	0.185294	0.242817	0.275782
a90	0.00431967	0.004253	0.00374836	0.0115082	0.0412538	0.0636941	0.119814	0.171777	0.269654	0.309978
a15	0.00215092	0.00228101	0.00234368	0.0100174	0.0370572	0.0581939	0.113581	0.176095	0.283463	0.314816
a69	0.00148215	0.00145006	0.00137534	0.00583815	0.0214329	0.0336308	0.0790055	0.128454	0.293193	0.434137
a4	0.00205469	0.00202376	0.00288948	0.0102477	0.0214628	0.0325904	0.073686	0.125764	0.272732	0.456549
a57	0.00305433	0.00337197	0.0041371	0.0110554	0.024007	0.0358737	0.0739229	0.114463	0.271904	0.45821
a3	0.00775764	0.00907229	0.00833515	0.0159439	0.0297475	0.0418255	0.081193	0.120992	0.266551	0.418581
a87	0.279065	0.142006	0.0545826	0.0455721	0.0480712	0.0556116	0.0736659	0.0907106	0.103261	0.107454
a23	0.413305	0.195198	0.088093	0.0412133	0.0314669	0.0355684	0.0420321	0.0509063	0.0530538	0.0491629
a87	0.115093	0.0567279	0.032952	0.0277187	0.0348961	0.0531508	0.0938784	0.174243	0.219138	0.192203
a23	0.0127391	0.00738612	0.00935566	0.0172196	0.0315819	0.05006	0.102655	0.203092	0.2688	0.29711
a3	0.0297762	0.0149971	0.014489	0.0194135	0.0331498	0.0526983	0.100184	0.208807	0.260732	0.265754
</S>	0.0261128	0.0171806	0.0186272	0.0281163	0.0419844	0.0613106	0.10001	0.183514	0.236499	0.286645
